,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2422474,60,14,1,600000,1.0,500000,100000,Huujin Bust,https://img2.finalfantasyxiv.com/f/4d42516477f0cf50df7d68b6f4126ca6_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645171901
1,3870666,60,14,2,535792,2.0,454699,81093,Sol Badguy,https://img2.finalfantasyxiv.com/f/7dbf69984b91d978eda197b082fbe0fc_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645145882
2,31362916,60,14,3,447979,3.0,405844,42135,Floating Dream,https://img2.finalfantasyxiv.com/f/97f8d009b40477eb4fb87b11a01f31fe_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645069551
3,2338528,60,14,4,319028,4.0,269880,49148,Rick Dom,https://img2.finalfantasyxiv.com/f/0f239a83f92eb752ad24c8b78a5d2bb3_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645051010
4,14198361,60,14,5,294841,5.0,239115,55726,Sai Ashley,https://img2.finalfantasyxiv.com/f/04676f1f80731964598bcbc4128d7329_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645190188
5,23112459,60,14,6,271749,12.0,154012,117737,Cona Monta,https://img2.finalfantasyxiv.com/f/312f556827482ea7039587d41e2a8a6a_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645096471
6,11017851,60,14,7,260601,9.0,203185,57416,Lennox Morgan,https://img2.finalfantasyxiv.com/f/c9c9cd22e2667b1870b8a620d79e2018_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645014395
7,2512466,60,14,8,253424,7.0,211583,41841,Logix Fiscario,https://img2.finalfantasyxiv.com/f/5e5f03baa0cc7c85cebeabd3e2106bb2_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644709332
8,21959359,60,14,9,232415,6.0,212200,20215,Alice Nightmare,https://img2.finalfantasyxiv.com/f/b877e41bf3f125e8c2d421bb31374367_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645119821
9,14485609,60,14,10,230069,8.0,207130,22939,Ziggy Moon,https://img2.finalfantasyxiv.com/f/e097a89d492bd1c958ed7a90b93710b0_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645104153
10,3722339,60,14,11,216838,10.0,171741,45097,Natalie Swift,https://img2.finalfantasyxiv.com/f/4a492bb0b8cc1e2707f47f96ef48c02f_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644954709
11,24907529,60,14,12,208265,11.0,164566,43699,Nov Fliae,https://img2.finalfantasyxiv.com/f/80319bd7eb7e0d2dd587c181d4fb24a5_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645010439
12,11526344,60,14,13,167202,13.0,132940,34262,Yuki Kogome,https://img2.finalfantasyxiv.com/f/15f3712ad518e597625ca59154c49c3a_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645080716
13,22177713,60,14,14,128245,14.0,102132,26113,Tori Mi,https://img2.finalfantasyxiv.com/f/aa2e4ceb7fd109d8f26445eeff77f6ec_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644958054
14,28256879,60,14,15,113377,16.0,82246,31131,Sora Mifa,https://img2.finalfantasyxiv.com/f/50f1f64121dfc55477dda1b2e1d456f5_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645008092
15,8436684,60,14,16,83478,15.0,83478,0,Yoshimasa Bushu,https://img2.finalfantasyxiv.com/f/a6f82e4299728eb6ea711dd65ddb9629_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645094153
