,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,11419902,99,14,1,509474,11.0,138859,370615,Legal Waifu,https://img2.finalfantasyxiv.com/f/ce612b1100b5d019e2b0b80059d1ad8e_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644930779
1,1319376,99,14,2,502691,2.0,463024,39667,Black Siberian,https://img2.finalfantasyxiv.com/f/8597961568349e9f5b0526859b3011c5_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645092725
2,2774952,99,14,3,485108,1.0,485108,0,Dark Akri,https://img2.finalfantasyxiv.com/f/46dce81bfafb645d615f22df756a95f3_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645162774
3,14751581,99,14,4,407415,3.0,366577,40838,Jaliqai Mierqid,https://img2.finalfantasyxiv.com/f/79cf1b8e42379f250874bd9bf6a7b781_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644688494
4,1588623,99,14,5,327407,4.0,327407,0,Bao Bao,https://img2.finalfantasyxiv.com/f/fef85a40d8acabf73ab6fc372e8e7eb0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645016302
5,14052225,99,14,6,311049,5.0,259017,52032,Nari Uyagir,https://img2.finalfantasyxiv.com/f/c11fade7b72d643b033f03a9c16bc8db_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645011446
6,3074690,99,14,7,235049,6.0,202561,32488,Arian Ashbringer,https://img2.finalfantasyxiv.com/f/bcd061928ff73aaacff86e19a5aeb402_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645090428
7,14122831,99,14,8,221408,8.0,180719,40689,Mhoji'to Greymalkin,https://img2.finalfantasyxiv.com/f/d65c595af87cab216547b8814553dc0b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645005819
8,16129354,99,14,9,218578,9.0,171938,46640,Ytteval Tsune,https://img2.finalfantasyxiv.com/f/0fd41e1640e771742b184cda4a4db073_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645144178
9,31529951,99,14,10,208611,7.0,189182,19429,Goro Xinq,https://img2.finalfantasyxiv.com/f/ea2597236936bd69dc4e2975bfe6a606_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644606165
10,29202603,99,14,11,155569,14.0,121566,34003,Janthina Isles,https://img2.finalfantasyxiv.com/f/cb17e1e111551bf781dc231ab85c431d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644851995
11,17070870,99,14,12,147036,10.0,147036,0,Keaton Noble,https://img2.finalfantasyxiv.com/f/9996e2693d3821cc3ca42d876de50b0a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645121576
