,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15694957,46,13,1,1123258,1.0,982112,141146,H'korolon Raha,https://img2.finalfantasyxiv.com/f/f4891a9448fb96bdd6d3aaa6197b44e2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645174833
1,18077321,46,13,2,880383,3.0,701402,178981,Bunny Iglesias,https://img2.finalfantasyxiv.com/f/de03730b3f8d4a1f811100609fa8249c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644995765
2,3076036,46,13,3,848041,2.0,799068,48973,Estelle Tales,https://img2.finalfantasyxiv.com/f/19c1710bfa9f968c456120b80bc3114d_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644993806
3,8696089,46,13,4,695317,4.0,695317,0,Tochi Maru,https://img2.finalfantasyxiv.com/f/75d6783c47ca8d075244e5d2b7d2d63b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644990997
4,26405251,46,13,5,518771,7.0,361805,156966,Pol Nakamura,https://img2.finalfantasyxiv.com/f/24afc88139a10c8c1e839d7a4e3549d7_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645081620
5,22039044,46,13,6,497973,6.0,420746,77227,Youjo Senpai,https://img2.finalfantasyxiv.com/f/1cd1be61a65bede3aa151d5580dd0c05_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645166124
6,2152607,46,13,7,471113,5.0,471113,0,Anne Tutte,https://img2.finalfantasyxiv.com/f/bdad81ce29dbbc025fef44f992651109_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644899187
7,6788057,46,13,8,301141,8.0,254583,46558,Fiz Hain,https://img2.finalfantasyxiv.com/f/279ac864b8ceddb64475bad7870da95f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644882534
8,17552713,46,13,9,242977,9.0,218314,24663,Kuku Ri,https://img2.finalfantasyxiv.com/f/ccdaa1a3ebd8b8669eb6ed9eab1a22d4_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644809050
9,24488439,46,13,10,180676,10.0,150709,29967,Issei Kamijyo,https://img2.finalfantasyxiv.com/f/6dcec6f99dfdcfa31d30e8e39506c504_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645155322
10,2221006,46,13,11,164642,11.0,150704,13938,Tunamayo Mayo,https://img2.finalfantasyxiv.com/f/b6f72827268e23f211d6f37f20caf632_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644863633
11,18245054,46,13,12,116855,12.0,116855,0,Mikoto' K',https://img2.finalfantasyxiv.com/f/7bfcceb267ba6104a1700a057072b3d8_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645053199
12,24350631,46,13,13,100414,13.0,74330,26084,Susugu Tayutani,https://img2.finalfantasyxiv.com/f/42e255a65873f1b38d78ac1ddca3336c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644811884
13,6700075,46,13,14,69785,14.0,69785,0,Mato Aoi,https://img2.finalfantasyxiv.com/f/2de1a601fd64208cd25ff356dbb92f76_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644961655
14,20866060,46,13,15,55902,15.0,55902,0,Leon Ripa,https://img2.finalfantasyxiv.com/f/ad06fe961c41c5f36a4cf130744e21e9_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645092783
15,24715089,46,13,16,51528,21.0,36257,15271,Tea Mugi,https://img2.finalfantasyxiv.com/f/62b924296aeccd7cf12f3c67d9634bda_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644966591
