,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19742023,61,16,1,888554,1.0,779615,108939,N'ana Mihko,https://img2.finalfantasyxiv.com/f/07ef38e899d53738195d31fbceb30f95_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645121407
1,29139757,61,16,2,658739,2.0,567803,90936,Haruti Fleur,https://img2.finalfantasyxiv.com/f/a681284a5f746522af4976a02158bb6d_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644883530
2,25056211,61,16,3,522390,3.0,443542,78848,Hoshimiya Inori,https://img2.finalfantasyxiv.com/f/8c3670946120e97a7d3d3ad54e0c17ba_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644825859
3,28540532,61,16,4,475670,4.0,423930,51740,Stylishnoob Kids,https://img2.finalfantasyxiv.com/f/a1cdb177a263b8c22bf73f9d0f54f5c1_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644865611
4,24994788,61,16,5,470008,7.0,400000,70008,Hiroshin Gorin,https://img2.finalfantasyxiv.com/f/821a574c451f85a230034288e12b5a2c_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645002172
5,20565098,61,16,6,460408,11.0,377400,83008,Ruri Ruri-,https://img2.finalfantasyxiv.com/f/204a37bc6824031c4622cbd94cc5e107_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645186128
6,29116311,61,16,7,460131,6.0,400773,59358,Monster Egg,https://img2.finalfantasyxiv.com/f/79a93b94c7f4be0ccdd09d3bdaf11d39_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645126593
7,22268259,61,16,8,453335,8.0,391821,61514,Lance Gamduhla,https://img2.finalfantasyxiv.com/f/bca2bb2c670f6a9e622cfc856874ba7e_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645184811
8,18202403,61,16,9,450073,5.0,400994,49079,Duffy Fluffy,https://img2.finalfantasyxiv.com/f/b631754a899ead525ee2d71b3d65a175_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644951773
9,21812707,61,16,10,440240,9.0,379003,61237,Athno Rainy,https://img2.finalfantasyxiv.com/f/46f480efec92041a6cdde24da9f5ad0f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644822921
10,19141377,61,16,11,437528,10.0,377821,59707,Noah Tindalos,https://img2.finalfantasyxiv.com/f/99238cb2b6b793ba82bcad8b4183d737_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645067026
11,25563626,61,16,12,415027,12.0,362971,52056,Konori Kori,https://img2.finalfantasyxiv.com/f/3de9fcfb98c0dcc19b76850dd9326a1d_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645019040
12,1633348,61,16,13,404884,13.0,345903,58981,Mid Xiii,https://img2.finalfantasyxiv.com/f/920c6207a71f4f251f1bc85b181491f3_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645097819
13,4875570,61,16,14,390519,19.0,274924,115595,Atai Ikuyo,https://img2.finalfantasyxiv.com/f/12a0ba7f14e1c5c5942f18c9c8e760b2_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645146827
14,16342331,61,16,15,377958,16.0,308232,69726,M'izu Ame,https://img2.finalfantasyxiv.com/f/31c2c71b9a21e46f8cff9ecbadf24ed5_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644736567
15,17101489,61,16,16,364996,14.0,318614,46382,Outsider Oyakata,https://img2.finalfantasyxiv.com/f/dc2ec60c7cb3d0066a3652824bcdee37_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645065025
16,2649742,61,16,17,336736,18.0,276001,60735,Sebek Nefru,https://img2.finalfantasyxiv.com/f/518edda00e48ad1f682e1c121d30cf4a_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644791470
17,25550454,61,16,18,328777,17.0,299995,28782,Kiyu Damasi,https://img2.finalfantasyxiv.com/f/b1600b8830636151cadad3afdcf4ce27_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644632173
18,12582584,61,16,19,310287,15.0,310287,0,Perchan Venopach,https://img2.finalfantasyxiv.com/f/d5070d9635b4eb9feb28a9405311c513_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645010938
19,17432660,61,16,20,280382,20.0,267447,12935,Bean Sprout,https://img2.finalfantasyxiv.com/f/7c8f2d1c5659a78b48e4f3e213280109_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645150677
20,20232868,61,16,21,190440,21.0,190440,0,Maple Leaf,https://img2.finalfantasyxiv.com/f/3a13ebecbab8a021a005b832727ee6ad_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645189887
21,19054166,61,16,22,168466,22.0,159566,8900,Olivia Winter,https://img2.finalfantasyxiv.com/f/b9c5edfc94dc1a690c8918fcb24989ae_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644841431
22,20740370,61,16,23,148447,24.0,143920,4527,Eto Zuttyo,https://img2.finalfantasyxiv.com/f/9b27ca255c0cdb0650147a3e1723ff38_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645158007
23,26777178,61,16,24,144294,23.0,144294,0,Wasabi Yoshiko,https://img2.finalfantasyxiv.com/f/48a2039bd4dcb8a91e4aa25268d0a1f1_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645021813
24,20964593,61,16,25,140416,25.0,140416,0,Eve Rose,https://img2.finalfantasyxiv.com/f/43ec3e15d0e0872e55bc46e46fbc10e1_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644784755
25,3977766,61,16,26,139263,26.0,139263,0,Waver Stark,https://img2.finalfantasyxiv.com/f/50c8fb5d959b992f78e8c305a7b3adc9_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645158498
26,18426701,61,16,27,136961,27.0,136961,0,Meteor Azem,https://img2.finalfantasyxiv.com/f/cfd1144efba3b6c615e5cb06b83d53d1_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644945412
27,26753660,61,16,28,129246,28.0,129246,0,Tink Cott,https://img2.finalfantasyxiv.com/f/3a33f691c179ce871dde3745bc5c2d3f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644856527
28,22738265,61,16,29,128570,40.0,99137,29433,Ringo Muni,https://img2.finalfantasyxiv.com/f/a1d68d8a79dee5350d26d1c59eaf08dd_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644949381
29,25059272,61,16,30,127113,29.0,126603,510,Mayo Ebi,https://img2.finalfantasyxiv.com/f/3a491bd4e7759ced2ed17e1c033fd6c2_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644860869
30,22588054,61,16,31,122593,39.0,100738,21855,Altair Myste,https://img2.finalfantasyxiv.com/f/7219d9daba3767ed1895ffbac2494a6e_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644840388
31,26736546,61,16,32,120554,30.0,120554,0,Mitsuki Aoi,https://img2.finalfantasyxiv.com/f/1ea207022f8cf8d1b42e01e1bf247c0d_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644997477
32,6579478,61,16,33,118123,31.0,118123,0,Nitro Roread,https://img2.finalfantasyxiv.com/f/90cc8d98f96057c67ce6cdb5fcc78ddc_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645083122
33,19370231,61,16,34,117383,38.0,101060,16323,Kai Ruze,https://img2.finalfantasyxiv.com/f/2de5be4ce2630584735a3967646e5959_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645104749
34,26478051,61,16,35,117174,32.0,117174,0,Bvlgari Roma,https://img2.finalfantasyxiv.com/f/e5df0594690957632d0e26e6570622d2_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645043559
35,25832403,61,16,36,114835,44.0,86353,28482,Meyuran Yuzola,https://img2.finalfantasyxiv.com/f/86e5668a6a8d886777d102becb2c76e5_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644998920
36,25497245,61,16,37,111967,41.0,97861,14106,Yuki Ousagi,https://img2.finalfantasyxiv.com/f/b80443930b271ff2a137df0c8ad68f0f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644904648
37,27606927,61,16,38,111550,33.0,111550,0,Tango Benevo,https://img2.finalfantasyxiv.com/f/0db9497ad4aa25f9a88b0c9e51901f62_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645151338
38,18544896,61,16,39,107757,46.0,80506,27251,Maria Genjow,https://img2.finalfantasyxiv.com/f/6222e8fcea5a104ae6f9984ba701192c_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645044640
39,22079948,61,16,40,105135,34.0,105135,0,Good-sun Ohana,https://img2.finalfantasyxiv.com/f/82f816d973f48549a2b599829cd890f7_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644983441
