,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23589583,72,12,1,1518030,1.0,1217943,300087,Celestelle Luscinia,https://img2.finalfantasyxiv.com/f/f36373fffd91292f91caed8fda9b6ca9_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645125624
1,25356074,72,12,2,961091,2.0,861630,99461,Tanner Highwinder,https://img2.finalfantasyxiv.com/f/07a4897442a8d299c7b9b11648002483_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645004596
2,5690739,72,12,3,659078,5.0,517091,141987,Katherine Mcbride,https://img2.finalfantasyxiv.com/f/aa35afc09f5fde075141bdbf0d2443cc_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645087399
3,2064539,72,12,4,613163,3.0,550214,62949,Shozai Vuzai,https://img2.finalfantasyxiv.com/f/7d72b991da3e2e763346e84d33ba4409_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645150350
4,27021407,72,12,5,552123,4.0,531653,20470,Surtr Forte,https://img2.finalfantasyxiv.com/f/3c1ded918d3a942fc8f5be612a08390c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644888121
5,28343848,72,12,6,546607,16.0,335479,211128,Azwraith Stygian,https://img2.finalfantasyxiv.com/f/04176563d94edf13a7349237c001a380_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644683476
6,3932090,72,12,7,545971,8.0,446839,99132,Raih'a Dolabnha,https://img2.finalfantasyxiv.com/f/31dee4d579955035471a707fc04b20a5_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644828818
7,15029043,72,12,8,544302,6.0,469094,75208,A' J',https://img2.finalfantasyxiv.com/f/da8fb733fe7eb562d31cbd6a511e6727_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645054100
8,3527652,72,12,9,517535,10.0,413720,103815,Eleshtia Charlotte,https://img2.finalfantasyxiv.com/f/4db5c8a06846aec3986020bf88bad19e_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645039768
9,7805952,72,12,10,502487,7.0,458402,44085,Bozo Bonanza,https://img2.finalfantasyxiv.com/f/d795f2d5a6bb3cf49adfeaf0273bac13_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1645018646
