,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,17388801,90,18,1,101910,,0,101910,Yu Antares,https://img2.finalfantasyxiv.com/f/4496272396c0301890c8b35a16f08995_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645113424
1,25430619,90,18,2,59190,,0,59190,Ruri Nyan,https://img2.finalfantasyxiv.com/f/49333ca88725b933a0c16d751bd5050f_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645074333
2,630151,90,18,3,48869,,0,48869,From Japan,https://img2.finalfantasyxiv.com/f/21ec384ead050a8d61369e9e95d1fe6d_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645083523
3,6765543,90,18,4,40269,,0,40269,Jeph Durandal,https://img2.finalfantasyxiv.com/f/61c85a9f816e1160a9c25895932497bb_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645032668
4,26568682,90,18,5,39446,,0,39446,Noelia Blanco,https://img2.finalfantasyxiv.com/f/8ffc9b9e6f573b04dae90ae821c84454_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644842319
5,4706285,90,18,6,27384,,0,27384,Kinugoshi Dofu,https://img2.finalfantasyxiv.com/f/4578bc8fcb4fd1c3a8548897fc662a94_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645136980
6,28947488,90,18,7,26459,,0,26459,Verde Matos,https://img2.finalfantasyxiv.com/f/040b421476850962f60c3a81e4d43f2f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644983481
7,1546799,90,18,8,24300,,0,24300,Yattan Lapis,https://img2.finalfantasyxiv.com/f/08ee8b344c82523648a49b2ada785e52_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644904352
8,19911105,90,18,9,23623,,0,23623,Issac Ex,https://img2.finalfantasyxiv.com/f/a04d090ae1f6d9a597610821b6a45d65_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645104961
9,5235248,90,18,10,22407,,0,22407,Aki Sakura,https://img2.finalfantasyxiv.com/f/ba145f422a44422a0a48dc9f14749df3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645009085
10,27795171,90,18,11,22324,,0,22324,Tripl Spark,https://img2.finalfantasyxiv.com/f/2ef6739c23729f61502d9fa18ff4911e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644706387
11,29116304,90,18,12,21555,,0,21555,Kaede Lotus,https://img2.finalfantasyxiv.com/f/7b5735c1246ee99240469b34a693cf41_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645078365
12,19001013,90,18,13,19933,,0,19933,Ketenramm Guolfyrsyn,https://img2.finalfantasyxiv.com/f/6307626b7bbe6b4a17d07a087be6d301_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644963312
13,8283,90,18,14,19541,,0,19541,Windows Vista,https://img2.finalfantasyxiv.com/f/2c16a33363f329d824aa80e52105ed1d_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645166583
14,26733217,90,18,15,18775,,0,18775,Pxlo T-,https://img2.finalfantasyxiv.com/f/6a1099f490344b1258d79d07d19da42c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644990081
15,30436381,90,18,16,18558,,0,18558,Koma Eiki,https://img2.finalfantasyxiv.com/f/a0d0d969efacdba49c148a099da1d436_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644904789
16,2549,90,18,17,18221,,0,18221,Mirilaya Karez,https://img2.finalfantasyxiv.com/f/a2b1876ed26448976b6c0da15dca8bf2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645063353
