,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27527690,91,16,1,73463,,0,73463,Eros Morikashi,https://img2.finalfantasyxiv.com/f/a365327a2eacde70cf0890e58d56ebac_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645043977
1,9580987,91,16,2,60077,,0,60077,Brinn Rosa,https://img2.finalfantasyxiv.com/f/59b43e32ded9ffd5020b91adeb08dc05_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645100790
2,11415618,91,16,3,53352,,0,53352,Idriya Coelho,https://img2.finalfantasyxiv.com/f/165dbcc8319ed31300bf5c4a1b411b59_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644966336
3,21064475,91,16,4,50250,,0,50250,Chiyo Matsu,https://img2.finalfantasyxiv.com/f/9e2d74963d1c28b1850b5f27130bd6be_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644972582
4,3452713,91,16,5,45782,,0,45782,Rampaging Zinbhe,https://img2.finalfantasyxiv.com/f/df05be4f2fc77d85ebc7faa9cd9cf56e_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645083745
5,1038611,91,16,6,45358,,0,45358,Tiara Solari,https://img2.finalfantasyxiv.com/f/642c03000955aec3b6667bf867f58f04_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644984200
6,9492046,91,16,7,39899,,0,39899,T'ori Rae,https://img2.finalfantasyxiv.com/f/a7862207a2387c6a8a860abada2e62ae_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644992771
7,10699132,91,16,8,38357,,0,38357,Talon Windstorm,https://img2.finalfantasyxiv.com/f/0e21886751ac2e97e9679561eda381a1_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644874133
8,30873153,91,16,9,35716,,0,35716,Oda Xionix,https://img2.finalfantasyxiv.com/f/ffca8d8a07f9ae66d2fc88aa1592c62f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644794067
9,17572261,91,16,10,33933,,0,33933,Micaiah Swallowtail,https://img2.finalfantasyxiv.com/f/239580ea8cf53a4a453c013dceddb70c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645097864
10,2252902,91,16,11,28668,,0,28668,Hannalea Soran,https://img2.finalfantasyxiv.com/f/ba681bdfebf64bf9010a91416c2159e7_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645195458
11,26033133,91,16,12,28483,,0,28483,Eli Roucavard,https://img2.finalfantasyxiv.com/f/695f9addf8b1e38fae3b64eee04d1485_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645095971
12,9034924,91,16,13,28078,,0,28078,Amelia Chanteuse,https://img2.finalfantasyxiv.com/f/dd00dba25e90cd53afbd0a0559a6e247_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645089776
13,145232,91,16,14,27617,,0,27617,Lillis Elric,https://img2.finalfantasyxiv.com/f/e7b23392d2052815546bdd94cf2e9055_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645155864
14,29750252,91,16,15,26447,,0,26447,Xahli Nure,https://img2.finalfantasyxiv.com/f/a49874db18ef2cee40446bea719c1502_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644641385
15,11519195,91,16,16,25806,,0,25806,Sebastian Pavel,https://img2.finalfantasyxiv.com/f/b9a4650fa4d66d61fc943e18d205913c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645093836
16,23104493,91,16,17,25791,,0,25791,Ijoux Vuifaire,https://img2.finalfantasyxiv.com/f/a80916a691a3dba13ff432ffa96511ab_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644973349
17,9666718,91,16,18,25276,,0,25276,Sypha Flowen,https://img2.finalfantasyxiv.com/f/7712e7f44d92364a9deead153041766d_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645055395
18,21580492,91,16,19,24368,,0,24368,Dilana Newmoon,https://img2.finalfantasyxiv.com/f/1c7f250d3b4ae7f0ffa53c18497504d2_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644821254
19,2291334,91,16,20,22671,,0,22671,Simiel Lantz,https://img2.finalfantasyxiv.com/f/271853a880cfdc9c4a70d7746ab809fa_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644813493
20,31172826,91,16,21,21659,,0,21659,Leyanna Kyoshi,https://img2.finalfantasyxiv.com/f/8441f3b281eba03d552d07b4789a2cd0_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644643370
21,27262086,91,16,22,19832,,0,19832,Alric Shepard,https://img2.finalfantasyxiv.com/f/2e40d0df9fffda83b23a853f85d78816_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644945364
22,9113396,91,16,23,19795,,0,19795,Claire Estheim,https://img2.finalfantasyxiv.com/f/e84abae96033645922822ed0c984a6a4_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644881532
23,11651483,91,16,24,19758,,0,19758,Lissette Isedaire,https://img2.finalfantasyxiv.com/f/4a131e877ca866b8eeeb7f13d175670a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645039377
24,14571104,91,16,25,19497,,0,19497,Sirris Darkmoon,https://img2.finalfantasyxiv.com/f/ed2815a7c98948f58ad752f65bf80882_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644969727
25,1571998,91,16,26,19343,,0,19343,Rhys Eiriette,https://img2.finalfantasyxiv.com/f/bf071b5ef6ea97e77524f49ad4413531_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645034708
26,18366781,91,16,27,18872,,0,18872,Kiley Grinsen,https://img2.finalfantasyxiv.com/f/81f393f27430b647dc82f8362f2bb4db_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644819136
27,6698838,91,16,28,18656,,0,18656,Set Beadra,https://img2.finalfantasyxiv.com/f/ce47b7742ad5863e09358eae72ae8453_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644855512
28,21064206,91,16,29,18461,,0,18461,Jaromir Novikosch,https://img2.finalfantasyxiv.com/f/c8340a847e722c38ccb78962e116fff9_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645116081
29,12597406,91,16,30,17914,,0,17914,Xah'li Rhane,https://img2.finalfantasyxiv.com/f/17b8e77c46938267eda46e063defb9a3_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645168102
30,30554167,91,16,31,17859,,0,17859,Malloy Duberne,https://img2.finalfantasyxiv.com/f/407d04d8e6f0729dc511fed0ea85580a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644892780
31,26782045,91,16,32,17833,,0,17833,Alexei Inlustris,https://img2.finalfantasyxiv.com/f/4ddbf068111a356f5a6ca4904bfef330_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644623408
32,12339414,91,16,33,17751,,0,17751,Eclipse Morningstar,https://img2.finalfantasyxiv.com/f/a06409ad91cc742c1a5ac4c3b8916519_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644922106
33,26504550,91,16,34,16462,,0,16462,Yumi Hataru,https://img2.finalfantasyxiv.com/f/03d04ef1b409810e8c6c100253f2e6e6_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644756424
