,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3571141,70,16,1,86718,,0,86718,Lisa Milliard,https://img2.finalfantasyxiv.com/f/ddffd8a1f404cc5583b6666745322d5a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645071797
1,3114789,70,16,2,58980,,0,58980,Mog Sak,https://img2.finalfantasyxiv.com/f/69a7781e494c91ed3479d0db9640f4eb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645101611
2,2217198,70,16,3,58794,,0,58794,Shin Gentle,https://img2.finalfantasyxiv.com/f/7781f5b03d1a8743a5cf50d8262ed6eb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645163162
3,25673207,70,16,4,45925,,0,45925,Meru Selene,https://img2.finalfantasyxiv.com/f/442c4ffe9941dc01f502f5eaf591555b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644891550
4,15281608,70,16,5,45514,,0,45514,Pinota Roza,https://img2.finalfantasyxiv.com/f/bcda3645b09e88fbafe439eaec2a4718_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644810465
5,2330507,70,16,6,35080,,0,35080,Reyd Lord,https://img2.finalfantasyxiv.com/f/af2338d49d22b8f0895d57d749679146_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644900682
6,5165579,70,16,7,28498,,0,28498,Satsuki White,https://img2.finalfantasyxiv.com/f/f7ef561e1693e743b546510f35c667cb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645185133
7,32386398,70,16,8,25233,,0,25233,Zinnia Dew,https://img2.finalfantasyxiv.com/f/3a6523b10cd4322b0f889690366ac821_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644830813
8,28697134,70,16,9,24993,,0,24993,Yun Wasabi,https://img2.finalfantasyxiv.com/f/508919e4c426b4657ac68157a4aa3088_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645040537
9,20477123,70,16,10,23356,,0,23356,Lyurm Vivi,https://img2.finalfantasyxiv.com/f/af28e895667fb496269bbd5b01914239_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644637873
10,32830466,70,16,11,23035,,0,23035,Hate You,https://img2.finalfantasyxiv.com/f/12096358172c25b161ed31c10931f16f_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1644880625
