,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,20601884,54,12,1,24761,,0,24761,Khulan Malaguld,https://img2.finalfantasyxiv.com/f/67f152c90e416b607ead8c7d2d042061_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645032517
1,27855756,54,12,2,15222,,0,15222,Dahlia Faraday,https://img2.finalfantasyxiv.com/f/a9e602c34104c24c589ac0aec7462e20_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645053524
2,17383980,54,12,3,4464,,0,4464,Merii Sagahl,https://img2.finalfantasyxiv.com/f/1818f8abdee398a2c6ed970eeee5c250_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645043558
3,8562531,54,12,4,4352,,0,4352,Cheshire Puss,https://img2.finalfantasyxiv.com/f/13b32e0e0e399dba77cf249ec6bea6d2_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644919860
4,22597530,54,12,5,3913,,0,3913,Octavia Caesonia,https://img2.finalfantasyxiv.com/f/3092fced6b866b63d01d25ebaa226133_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644853271
5,10664638,54,12,6,2700,,0,2700,Liizet Craftt,https://img2.finalfantasyxiv.com/f/0c550b365a600597f19e42c5c7e3946d_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645138432
6,22899965,54,12,7,2460,,0,2460,Marinya Rose,https://img2.finalfantasyxiv.com/f/8224c316387b8f912a0d8be0d4fd8073_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645093549
7,10915736,54,12,8,2357,,0,2357,Meredith Nicessus,https://img2.finalfantasyxiv.com/f/72482df0299f219c9e79d79073cc0506_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645191576
8,29993303,54,12,9,2069,,0,2069,Turbo Quando,https://img2.finalfantasyxiv.com/f/3243313b7d68793fd53b1c40d0391117_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644818521
9,12134559,54,12,10,1941,,0,1941,Sammy Othalyn,https://img2.finalfantasyxiv.com/f/52c37401ce1521f160666d6d84f1f702_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645008981
10,3459911,54,12,11,1890,,0,1890,Eun Zarensha,https://img2.finalfantasyxiv.com/f/42a14171cb7ea6bca201b418c1c69493_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645049001
11,6850820,54,12,12,1689,,0,1689,Erii Nomia,https://img2.finalfantasyxiv.com/f/9cb33a5f2b5d23d9c9e758cd471bcf44_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645159641
12,25542325,54,12,13,1350,,0,1350,Worm Soup,https://img2.finalfantasyxiv.com/f/470d1689d9e73e3feed01f3ee73a657b_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644856698
13,8054047,54,12,14,1256,,0,1256,Doogie Howser,https://img2.finalfantasyxiv.com/f/a1fde4f4dd7acac838669049b58a6327_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644800507
14,16151186,54,12,15,1230,,0,1230,Welkin Astera,https://img2.finalfantasyxiv.com/f/580f835f29950c0695d2dea0779f8023_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1645155791
15,3301983,54,12,16,1200,,0,1200,Mizore Kokoro,https://img2.finalfantasyxiv.com/f/d49fcaf0ecb9a57a0902e2bcdf676e8d_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645169687
16,26014250,54,12,17,1080,,0,1080,Mister Fettuccine,https://img2.finalfantasyxiv.com/f/b61b37c1f915038e1966a99ee6832439_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644911893
17,29015924,54,12,18,990,,0,990,Ashley Matinae,https://img2.finalfantasyxiv.com/f/3ec055de3b54c96857e4a745169a580f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644896245
