,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23071277,95,10,1,16314,,0,16314,Alexander Darnell,https://img2.finalfantasyxiv.com/f/d83777de3f643b3242cd1f9e004aea66_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645084995
1,24078831,95,10,2,15485,,0,15485,Lalabee Moons,https://img2.finalfantasyxiv.com/f/8186b31b6a238c375bd4ff2df46a7a2a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645148089
2,29715495,95,10,3,9779,,0,9779,Yinny Taro,https://img2.finalfantasyxiv.com/f/e59bc625998edc57b1eba676cd21d4d6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644928652
3,418594,95,10,4,9142,,0,9142,Selaphiel Omni,https://img2.finalfantasyxiv.com/f/e5ed6774f56ae542e8f0df31a59c8ca6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645062357
4,731526,95,10,5,5993,,0,5993,Jeannot Legrand,https://img2.finalfantasyxiv.com/f/22b432d68b8553d875d96a6d79ccdc2c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645145916
5,13308952,95,10,6,4890,,0,4890,Majora's Mask,https://img2.finalfantasyxiv.com/f/6584c3e4aeadab0705ca9fec55988997_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644885947
6,1199989,95,10,7,4705,,0,4705,Mini Potato,https://img2.finalfantasyxiv.com/f/88c57250d9fc87f0e0948bfd78a79cfe_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644977319
7,15121944,95,10,8,4679,,0,4679,Sponge Cake,https://img2.finalfantasyxiv.com/f/3428a89877f1f714b6306dba262cd7ea_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645075245
8,3454735,95,10,9,4309,,0,4309,Kitiara Kittiana,https://img2.finalfantasyxiv.com/f/183d1d46499e788cbeda8b9b53ef63d6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645026847
9,25759973,95,10,10,3540,,0,3540,Puripuri Prisoner,https://img2.finalfantasyxiv.com/f/5fccadfc6937f20f9d34cd59972835b8_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645113374
10,12965645,95,10,11,3027,,0,3027,Sleepy Luka,https://img2.finalfantasyxiv.com/f/ad061aeedacb450252a5229f4e22907b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645043275
11,28434113,95,10,12,2998,,0,2998,False Suspect,https://img2.finalfantasyxiv.com/f/382104eeecfc0b8a7cf90bba93b55483_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644609182
12,18439859,95,10,13,2830,,0,2830,Rou Dog,https://img2.finalfantasyxiv.com/f/d768d661be3e9b872e41eaa2b19c0714_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645159545
13,17536885,95,10,14,2728,,0,2728,Captain Greed,https://img2.finalfantasyxiv.com/f/36c7794ee81204fada5a82427cb493f1_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644631401
14,22916168,95,10,15,2490,,0,2490,Chef Yurgen,https://img2.finalfantasyxiv.com/f/f48d73c6a9584f837a45c541b1cb614f_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645020963
15,123495,95,10,16,2400,,0,2400,Aleksandros Alesius,https://img2.finalfantasyxiv.com/f/307771138a5bdaa63aa3deeb94395768_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645081747
16,18935421,95,10,17,2209,,0,2209,Todd Bronson,https://img2.finalfantasyxiv.com/f/584da9a178e513359f55f1367718500a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645020660
17,1315537,95,10,18,2160,,0,2160,Trunk Slamchest,https://img2.finalfantasyxiv.com/f/2f03e57549bbb0c25c8ca9dfedc1e0e0_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645088759
18,20672633,95,10,19,2100,,0,2100,Yuki Aogane,https://img2.finalfantasyxiv.com/f/e04d21443d29099f544b883b4503ce9c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645071148
19,22678967,95,10,20,2041,,0,2041,Blu Um,https://img2.finalfantasyxiv.com/f/550404867b73589e1c8d0a21e18f1f1d_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644641346
