,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3045648,55,12,1,78888,,0,78888,King Kaiser,https://img2.finalfantasyxiv.com/f/24cf1489e7b59a50e9de367faeb6f656_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645134022
1,26392908,55,12,2,34296,,0,34296,Vidar Kusanagi,https://img2.finalfantasyxiv.com/f/1f215cd0f8d352c1fd105ae8578baac6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644843808
2,28187144,55,12,3,27333,,0,27333,Floppy Bunny,https://img2.finalfantasyxiv.com/f/a8e446db01641b74b6233a376586fe9e_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645151884
3,12496145,55,12,4,21461,,0,21461,Alaric Taenaris,https://img2.finalfantasyxiv.com/f/25c32ee573221db2208fdb848f82ae42_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645154400
4,10351236,55,12,5,17797,,0,17797,Kanami Nekosong,https://img2.finalfantasyxiv.com/f/f5daf4f72d19b1f07a6b9f25e139c9d4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644810580
5,20883246,55,12,6,8525,,0,8525,Ophelia Dragoumis,https://img2.finalfantasyxiv.com/f/1f02b61a85aeb8cbd9f9834b291dfcac_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644834774
6,24683891,55,12,7,5222,,0,5222,Tatey Tups,https://img2.finalfantasyxiv.com/f/2be86d8eb29cae2f014af6181e6b7226_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644809273
7,20512037,55,12,8,2693,,0,2693,Echo Abar,https://img2.finalfantasyxiv.com/f/8dfc513189a3b069d4db3e8cb9959974_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644828885
8,21958159,55,12,9,2631,,0,2631,Zeke Venator,https://img2.finalfantasyxiv.com/f/bcb833bb44d897345ac22f02e715c32d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645145431
9,8617911,55,12,10,2416,,0,2416,Kurai King,https://img2.finalfantasyxiv.com/f/4a10a110f81805afc19878a560813b62_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645188684
10,18980155,55,12,11,2320,,0,2320,Shilka Levinia,https://img2.finalfantasyxiv.com/f/432ce875606aa5beeef9dd652f5c0797_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645181852
11,30546004,55,12,12,2068,,0,2068,Idrine Moucoix,https://img2.finalfantasyxiv.com/f/8f38a032e52e01b66aa4b281feccf233_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644958462
12,10681559,55,12,13,2040,,0,2040,Nala Llen,https://img2.finalfantasyxiv.com/f/115e6747be94dbddf7fbcdf30c86ac75_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645005426
13,31644184,55,12,14,1662,,0,1662,Sui Minamoto,https://img2.finalfantasyxiv.com/f/9e0bd2abf400a721f8d93e83c0f26453_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645045023
14,29074032,55,12,15,1574,,0,1574,Reika Silverfang,https://img2.finalfantasyxiv.com/f/7e55c98b8ada6364d67d84e999c8cff8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644807541
15,7840160,55,12,16,1500,,0,1500,Bonizo White,https://img2.finalfantasyxiv.com/f/31d4e140ac6ab025f2754dc2aa45892b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644977394
16,27637580,55,12,17,1330,,0,1330,Mangoes Ende-az,https://img2.finalfantasyxiv.com/f/4842ba417ea3b1f453a2bb78bc3afda2_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644991401
17,12543652,55,12,18,1320,,0,1320,Eoliwen Hawkborn,https://img2.finalfantasyxiv.com/f/4ad6c13014f0270eec3109f7af90570a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644783825
18,11487994,55,12,19,1253,,0,1253,Crystella Weaver,https://img2.finalfantasyxiv.com/f/4d3733daf781a8e217408c654a9a14f3_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644640828
19,15740458,55,12,20,1170,,0,1170,Evelyn Von-everec,https://img2.finalfantasyxiv.com/f/48d91bcabb3400069fd6915a6b37f911_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645146031
20,29584880,55,12,21,1080,,0,1080,Banthusir Martissal,https://img2.finalfantasyxiv.com/f/d824a4c857d99566c3b5c07524b5a4c0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645084814
21,29385677,55,12,22,930,,0,930,Glint Jr,https://img2.finalfantasyxiv.com/f/38e8d420eccd07dad9b1c794cf547072_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645174356
22,15650727,55,12,23,926,,0,926,Thunder Score,https://img2.finalfantasyxiv.com/f/fe06b334fb472e606c7e6b9615347030_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644603160
23,16727362,55,12,24,897,,0,897,Kishi Thanatos,https://img2.finalfantasyxiv.com/f/84f4c9df7f97e62217560f59c1bdfac5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644824752
24,19468311,55,12,25,845,,0,845,Sarkis Lugh,https://img2.finalfantasyxiv.com/f/fa3c8a2dcaf7a9ae44a343fa476e816c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645161379
