,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2897642,99,18,1,169113,,0,169113,Chocolate Muffin,https://img2.finalfantasyxiv.com/f/a5bf896e24a116cf47b6ded97144ba25_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644834468
1,6701260,99,18,2,117738,,0,117738,Donut Steel,https://img2.finalfantasyxiv.com/f/086bb1bb8ddcd5b9422f0bf2722da4ff_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645085698
2,23718957,99,18,3,113583,,0,113583,Sparkle Reshi,https://img2.finalfantasyxiv.com/f/90f25acd1c2f59f1a80e0102610e415c_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645039671
3,18427141,99,18,4,76566,,0,76566,Roi Tempest,https://img2.finalfantasyxiv.com/f/64115d211fb14b103b052e0f943884fe_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645099861
4,4298952,99,18,5,71298,,0,71298,Cintra Tyranu,https://img2.finalfantasyxiv.com/f/e2596b81e608bb4d6380af3b10f922cc_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645149683
5,127379,99,18,6,58215,,0,58215,Iryoku Avaleska,https://img2.finalfantasyxiv.com/f/3fa28f2533bd2a80d1408c23fe82fef7_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645126305
6,19056884,99,18,7,50000,,0,50000,Loving You,https://img2.finalfantasyxiv.com/f/cbae5089500aefebb4f50767291687f4_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645092876
7,2894410,99,18,8,47617,,0,47617,Dolos Zenigame,https://img2.finalfantasyxiv.com/f/5397a92c7ae4a68bc7c458a4c9604033_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644928068
8,32740597,99,18,9,47509,,0,47509,Maximus Tigris,https://img2.finalfantasyxiv.com/f/789867cbf50c3ced72cacb37eaf6fe84_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645077511
9,31551087,99,18,10,41492,,0,41492,Jays Always,https://img2.finalfantasyxiv.com/f/db4c7b2dd8d405bdedbaefd06d190d69_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644721461
10,22217591,99,18,11,37957,,0,37957,Vulkan Prometheus,https://img2.finalfantasyxiv.com/f/ebcc2ce35da74453a4e6ddcb039ec42b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644998180
11,11034244,99,18,12,32955,,0,32955,Nona Mori,https://img2.finalfantasyxiv.com/f/613a4a0850be4fdd9a194e1a89141299_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645131724
12,10476067,99,18,13,30745,,0,30745,Arkhai Dotharl,https://img2.finalfantasyxiv.com/f/b63c12fa7c7b96da2ee6fbac05992aa0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645051270
13,29206084,99,18,14,29819,,0,29819,Lazy Bum,https://img2.finalfantasyxiv.com/f/e5416087d5186fb271d655702a454192_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645063944
14,32109661,99,18,15,28117,,0,28117,Cythus Apogee,https://img2.finalfantasyxiv.com/f/c235056e1fe92342dd3b5c7762ca15a0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645081446
15,21264388,99,18,16,26858,,0,26858,Mut Luthor,https://img2.finalfantasyxiv.com/f/59059a8c1e7023c1cb3d7ce68a227aae_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644777234
16,849140,99,18,17,24956,,0,24956,Cully Luthor,https://img2.finalfantasyxiv.com/f/1bedbf833b62d2505e82e8dbda79ca2f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644670884
17,11278586,99,18,18,24822,,0,24822,Xha Mewrilah,https://img2.finalfantasyxiv.com/f/4b0d2bbab2f64e0ceeae538c5fbe029f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645129645
18,22704360,99,18,19,23596,,0,23596,Lhoki'a Faustus,https://img2.finalfantasyxiv.com/f/dd095b54e55decc016951039527a7f62_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644770008
19,1373063,99,18,20,21420,,0,21420,Laela Prismriver,https://img2.finalfantasyxiv.com/f/ed2ce5e15107b8802d14a8db24b6d8e9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645181301
20,5538467,99,18,21,19752,,0,19752,Vargotha Faye,https://img2.finalfantasyxiv.com/f/ffb80785a2158b9b300c951127cca831_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645171656
21,5711302,99,18,22,18726,,0,18726,Grumpy Flex,https://img2.finalfantasyxiv.com/f/f9917c0808192bf56668ccd46baf325b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644641839
22,1366716,99,18,23,17964,,0,17964,Silver Spiral,https://img2.finalfantasyxiv.com/f/310dccb71775b169307d77a20bcfca6c_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645055214
23,12069959,99,18,24,16581,,0,16581,Nea Politan,https://img2.finalfantasyxiv.com/f/5abf3e4b9daae33c54dff661098ccd17_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645006232
24,18491275,99,18,25,16571,,0,16571,Theodora Kuuivude,https://img2.finalfantasyxiv.com/f/470caf021ef96ec2e05db3cc5d827944_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645151888
25,24945081,99,18,26,15934,,0,15934,Adelaide Dupre,https://img2.finalfantasyxiv.com/f/4c0b13b588831a8931aaf62af2bd8d25_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645102560
26,1355635,99,18,27,13657,,0,13657,Julie Dagath,https://img2.finalfantasyxiv.com/f/804f8ede7aff85ef421b9fadcdb03f67_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645189651
27,2824378,99,18,28,12765,,0,12765,Khajisertan Dalamiq,https://img2.finalfantasyxiv.com/f/f79df7267012dcc99ea929b9a586cb72_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645098594
28,3208932,99,18,29,11760,,0,11760,Rota Fortunae,https://img2.finalfantasyxiv.com/f/2edaef7c384df5ee92a208ce627959ec_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645188846
29,80483,99,18,30,11244,,0,11244,Chiffon Cake,https://img2.finalfantasyxiv.com/f/44d3b1454a7c73b0589c366282cfcfcb_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644791161
30,26576615,99,18,31,11078,,0,11078,Rinh'a Moshantu,https://img2.finalfantasyxiv.com/f/c77142361af5e1c943ce60a888954603_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645010131
31,22095962,99,18,32,10670,,0,10670,Shibuya Rin,https://img2.finalfantasyxiv.com/f/1583c44bb2bea282e8357d69a826ee3d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645140046
32,24379998,99,18,33,10035,,0,10035,Devna Mori,https://img2.finalfantasyxiv.com/f/c603125698d60af462df996205c8a763_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645083204
33,12069028,99,18,34,9577,,0,9577,Krisrin Chambers,https://img2.finalfantasyxiv.com/f/2104b71d727a6ebc1d7ece6a5b55448d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645167658
34,31317442,99,18,35,8937,,0,8937,Lanna Helhet,https://img2.finalfantasyxiv.com/f/f54c811e03570832d9b556ee90f7e0b8_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644639143
35,28250656,99,18,36,8668,,0,8668,Roland Mathis,https://img2.finalfantasyxiv.com/f/a717164b3422433612cbdea8a67d932a_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645016878
36,4091202,99,18,37,8608,,0,8608,Ryo Yuki,https://img2.finalfantasyxiv.com/f/6a249be1047b4c8cc285d8fbf5687db8_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645114946
37,3380555,99,18,38,8559,,0,8559,Kanjida Krusei,https://img2.finalfantasyxiv.com/f/07240c86d79f2ada89d74787e7b2adc9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645135971
38,1182698,99,18,39,8499,,0,8499,Klaus Volfield,https://img2.finalfantasyxiv.com/f/f466b8075dad67813e2f3169f54c4e41_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645102997
39,31146006,99,18,40,8442,,0,8442,Merrie Silphina,https://img2.finalfantasyxiv.com/f/c806eb4b83b13336d74915ffbb16650f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644991883
40,10799817,99,18,41,8262,,0,8262,Zemik Tenderpaw,https://img2.finalfantasyxiv.com/f/f264edc057c9da75d3fcc0bd57a202b5_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645116802
41,746915,99,18,42,7949,,0,7949,Mazrim Taim,https://img2.finalfantasyxiv.com/f/e273660c1a5cf6d39320b22cba9d5877_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644945328
42,27965638,99,18,43,7716,,0,7716,Vatto Manoku,https://img2.finalfantasyxiv.com/f/54637342daae6d156b267b50003566b2_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644874516
43,6653308,99,18,44,7487,,0,7487,Grael Rosavius,https://img2.finalfantasyxiv.com/f/f64bc126861758449db57f9f9f7ee7f7_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645127237
44,31722695,99,18,45,7410,,0,7410,Dulce Aoba,https://img2.finalfantasyxiv.com/f/7b194c7a39b15fcb27a85650ff8ed6d2_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644889625
45,21066142,99,18,46,7083,,0,7083,Alva Kohins,https://img2.finalfantasyxiv.com/f/b31abaf253fc290cb23b15e7cad9dfcf_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645150281
46,24789791,99,18,47,7081,,0,7081,T'kiya Swordsworn,https://img2.finalfantasyxiv.com/f/39af9c7559132363ceb75aaa34fd729f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645186519
47,28819567,99,18,48,6934,,0,6934,Namiel Greystone,https://img2.finalfantasyxiv.com/f/b0d9e30e8851857f0948af47bc6007b9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644963316
48,22658468,99,18,49,6901,,0,6901,Ange Serena,https://img2.finalfantasyxiv.com/f/9623104e78d06a809dde42352274d23c_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645099165
49,9587325,99,18,50,6643,,0,6643,Aeon Winterblade,https://img2.finalfantasyxiv.com/f/0c9e97662aa5a5803febfe765b78ddbb_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645112907
50,32058482,99,18,51,6206,,0,6206,Wind-up Lue-reeq,https://img2.finalfantasyxiv.com/f/c8a5b596337f875580a4632c89ac198b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644603765
51,3372916,99,18,52,5620,,0,5620,Madlax Kobayashi,https://img2.finalfantasyxiv.com/f/70020a667b16e835803b72c7d77e789f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645133492
52,11535526,99,18,53,5449,,0,5449,Albus Lucem,https://img2.finalfantasyxiv.com/f/95eeec1a52c1465e42701905c062dd3f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645177463
53,32215473,99,18,54,4881,,0,4881,Orin Gray,https://img2.finalfantasyxiv.com/f/85a21f6ec33e6e77fbaa980bbfca6a09_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645087359
54,2859040,99,18,55,4283,,0,4283,Neo Phantome,https://img2.finalfantasyxiv.com/f/0c80083330eda4284245900ae2f42db6_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645159180
55,12792978,99,18,56,2969,,0,2969,Rynn Amaryllis,https://img2.finalfantasyxiv.com/f/03ebef819fa681d577d3bcbca41f84df_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645032734
56,25916510,99,18,57,2943,,0,2943,Ratty Senpai,https://img2.finalfantasyxiv.com/f/9062c289c94d71ffb928ae9a705c7caa_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644820678
57,1557153,99,18,58,2816,,0,2816,Shadow Krillin,https://img2.finalfantasyxiv.com/f/b2f9feb4639597b7fba87a929b3b8224_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644834933
58,22886983,99,18,59,2790,,0,2790,Tyr Mizuhiki,https://img2.finalfantasyxiv.com/f/162323beb40d1840682392f1d20569ff_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645023565
59,3457766,99,18,60,2628,,0,2628,Sablier Yoshi,https://img2.finalfantasyxiv.com/f/c054d64d7aacfef28840848349061088_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645070355
60,15796261,99,18,61,2586,,0,2586,Marasenna Exegesis,https://img2.finalfantasyxiv.com/f/eb63b45d09123dfd5257823938da627d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645137926
61,10408403,99,18,62,2466,,0,2466,Kuzna Kikana,https://img2.finalfantasyxiv.com/f/03d333af6a14fe720961ea10f7ea2023_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644956320
62,25151193,99,18,63,2047,,0,2047,Elijah Roseblood,https://img2.finalfantasyxiv.com/f/79f38b7331fad1a9c19df908c9d63c5b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645113711
63,11365587,99,18,64,1955,,0,1955,Aella Acacia,https://img2.finalfantasyxiv.com/f/d950815d298451a8676a61236dba9ffd_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645085810
64,3645135,99,18,65,1538,,0,1538,Sumai Mazen,https://img2.finalfantasyxiv.com/f/a44bf96fd6fab75d5f6531e4b78eb947_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645168494
