,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,20273619,50,15,1,202935,,0,202935,Rina Wescoe,https://img2.finalfantasyxiv.com/f/a640e4b458910321ff01bfc451da5c9a_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645136450
1,17906839,50,15,2,31821,,0,31821,Tohro Ursus,https://img2.finalfantasyxiv.com/f/da89f6ea6d6e478a3fc3ef37f767c3d3_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645134354
2,22774873,50,15,3,30859,,0,30859,Ti Ti,https://img2.finalfantasyxiv.com/f/6e216d743445aee6173bf8f958b01d46_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645164611
3,29495896,50,15,4,9969,,0,9969,Conana Cona,https://img2.finalfantasyxiv.com/f/6751aa8ae498b2cf04e699b661cb221d_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645130631
4,2329309,50,15,5,7398,,0,7398,Yami Olkund,https://img2.finalfantasyxiv.com/f/c9bfe3918287e9dde6b668f5020d2392_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645169195
5,26425385,50,15,6,6448,,0,6448,Frost Auslese,https://img2.finalfantasyxiv.com/f/e013b6ecb6698ada00ea2894e8eb6900_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645100241
6,25914139,50,15,7,5754,,0,5754,Leo Noah,https://img2.finalfantasyxiv.com/f/c6f1775d376399a89797689c7bda6e8e_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645160545
7,30966829,50,15,8,5580,,0,5580,Alberta Shibunuri,https://img2.finalfantasyxiv.com/f/f32eb449ef884101cee7604bb8f8ec7a_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644965332
8,30529992,50,15,9,5411,,0,5411,Pangs Whyte,https://img2.finalfantasyxiv.com/f/8c04965218a771849ae80e45efaaa96e_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644786055
9,6098856,50,15,10,4681,,0,4681,Quattro Vageena,https://img2.finalfantasyxiv.com/f/fe23f595b24704c0688f0952d75d983b_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645155385
