,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23091405,42,8,1,24498,,0,24498,Ria Meriel,https://img2.finalfantasyxiv.com/f/da422e1db470d06351cbf1030cd63e11_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644920606
1,2301463,42,8,2,14183,,0,14183,Rune Locke,https://img2.finalfantasyxiv.com/f/ddf90324d0c4af78c3573ae26bd0880d_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645177995
2,23828259,42,8,3,5980,,0,5980,Kinato Wyrand,https://img2.finalfantasyxiv.com/f/608102ed54d93dce3b46fe28aaa0e125_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644979463
3,23102861,42,8,4,5653,,0,5653,Izu Kusakari,https://img2.finalfantasyxiv.com/f/0b91527fdd9dc9a2e998837b4182c171_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645136596
4,25397968,42,8,5,5197,,0,5197,Aine Sevri,https://img2.finalfantasyxiv.com/f/d8d40d000fb4d3b3429347b4e206a53c_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644854730
5,18646846,42,8,6,3568,,0,3568,Jocelyn Wanijima,https://img2.finalfantasyxiv.com/f/ce3dfa013aef0c57b2ed9df01b95d239_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644956524
6,8620063,42,8,7,3455,,0,3455,Jynh Karhien,https://img2.finalfantasyxiv.com/f/ba9e1da3524b79c05ab735d237c17edc_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645197522
7,23584060,42,8,8,3360,,0,3360,Laurent Colbernoux,https://img2.finalfantasyxiv.com/f/07f671cb46d96e69ec2d325e806fc8a9_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645013207
8,19433840,42,8,9,2939,,0,2939,Kiana Arai,https://img2.finalfantasyxiv.com/f/c4e3e04620d5adc05a1ac4188da94e00_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645043788
9,27709721,42,8,10,2652,,0,2652,Ysera Casca,https://img2.finalfantasyxiv.com/f/be4d0bc532ef93f1e65bfd1d7647a6f7_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644822953
10,21344001,42,8,11,2545,,0,2545,Stine Lala,https://img2.finalfantasyxiv.com/f/77fd9d72009b28d691df24813c45cde5_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644972332
11,13381502,42,8,12,2447,,0,2447,Kagura Havi,https://img2.finalfantasyxiv.com/f/d283da33e086d7cc7504a8dacad3523b_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644938929
12,24389825,42,8,13,2392,,0,2392,Kiroshi Kumeida,https://img2.finalfantasyxiv.com/f/48d45b1d5734f15b887d01448d70a019_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645182846
13,27722966,42,8,14,2376,,0,2376,Lala Palooza,https://img2.finalfantasyxiv.com/f/c4dce219e3d4df3e1191fb17edfc6f79_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645103422
14,17335966,42,8,15,2240,,0,2240,Elissabeth Swan,https://img2.finalfantasyxiv.com/f/e90cedc0baae08ac561e70e145131103_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644640962
15,22176603,42,8,16,2193,,0,2193,Firusha Kirae,https://img2.finalfantasyxiv.com/f/1ca5dc74596e4210d60e100a7b4a7294_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645009684
16,5594536,42,8,17,2154,,0,2154,Zeck Merquise,https://img2.finalfantasyxiv.com/f/1c76970fc170fda1b1a6ea5fa2eb3523_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645140278
17,21967833,42,8,18,2153,,0,2153,Lotara Locard,https://img2.finalfantasyxiv.com/f/188edcded5db6263d77ce44c96b8be20_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645116535
18,22277203,42,8,19,1897,,0,1897,Celestia Weiss,https://img2.finalfantasyxiv.com/f/aa2025c75e75905f271442d707cce145_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645050342
19,7113349,42,8,20,1676,,0,1676,Baka Niisan,https://img2.finalfantasyxiv.com/f/67ec77188b2f175f36b61249a06e827b_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645074325
20,15714775,42,8,21,1650,,0,1650,Rikku Highwind,https://img2.finalfantasyxiv.com/f/cad4632e8cbfdfd18333bd41900bb955_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645159467
21,11562097,42,8,22,1559,,0,1559,Selene Wulf,https://img2.finalfantasyxiv.com/f/96b3243a2d6010919d213bef5eca5c0b_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644952789
22,23176984,42,8,23,1551,,0,1551,Kyaru Minami,https://img2.finalfantasyxiv.com/f/239d52d485e269eb372c7e8f6520ff3f_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644840067
23,10950513,42,8,24,1539,,0,1539,Mira Kaioh,https://img2.finalfantasyxiv.com/f/d1df2d7c93d7f59c509b085bce733927_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645144980
24,22895777,42,8,25,1539,,0,1539,Sheliss Cairns,https://img2.finalfantasyxiv.com/f/f14873cb2eaa0e25f7d6d0f8b58b9b37_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644849770
25,22325002,42,8,26,1530,,0,1530,Kazuma Kamihara,https://img2.finalfantasyxiv.com/f/cd33a722d666006aebf33008e73d947d_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644823681
26,26794516,42,8,27,1530,,0,1530,Nova Cassiopeia,https://img2.finalfantasyxiv.com/f/92fb2749bdbc9ed99b6e460ee6d156c5_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644818242
27,7567422,42,8,28,1529,,0,1529,Ethelinda Leach,https://img2.finalfantasyxiv.com/f/2be08b9fc7aa2604338836c6a2521848_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644959327
28,22542799,42,8,29,1500,,0,1500,Dusaro Kanta,https://img2.finalfantasyxiv.com/f/2fe7b73a554b258ec6851d1c12ff24d2_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644965716
