,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,13065875,69,11,1,1245772,1.0,1091490,154282,Hige Malkovich,https://img2.finalfantasyxiv.com/f/bec5f64dd2b5fad5270864379ce9add6_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644620272
1,5826849,69,11,2,1119439,2.0,839906,279533,Lyuba Lefay,https://img2.finalfantasyxiv.com/f/7d5013ddf6dc4e1b7f13f74d3d64f7b3_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644776717
2,867210,69,11,3,888888,4.0,418983,469905,Miruru Apricot,https://img2.finalfantasyxiv.com/f/8bb5cb58b76a3d98896713c74d3d3bdb_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644956890
3,15050724,69,11,4,676699,3.0,500347,176352,Mihawk Garcia,https://img2.finalfantasyxiv.com/f/dcf2f61dd14ba1bf8c364041af94d433_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645134187
4,32208076,69,11,5,591131,6.0,328414,262717,Lumia Roseus,https://img2.finalfantasyxiv.com/f/be7a60af56be3bf6cd7ec15892f4860d_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645204762
5,30622975,69,11,6,522513,5.0,360935,161578,Snow Restar,https://img2.finalfantasyxiv.com/f/5d2f2349f59a3536f6444893722597ea_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645096772
6,14350867,69,11,7,373779,8.0,234509,139270,Kruvi Berck,https://img2.finalfantasyxiv.com/f/f13b56c6b8293cee46917169c378065d_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645121955
7,30037185,69,11,8,365173,7.0,250098,115075,Suzuna Gladstone,https://img2.finalfantasyxiv.com/f/e40e6cf8f3f73c68df9b0e44a3bb4915_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645121945
8,13942497,69,11,9,260379,9.0,212757,47622,Zero Waco,https://img2.finalfantasyxiv.com/f/f3c9182c684bab5fd15c9f2274a67687_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645119614
9,31233695,69,11,10,201965,11.0,107279,94686,Akira Tabiji,https://img2.finalfantasyxiv.com/f/d52df70b14f7d3fd0289c1e2071aeb42_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644793348
10,25427808,69,11,11,170778,13.0,68910,101868,Rascal Amari,https://img2.finalfantasyxiv.com/f/d59831f445d944d802dbaf1e077455d0_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645171434
11,3912054,69,11,12,161026,15.0,63496,97530,Secia Baldesion,https://img2.finalfantasyxiv.com/f/d3711ec89b7d3398582007ab0fb96adf_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645174071
12,15246992,69,11,13,136825,10.0,126881,9944,Agito Orochi,https://img2.finalfantasyxiv.com/f/52299eb0b6aba56f0af6e51f5f6bb946_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645012777
13,7900379,69,11,14,126168,12.0,88107,38061,Mikotish Maria,https://img2.finalfantasyxiv.com/f/f9e4a95853a722a5043d2554f56468d0_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644876802
14,28298200,69,11,15,81162,23.0,40954,40208,Poppy Bardsley,https://img2.finalfantasyxiv.com/f/bf5fbae12edcbaf8b0d08b2eae5e1f1c_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645096795
15,25151373,69,11,16,70690,18.0,52875,17815,Inomochi Noano,https://img2.finalfantasyxiv.com/f/9b576a95d3252c972c199f41eaeafaf8_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644854223
16,5849302,69,11,17,67786,14.0,67786,0,Lychee Glass,https://img2.finalfantasyxiv.com/f/02bf1fd335d919ce8d0467dc73b89fba_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645057628
17,28866630,69,11,18,65146,20.0,48085,17061,Jojoba Joba,https://img2.finalfantasyxiv.com/f/0e7901497a495d2f2e4631b7700e61fb_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644869489
18,6408815,69,11,19,62988,16.0,62988,0,Otomo Spica,https://img2.finalfantasyxiv.com/f/f4ee5514475aa3c610ba4c5ec7679dd3_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645078523
19,2358631,69,11,20,60390,24.0,39876,20514,Dante West,https://img2.finalfantasyxiv.com/f/458e36610ca1c59f56594d5cc2945bc7_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645150151
20,12970744,69,11,21,56002,19.0,52074,3928,Toeri Etta,https://img2.finalfantasyxiv.com/f/401cb6470d17ebe23013bfc4e242c5e4_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645050501
21,25405672,69,11,22,54828,17.0,54828,0,Cajun T'o'fu,https://img2.finalfantasyxiv.com/f/59e729297f5a6b559765efacd74841a6_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644867887
22,5069380,69,11,23,53274,21.0,44115,9159,Lendy Rivera,https://img2.finalfantasyxiv.com/f/cd923cacc883087618fdd2e50307cace_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644949320
23,15826068,69,11,24,45297,22.0,41589,3708,Yuri Wisteria,https://img2.finalfantasyxiv.com/f/59024833f099847813c190ef3fb4fd80_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645075691
24,4977155,69,11,25,31474,27.0,28602,2872,Seek Tread,https://img2.finalfantasyxiv.com/f/3846bd2bc57ec9daf2795c4f1320c2ac_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645130664
25,15908550,69,11,26,30591,25.0,30591,0,Minyato Nyan,https://img2.finalfantasyxiv.com/f/26e525f402be4132852bb8137e59c6ab_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645136872
26,21214531,69,11,27,28790,28.0,26127,2663,Chara Bell,https://img2.finalfantasyxiv.com/f/c97930c863b2ad6262969f03a1aeab50_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644999890
27,22806508,69,11,28,28689,26.0,28689,0,Rahi Higusari,https://img2.finalfantasyxiv.com/f/8747db0b7f4e20478eef1434ba0e77fb_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645142573
28,18882263,69,11,29,27210,44.0,12641,14569,Koguma Sakuma,https://img2.finalfantasyxiv.com/f/b81240f93c26761202e5e70af7f05917_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645195203
29,11411535,69,11,30,24600,29.0,24600,0,Sweet Bastet,https://img2.finalfantasyxiv.com/f/85f5568d3320fab10f4381f991ce7f50_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644996547
