,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,16523830,36,13,1,555555,2.0,317484,238071,Oromi Rhiki,https://img2.finalfantasyxiv.com/f/ab89760a923d31eace5980a003c4e621_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645191849
1,7042195,36,13,2,521851,1.0,381066,140785,Talia Hailwind,https://img2.finalfantasyxiv.com/f/7b17bc37dcf27a0ededb456d272e2d5b_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645184821
2,5129773,36,13,3,282342,3.0,282342,0,Mireiawen Rose,https://img2.finalfantasyxiv.com/f/df7be5334c18abde400ae71b97483968_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645131892
3,24497881,36,13,4,226599,4.0,155216,71383,Serdorek Clahovort,https://img2.finalfantasyxiv.com/f/e5ed19910f93e364fa054481f2f2f932_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645009919
4,27790578,36,13,5,190964,8.0,119603,71361,Pokonac Snow,https://img2.finalfantasyxiv.com/f/a05607f2bf3012e69a997445aea6f1ea_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644942507
5,30016058,36,13,6,175599,11.0,75704,99895,Mom Sun,https://img2.finalfantasyxiv.com/f/8ca005c3d942078538b883cd42c57749_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644832363
6,27050845,36,13,7,156044,5.0,134648,21396,Kurai Tsuki,https://img2.finalfantasyxiv.com/f/ca274bc021f766b4b2cfc8f689970a83_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644806592
7,6651841,36,13,8,153429,6.0,126468,26961,Chibisuke Neva,https://img2.finalfantasyxiv.com/f/1d7efc9ffa1a09fad2ba45dbe1b5c74d_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645173945
8,23140079,36,13,9,150138,9.0,104524,45614,Celica Lunare,https://img2.finalfantasyxiv.com/f/18557a778155b2c9b98499b5cb198c1a_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644779744
9,18405348,36,13,10,136839,7.0,121391,15448,Hayami Hana,https://img2.finalfantasyxiv.com/f/2fd40ce23b8c73398e928fcdf5a4e2f5_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644973960
10,20722058,36,13,11,124959,12.0,75363,49596,Dr Einseinszwei,https://img2.finalfantasyxiv.com/f/5e3c3f5791c0e5e4ebed15043a6ee656_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644626102
11,6998434,36,13,12,112128,10.0,78360,33768,Angry Cupcake,https://img2.finalfantasyxiv.com/f/b8c0adff6a629252cae3413cc847d3be_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645159375
12,24334799,36,13,13,66050,14.0,52000,14050,Ziesel Zieselmann,https://img2.finalfantasyxiv.com/f/46098446591547848e4c8e4b0234dee9_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644996290
13,18985258,36,13,14,63551,13.0,55464,8087,Ravus Amicitia,https://img2.finalfantasyxiv.com/f/a9d06082beb1bee53ad3caff26becb75_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645068901
14,8346415,36,13,15,35575,15.0,35575,0,Freya Moshroca,https://img2.finalfantasyxiv.com/f/4a9c225dfc8248822bcee318387f3384_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645113445
15,11709435,36,13,16,31050,16.0,28950,2100,Ameliah Awanda,https://img2.finalfantasyxiv.com/f/d87028034ea3082f6f7bc44ac270141e_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644921756
16,8482948,36,13,17,24718,23.0,12184,12534,Niku Yukino,https://img2.finalfantasyxiv.com/f/125f55b9b06bb684d8d6fc18b2018a38_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645074549
17,23177138,36,13,18,18046,17.0,18046,0,Skye Midna,https://img2.finalfantasyxiv.com/f/07418c89bd37265bed1de953aaf21795_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645081879
18,12263879,36,13,19,16015,18.0,16015,0,Fufu Hufflepuff,https://img2.finalfantasyxiv.com/f/9c218f0ff75960a4861f1f624670ca5c_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645034780
19,17563691,36,13,20,15814,19.0,14621,1193,Kuro Fuyu,https://img2.finalfantasyxiv.com/f/a806b8d4f2159667f99a157af8d8b67e_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645078678
20,24594694,36,13,21,14634,24.0,11400,3234,Aylina Azeria,https://img2.finalfantasyxiv.com/f/05266eff49df3da1eda2cc40a9104d77_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645140547
