,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24108488,83,18,1,1281490,1.0,1012765,268725,Sarath Ras,https://img2.finalfantasyxiv.com/f/516a16fae39b6b2024c516026d36c25e_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645130941
1,18606347,83,18,2,1000000,3.0,906881,93119,Ayori Irento,https://img2.finalfantasyxiv.com/f/4d67d4fa332a32152fa48b86de250c62_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645156483
2,14031013,83,18,3,954332,2.0,954332,0,Toha Mlohlo,https://img2.finalfantasyxiv.com/f/4507a9f2366846ffe8cca9fe2d4b006d_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645122727
3,33651274,83,18,4,611393,15.0,291815,319578,Chikin Knight,https://img2.finalfantasyxiv.com/f/2d5588a9a9813fe168f4b4f89a85e485_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645044611
4,27011976,83,18,5,597810,5.0,531114,66696,Felicity Rava,https://img2.finalfantasyxiv.com/f/43fee77bb1cf07ce6aa64f588e6b0f2c_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645119196
5,24698766,83,18,6,588748,6.0,465677,123071,Pitusha Shikhu,https://img2.finalfantasyxiv.com/f/0f5516c97e96c03a3e1bb65a51ed2864_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645126882
6,6664040,83,18,7,586119,4.0,558284,27835,Jehuty Lionheart,https://img2.finalfantasyxiv.com/f/ee04b350aaf7b491cb814fa589afc593_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645157743
7,26660002,83,18,8,581311,8.0,442601,138710,Hanama Aulra,https://img2.finalfantasyxiv.com/f/28ca8453468f4f349bd6081186bf9fff_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645111488
8,18548729,83,18,9,513248,7.0,443860,69388,Nine-arts Moehre,https://img2.finalfantasyxiv.com/f/a67bbecd760b0918176ac01b40edc243_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645046177
9,29483296,83,18,10,441173,12.0,329917,111256,Leauric Solbourne,https://img2.finalfantasyxiv.com/f/9924e99ddac53af9077c9af2016e01c2_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645175580
10,26248661,83,18,11,432417,67.0,19343,413074,Darkray Primal,https://img2.finalfantasyxiv.com/f/33006e615d372f84745d97c4781c69ae_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645006438
11,19427204,83,18,12,412315,9.0,392449,19866,Silver Higashikata,https://img2.finalfantasyxiv.com/f/3f5ecba9fc4767efff2428186b892cdc_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645075595
12,13078155,83,18,13,412216,13.0,317926,94290,Vindir Snowleaf,https://img2.finalfantasyxiv.com/f/cdf35a5277f78200f836b4830cff3897_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645050116
