,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,5482311,56,8,1,1515424,1.0,1344799,170625,Lilith Lister,https://img2.finalfantasyxiv.com/f/78e4eb1ae3d3e10ef49baad77059e508_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644936572
1,8871966,56,8,2,784175,8.0,232704,551471,Malacheska Delaflagra,https://img2.finalfantasyxiv.com/f/f9b258eae1dd0c7b7ad5744249de5f31_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644883824
2,18008647,56,8,3,562135,2.0,530393,31742,Risker Chiken,https://img2.finalfantasyxiv.com/f/5ef83cb411133f6c704e7250a175bd6c_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645131020
3,10327208,56,8,4,517623,4.0,452112,65511,Nina Elfe,https://img2.finalfantasyxiv.com/f/d47bd607dcdd44d090ee2eb799008e56_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644991416
4,2814268,56,8,5,507465,5.0,450978,56487,Ryu Saarva,https://img2.finalfantasyxiv.com/f/699aca66797a1a31a808683aebc95853_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645161050
5,23987695,56,8,6,501697,3.0,471341,30356,Jasek Gunga,https://img2.finalfantasyxiv.com/f/27e3ff77024456c1a21aa009aa156b11_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645168477
6,1499034,56,8,7,445704,6.0,384864,60840,Ya'shari Halai'ra,https://img2.finalfantasyxiv.com/f/a9e4f8258793374a882cd058e69c6db9_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645079806
7,9467407,56,8,8,361319,7.0,356163,5156,Maliia Tel'fyra,https://img2.finalfantasyxiv.com/f/4c772d821cfd4af88acafde828d59a30_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645197331
8,14859149,56,8,9,263895,11.0,193065,70830,Kyle Robb,https://img2.finalfantasyxiv.com/f/52a79e3bc92d3494557ed929d6690643_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645176700
9,30166243,56,8,10,250340,,0,250340,Dial-up Connection,https://img2.finalfantasyxiv.com/f/169bdd85bb7c2813497459f8e6e7df31_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645166721
10,6037967,56,8,11,233297,9.0,225878,7419,Kirin Foximus,https://img2.finalfantasyxiv.com/f/2bdc4cfcf539530c33d9ada1a25acf1f_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645118473
11,15019636,56,8,12,227011,10.0,200091,26920,Amelia Silverwind,https://img2.finalfantasyxiv.com/f/9efa6cd279049bd63ecba39d7b7bc41f_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645104993
12,6927587,56,8,13,95335,12.0,95335,0,Blacksouls Katamorph,https://img2.finalfantasyxiv.com/f/7d16438912fb230b2f336587db8494e9_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645037055
13,11035986,56,8,14,69372,13.0,69372,0,Tom Silkarrow,https://img2.finalfantasyxiv.com/f/36309f0b1bf2029722a6c48c077a12fd_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644836588
14,10207569,56,8,15,68661,14.0,68661,0,Kyrie Blackquill,https://img2.finalfantasyxiv.com/f/b73ec8368a6acd07e219fd6da13195ec_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645169403
15,29893739,56,8,16,60741,15.0,60741,0,Anzu Kawainami,https://img2.finalfantasyxiv.com/f/43dc581d261010ad59a53316cf0c4c0a_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644815668
16,4175739,56,8,17,52700,16.0,43457,9243,T'alyssa Nishino,https://img2.finalfantasyxiv.com/f/b57eab65c84a6293ced50fdf5e8d7538_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645174098
