,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,8643139,50,9,1,1111111,,0,1111111,Moke Mokeke,https://img2.finalfantasyxiv.com/f/63bb582d83dd813fb7651402705fedcd_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645150841
1,10318388,50,9,2,657419,2.0,530769,126650,Zephyr Sway,https://img2.finalfantasyxiv.com/f/3957d48161c2473f951e4995da668d1f_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645080540
2,9487593,50,9,3,636068,1.0,548342,87726,Milton Mayo,https://img2.finalfantasyxiv.com/f/43dcb2c8cf7399955fc77b8a2a968b28_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645029499
3,31196392,50,9,4,533596,6.0,227533,306063,Hiou Setsuna,https://img2.finalfantasyxiv.com/f/a747cb174930d898270f0f1decb84e84_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644692151
4,27690251,50,9,5,401499,3.0,367438,34061,Shinas Daknes,https://img2.finalfantasyxiv.com/f/0154e99c6c9b52d262250558dba49141_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645105929
5,3825015,50,9,6,398245,10.0,145335,252910,Glinda Gardner,https://img2.finalfantasyxiv.com/f/c9674dccdb8a3d76fb089c986d27484d_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645151623
6,29778284,50,9,7,389735,7.0,205875,183860,Aero Sora,https://img2.finalfantasyxiv.com/f/2b679a521dd92144deefd47974bb0531_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1644756500
7,26413172,50,9,8,329586,4.0,329586,0,Evan De,https://img2.finalfantasyxiv.com/f/843baf1b696b5a89f3efa6b5f68b1bae_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645041075
8,6305432,50,9,9,278428,5.0,250928,27500,Loren Winter,https://img2.finalfantasyxiv.com/f/f076be1c4f461e4117de1f748845bf28_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645046138
9,13912746,50,9,10,247746,9.0,149378,98368,Cole Malfoy,https://img2.finalfantasyxiv.com/f/8e384f607b93964661271f7bb1d8859c_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645072046
10,25319306,50,9,11,220437,,0,220437,Ikota Mugwort,https://img2.finalfantasyxiv.com/f/6854411d77b1fe1ce0edcdcbca8cf5ce_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645112671
11,24191921,50,9,12,215206,12.0,114772,100434,Mary Varlineau,https://img2.finalfantasyxiv.com/f/58ff841827ea61f6479cd8302302ceea_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645127190
12,25056407,50,9,13,196836,8.0,186066,10770,Katora Strife,https://img2.finalfantasyxiv.com/f/733a8295098fa530dbf183008d82cc78_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645001840
13,30301452,50,9,14,177042,13.0,114467,62575,Arc Caradine,https://img2.finalfantasyxiv.com/f/1d83a347875d09ad45a679c64d4b2945_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645116426
14,22586662,50,9,15,165630,11.0,140422,25208,Shun Pie,https://img2.finalfantasyxiv.com/f/79a06bb7b6914b5c6f10281da8849a80_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645114667
