,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18186571,51,10,1,1127301,2.0,801101,326200,Veneno Atoria,https://img2.finalfantasyxiv.com/f/98abbf8d65cc64f1b9c2128553bae7de_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645172710
1,28180291,51,10,2,1092013,1.0,918128,173885,Miko Rifrein,https://img2.finalfantasyxiv.com/f/f324a8ef2e53acf70abcf5c6185418d7_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644694470
2,30622713,51,10,3,496973,3.0,226392,270581,Peke Tukishima,https://img2.finalfantasyxiv.com/f/4d25cf0c7429e854c968bd0705465220_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645142878
3,12967077,51,10,4,309557,5.0,184783,124774,Life Raonenko,https://img2.finalfantasyxiv.com/f/2a57501fd716c04235bc42538282d60c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645102974
4,20271361,51,10,5,293038,14.0,75448,217590,Panzer White,https://img2.finalfantasyxiv.com/f/cddfd5b0994a2e797555f86c1337079d_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644907507
5,32499751,51,10,6,274026,4.0,197828,76198,Em Dy,https://img2.finalfantasyxiv.com/f/312350ea7c3ede13741f045312e74bfd_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645200223
6,24779436,51,10,7,265103,7.0,160753,104350,Pochiai Po,https://img2.finalfantasyxiv.com/f/21c4510b16544a6155d8d60313f9c5ad_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645132378
7,25215013,51,10,8,229639,6.0,163429,66210,Dam Black,https://img2.finalfantasyxiv.com/f/b2349d71c48e9a001454af5bf566fecf_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644852286
8,21682687,51,10,9,131537,12.0,79298,52239,Az Whale,https://img2.finalfantasyxiv.com/f/5a07b88cb9f1dfa07a16c987ba9962dd_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645201875
9,4718321,51,10,10,121530,13.0,77906,43624,Tell Me,https://img2.finalfantasyxiv.com/f/ca3166f9a65b1ef1dacae0af4fcc17cc_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644823865
10,27868862,51,10,11,119244,8.0,103374,15870,Hibineko Ku,https://img2.finalfantasyxiv.com/f/6bb49eb50b471fa6486f74f4cb0a744b_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645047257
11,2861242,51,10,12,118272,15.0,65202,53070,Lie Goon,https://img2.finalfantasyxiv.com/f/af43c4ec6eaf7f4f70577168a212915a_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645126636
12,18611723,51,10,13,113081,10.0,88086,24995,Candy Cutie,https://img2.finalfantasyxiv.com/f/c62ce9ddb6969e8a380382e5231ed83a_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644958583
13,23453367,51,10,14,108488,22.0,44647,63841,Aoi Kusanagi,https://img2.finalfantasyxiv.com/f/ddda0e12e4f114efecbf650d14317da9_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645084240
14,17582559,51,10,15,107522,9.0,90518,17004,Eris Lockhart,https://img2.finalfantasyxiv.com/f/cb722b9fa66779c9c5596bfadf6b83ab_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644916490
15,25197937,51,10,16,86101,32.0,31104,54997,Yuu Guren,https://img2.finalfantasyxiv.com/f/55dfe8bb4f2c2a4568ab818786989772_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645177695
16,17316388,51,10,17,83565,11.0,83565,0,Nuka- Duke,https://img2.finalfantasyxiv.com/f/52c558c080d94f1c83f2048d92020521_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645012224
17,4620747,51,10,18,77951,19.0,54994,22957,Hoshi Ao,https://img2.finalfantasyxiv.com/f/1c0773fb5f3a40d54080b0919f24faa8_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645049062
18,25157283,51,10,19,74825,16.0,63125,11700,Rufus Algren,https://img2.finalfantasyxiv.com/f/3d7640b3053e0cef0864d1e7f312757e_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645137877
19,16321421,51,10,20,71754,17.0,59943,11811,Niki Contratto,https://img2.finalfantasyxiv.com/f/23fdd12f91a88a856d81cf92b1a79fa8_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645059654
20,18880641,51,10,21,60472,24.0,41093,19379,Jumbo Meat,https://img2.finalfantasyxiv.com/f/0b67f10a8976d9a88fe296193d508bb6_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645033127
21,16872861,51,10,22,60150,20.0,47700,12450,Luna Lux,https://img2.finalfantasyxiv.com/f/f590e6bd194b01f38a0731fad57e6d4c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645105282
22,19811837,51,10,23,58269,18.0,58269,0,Rexel Kreis,https://img2.finalfantasyxiv.com/f/e52265337e24511cbf8c41391686f462_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645116436
23,30212059,51,10,24,47007,21.0,47007,0,Umagon Schneider,https://img2.finalfantasyxiv.com/f/da3745f19f2234784d77ac185e2b36b6_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644791032
24,23050452,51,10,25,44598,23.0,41811,2787,Kou Lalala,https://img2.finalfantasyxiv.com/f/45a52c5b9978f54a836f544ee6d7b82c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644818568
