,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30851619,45,13,1,158077,1.0,23762,134315,Kogeko Tr,https://img2.finalfantasyxiv.com/f/0b85a115a527b655512842b649223693_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645123775
1,22602382,45,13,2,63117,4.0,8397,54720,Aya Moco,https://img2.finalfantasyxiv.com/f/251f3e03b322e3b43ad04b401a5f729b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645090484
2,4968363,45,13,3,35768,40.0,934,34834,Pane Morbido,https://img2.finalfantasyxiv.com/f/904565a353f4d2d78db8a0148d9ea640_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645146358
3,32689207,45,13,4,27881,,0,27881,Ryan Nagaoka,https://img2.finalfantasyxiv.com/f/1619c81b1f005926c7dee0e4f3f771a5_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645022476
4,12780833,45,13,5,26748,,0,26748,Yui Euphemia,https://img2.finalfantasyxiv.com/f/2cba90b9bfb4ea751db919ffcaf3494c_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644725319
5,3091932,45,13,6,25674,2.0,16888,8786,Mikhail Seere,https://img2.finalfantasyxiv.com/f/45d0a415c17f7a3bf66b722664cf6251_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644972752
6,20725789,45,13,7,15426,12.0,3268,12158,Gris Minuit,https://img2.finalfantasyxiv.com/f/6b991c9e6d2e2a57afd470fc98731787_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644976513
7,29853087,45,13,8,13470,7.0,4470,9000,Reiji Frosty,https://img2.finalfantasyxiv.com/f/d76f1d51271f69e0e5d04ad3acd412e7_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645170100
8,27446851,45,13,9,10470,11.0,3353,7117,Kag'lla Danglan,https://img2.finalfantasyxiv.com/f/37d8bea8af5b3d641c27a4b89bad055f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645038963
9,5192102,45,13,10,9249,3.0,9249,0,Lavy Charon,https://img2.finalfantasyxiv.com/f/273aadfb28a13d823f219d79d54b898f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645086915
10,25279877,45,13,11,8815,6.0,6145,2670,Megu Amabile,https://img2.finalfantasyxiv.com/f/fda7a53d071d5c0779779ccc143c7e9d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644925837
11,6755214,45,13,12,8725,15.0,2833,5892,Wes Bright,https://img2.finalfantasyxiv.com/f/ea988c4139f2063fdc7b4043cf8d6acd_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645190389
12,26239737,45,13,13,8010,5.0,6510,1500,Rein Hiver,https://img2.finalfantasyxiv.com/f/e20ee3bf61f95790cacab6089eada50b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645180254
13,19707981,45,13,14,7980,18.0,2550,5430,Ama Ruma,https://img2.finalfantasyxiv.com/f/4df77a711f2a3ec006e29e61b66d96e2_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645088117
14,14013362,45,13,15,7332,25.0,1792,5540,Yuki Marionette,https://img2.finalfantasyxiv.com/f/5e6f7130a6242ce0f5fd64fa7d67f75d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645183735
15,17220102,45,13,16,6925,10.0,3390,3535,Mofy Shinonome,https://img2.finalfantasyxiv.com/f/73a24db62f13b0a2919e595e2ace1999_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644765694
16,30840154,45,13,17,6834,43.0,870,5964,Hiesha Kyu,https://img2.finalfantasyxiv.com/f/32b9a2924d170bb9e400268faee47fb6_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645176026
