,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24442110,92,17,1,205759,1.0,90566,115193,Nabana Saya,https://img2.finalfantasyxiv.com/f/e7041ac7dd74c2f8293a310b0cd5abc5_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644791318
1,31654042,92,17,2,176202,2.0,75062,101140,Henry Williams,https://img2.finalfantasyxiv.com/f/0d0dc6af22499a16007230c59f3af479_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645095128
2,29194591,92,17,3,112660,5.0,38837,73823,Ibuki Kanade,https://img2.finalfantasyxiv.com/f/13a86a5c3c7a6e731c97147ca939b45e_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645055159
3,13698024,92,17,4,95985,6.0,37438,58547,L' Miranic,https://img2.finalfantasyxiv.com/f/0e1e78dcf305cc81f8fb5e530e6944c2_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645061720
4,7142228,92,17,5,93535,3.0,60098,33437,Maple Milk,https://img2.finalfantasyxiv.com/f/6585a253a7ff8bf6a419abb6fade5e7d_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645081904
5,31802668,92,17,6,83810,4.0,40121,43689,Furi Kusil,https://img2.finalfantasyxiv.com/f/b8c062ed5526545790229fe37365bfc9_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644881108
6,497858,92,17,7,63706,16.0,15627,48079,Oneko Onerou,https://img2.finalfantasyxiv.com/f/020396d00a41501660dbd243e8df444b_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644843839
7,18639076,92,17,8,60827,9.0,21112,39715,Balian Ibelin,https://img2.finalfantasyxiv.com/f/153a74e2e92eb1ba6702d661e87834c0_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645092273
8,24715377,92,17,9,58747,7.0,27274,31473,Mayuki Kokonoe,https://img2.finalfantasyxiv.com/f/cfc69ab22e0983f18c94d0b0972a8e41_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644933925
9,287955,92,17,10,50625,8.0,21325,29300,Nana Roku,https://img2.finalfantasyxiv.com/f/dab05699b518453ce6aeb17a7990d46d_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644791836
10,26826972,92,17,11,47592,14.0,16807,30785,Noir Fryxell,https://img2.finalfantasyxiv.com/f/2f89e18d1492d3ca361bd768fb368838_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645094966
11,24178539,92,17,12,37075,11.0,20103,16972,Teska Rion,https://img2.finalfantasyxiv.com/f/976f475d8c9e45af3728541f8c7ba7ba_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644915875
12,1560273,92,17,13,36400,,0,36400,Liar Kosmos,https://img2.finalfantasyxiv.com/f/99c5287fb272b333d5f2b4c7d40dd282_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645162187
13,23887588,92,17,14,32304,,0,32304,Rua Noir,https://img2.finalfantasyxiv.com/f/db555cec610a271747f305f3b3944a58_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645156153
14,1639023,92,17,15,32218,21.0,13969,18249,Rikuto Meril,https://img2.finalfantasyxiv.com/f/98a4d2deeaec4c441a7ac33052917b7a_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645183864
15,24993110,92,17,16,32039,10.0,20691,11348,Maccho Hige,https://img2.finalfantasyxiv.com/f/b0c0b8c13f0cef8430b5467756b06686_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645181982
16,25659134,92,17,17,27743,26.0,12899,14844,Lilia Rainford,https://img2.finalfantasyxiv.com/f/95eb752e29dce57c560b26c3d14012d6_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644999154
17,21635852,92,17,18,27685,53.0,9161,18524,Shirokuma Seal,https://img2.finalfantasyxiv.com/f/b3862538a8bb96aff15150edb93fbefb_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644598951
18,4026539,92,17,19,27136,23.0,13597,13539,Sheta Rokka,https://img2.finalfantasyxiv.com/f/527862d7c10d7caf47f0ac00ffa1da40_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645031194
19,1849325,92,17,20,27122,25.0,13016,14106,Piro Roro,https://img2.finalfantasyxiv.com/f/d5e1047559ebaa09e900fc9589bb6091_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645157767
20,961658,92,17,21,27105,36.0,11146,15959,Chris Mckenzy,https://img2.finalfantasyxiv.com/f/afbcf0716002777fbb2b0b30a5891910_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645166766
21,31557170,92,17,22,26911,,0,26911,Furan Berge,https://img2.finalfantasyxiv.com/f/9fce00810568dc6648ce5ef11458095e_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644834171
22,19506958,92,17,23,26807,,0,26807,Ran Taria,https://img2.finalfantasyxiv.com/f/3dc9508de7028e0d79f4b18c75b9cda8_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645067912
