,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27238244,63,13,1,147071,3.0,55097,91974,Resh Cartage,https://img2.finalfantasyxiv.com/f/d29e599ebf35a2fbeff3a419956f8d45_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645069992
1,2830987,63,13,2,131393,1.0,57418,73975,Ooglie Mooglie,https://img2.finalfantasyxiv.com/f/d0703a5025bb919549ad58b4ff63d85f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645089779
2,6917231,63,13,3,92217,2.0,56510,35707,Kioteru Etoilen,https://img2.finalfantasyxiv.com/f/d109d94a62172a57a859b36fc971e76f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644855959
3,17543739,63,13,4,47605,5.0,11297,36308,Tsurugi Minko,https://img2.finalfantasyxiv.com/f/73113c0ce9ce56e06c753c4c3585895f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644845243
4,16456235,63,13,5,29206,4.0,16219,12987,Usagi Bonbon,https://img2.finalfantasyxiv.com/f/92e61c9d15d85519fb6af53e9d25dfc6_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644991403
5,10437765,63,13,6,18983,33.0,1060,17923,Lunari Silverclaw,https://img2.finalfantasyxiv.com/f/f6fffe2605dcb3471788b00756386791_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645028434
6,23365270,63,13,7,15225,6.0,9248,5977,Tsubasa Oribe,https://img2.finalfantasyxiv.com/f/35a14efbbc7ebfcc2e6c96a3ad5e7a75_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644635094
7,8893689,63,13,8,14340,9.0,4560,9780,Sayuri Suzu,https://img2.finalfantasyxiv.com/f/318b05e451db9090dcbdb4edca6ce48d_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644975689
8,13102211,63,13,9,13176,,0,13176,Eithne Cuinn,https://img2.finalfantasyxiv.com/f/380b1e49f4c964732c28fabdaeb221dd_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644638171
9,16543178,63,13,10,11340,8.0,4710,6630,Koro Kokoro,https://img2.finalfantasyxiv.com/f/1f9c963eee0ce47b24afa2440cf5175b_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645024649
10,10673286,63,13,11,10431,26.0,1350,9081,Argo Vecti,https://img2.finalfantasyxiv.com/f/f397cbb558351d832da092545c6e138f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645064429
11,22082968,63,13,12,10334,15.0,2284,8050,Adelitta Lunes,https://img2.finalfantasyxiv.com/f/460b7962fc1503010649ed842619b337_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644906997
12,7628137,63,13,13,9883,7.0,5003,4880,I'm Katniss,https://img2.finalfantasyxiv.com/f/7fb519ab57c568fec111a1db543a1fd4_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644949381
13,3099685,63,13,14,9654,14.0,2400,7254,Anel Harribel,https://img2.finalfantasyxiv.com/f/747169d8cff8bf2a5d4d4415e2ff1c83_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645014915
14,2809520,63,13,15,7623,18.0,1794,5829,Aireya Cloudseeker,https://img2.finalfantasyxiv.com/f/02778fc30860db51fec29d0cc6920e21_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645168614
15,9513383,63,13,16,6166,13.0,2459,3707,Anya Starbearer,https://img2.finalfantasyxiv.com/f/7bc8a0012a52f82f6283ad0490828815_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645088074
16,22087149,63,13,17,5850,,0,5850,Nilh Faith,https://img2.finalfantasyxiv.com/f/af0f77900dfa044cf7fb3591f8baa202_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645104453
17,391564,63,13,18,5644,,0,5644,Neki Fyra,https://img2.finalfantasyxiv.com/f/01ee504b29d43e9c872aaec26354153e_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645152861
18,26221137,63,13,19,4710,,0,4710,Mufasa Cub,https://img2.finalfantasyxiv.com/f/d3fc196847443366e95e648748848baa_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644682190
19,21090754,63,13,20,4597,11.0,2723,1874,Chiceneaux Selechant,https://img2.finalfantasyxiv.com/f/652191a5e77c100c52dc27faacb9bcb0_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644805323
20,15322144,63,13,21,4560,12.0,2700,1860,Elyse Seren,https://img2.finalfantasyxiv.com/f/6282531175478eb3a3f20015eb75f539_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645166898
21,28420207,63,13,22,4549,,0,4549,Mi'nako Erus,https://img2.finalfantasyxiv.com/f/4de452171763b46999ba347e8b9b78cc_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645100973
22,20282592,63,13,23,4440,28.0,1260,3180,Lysergic Acid-yaj,https://img2.finalfantasyxiv.com/f/2002ff31b11ae4adc44a1dfb4fd62d50_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644862691
23,7993431,63,13,24,4362,22.0,1466,2896,Ryan Lannis,https://img2.finalfantasyxiv.com/f/b9467c6114b561333de4acc20eb54596_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645190071
24,4252610,63,13,25,4200,,0,4200,Tek Izzy,https://img2.finalfantasyxiv.com/f/833c6e0fa680a5873fa77eca44e94243_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645012171
25,10470927,63,13,26,3990,10.0,3690,300,Pretty Candy,https://img2.finalfantasyxiv.com/f/d4b78446590302ae7a336a0a15d87e94_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644874160
26,12978580,63,13,27,3913,,0,3913,V'idane Tribal,https://img2.finalfantasyxiv.com/f/6a4839c0a5bc5a51ecff02651f230669_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645001028
27,1566762,63,13,28,3900,,0,3900,Dragon Dragon,https://img2.finalfantasyxiv.com/f/e86f7158fc91bac10880117946ebe5b2_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645096431
28,30525573,63,13,29,3742,57.0,450,3292,Laille Janlenoux,https://img2.finalfantasyxiv.com/f/44a472b1073db0357f5f18a34130fc36_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645005758
29,6789453,63,13,30,3470,16.0,2275,1195,Apaulo Toren,https://img2.finalfantasyxiv.com/f/24c090ee220c8857f98f476b9b99559f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644952029
30,4583178,63,13,31,3340,51.0,616,2724,Miss Kels,https://img2.finalfantasyxiv.com/f/656b689e09727c460bf3965b119fa7f8_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645103113
31,6144026,63,13,32,3187,40.0,882,2305,Yuki Tia,https://img2.finalfantasyxiv.com/f/e8e0a63c171ac25197a0f39e08feec99_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645131886
32,1672792,63,13,33,2940,39.0,900,2040,Aylorin T'avna,https://img2.finalfantasyxiv.com/f/4f17fba93431555934fdb404d563b1b6_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645128753
33,2859595,63,13,34,2940,,0,2940,Nellana Maethor,https://img2.finalfantasyxiv.com/f/34f485441759d47ea7558c5289ee66a8_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645198230
34,30973052,63,13,35,2880,62.0,390,2490,Meepo Shen,https://img2.finalfantasyxiv.com/f/940d6bdda583e1e2a2eaa32329ca5cf8_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644795074
35,28107800,63,13,36,2815,47.0,700,2115,Hatsuoki Han,https://img2.finalfantasyxiv.com/f/c1688f176b90839466cedcd9d47568c6_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644903841
36,28116616,63,13,37,2612,49.0,648,1964,Toa Hallock,https://img2.finalfantasyxiv.com/f/1c58cb7e86ceed527206b605dfcd8017_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644837601
37,15638535,63,13,38,2550,34.0,1050,1500,Frozen Moose,https://img2.finalfantasyxiv.com/f/ac45f88416edaeaafe5330e9e8839eff_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645030876
38,6945685,63,13,39,2460,29.0,1260,1200,Sai Yaj,https://img2.finalfantasyxiv.com/f/2be886e2cd4d262a994b690b8d3a3691_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645037238
39,5785878,63,13,40,2430,,0,2430,Michi Eda,https://img2.finalfantasyxiv.com/f/a62134040f9c0f2a76f74baf0edbd154_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645066890
40,2809741,63,13,41,2430,23.0,1440,990,Vapor Wave,https://img2.finalfantasyxiv.com/f/5667b0687e1b94676dd9f89c0b99d3a9_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645128931
41,2283010,63,13,42,2426,,0,2426,Xellotath Havik,https://img2.finalfantasyxiv.com/f/e42afad8b78662a7dc967152f4bee423_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645162074
