,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,14017064,55,18,1,237312,1.0,113479,123833,Uncertain Heisenberg,https://img2.finalfantasyxiv.com/f/88667b0de997cadbc4071a7b9c0eeac4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645071381
1,28509665,55,18,2,201822,2.0,101267,100555,A'zari Tia,https://img2.finalfantasyxiv.com/f/8aa48f1d5cc4f0c6e022666052087478_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644833631
2,14335609,55,18,3,167068,5.0,57745,109323,Kiyoko Aki,https://img2.finalfantasyxiv.com/f/f40b3a8e5895c65ea93058e3dcd2015a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644705875
3,12451990,55,18,4,148869,3.0,97213,51656,Sa'rielle Chevalier,https://img2.finalfantasyxiv.com/f/2f02ea1b353716e04078c8b74e3dfa7b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645085637
4,208029,55,18,5,124233,6.0,43779,80454,Krycek Timewalker,https://img2.finalfantasyxiv.com/f/d9f55c3edb0559cf40b59d821a2a1b49_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645127692
5,22172156,55,18,6,117842,4.0,60503,57339,Djura Stakedriver,https://img2.finalfantasyxiv.com/f/d07415de0596b20baf81dd915115d074_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645029459
6,17326914,55,18,7,86043,8.0,31987,54056,Marlene Brehil,https://img2.finalfantasyxiv.com/f/efa7bd2eb9899e1bf790203e1c805b3e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645106683
7,8423491,55,18,8,52809,46.0,3509,49300,Vigil Demarco,https://img2.finalfantasyxiv.com/f/bd8573352a6ac1607c88fe31e3a28a74_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645062919
8,29383335,55,18,9,51001,12.0,22400,28601,Sharyn Merci,https://img2.finalfantasyxiv.com/f/7071b4babd85b42c0e11458b73b94d5f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644603691
9,21668843,55,18,10,50340,,0,50340,Shogi Vanir,https://img2.finalfantasyxiv.com/f/09a601635f9ade82d5e9598e5c15b11e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645148856
10,14812945,55,18,11,45739,14.0,19143,26596,Angel Lockhart,https://img2.finalfantasyxiv.com/f/31d6051f3c69f984105d14aa2a6800ed_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645181551
11,27206558,55,18,12,41177,19.0,15079,26098,Cheng'mei Song-xue,https://img2.finalfantasyxiv.com/f/201f691b8f1eca2e195426fbcedadd12_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645112915
12,2268968,55,18,13,39450,7.0,32925,6525,Kalil Cohen,https://img2.finalfantasyxiv.com/f/eab1c36c80efcba15fd80c44822f9d0c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645045929
13,26305241,55,18,14,39305,10.0,28130,11175,Lynna Dreadfang,https://img2.finalfantasyxiv.com/f/9b34c27508397fd1f1977f8511068681_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645160901
14,16140820,55,18,15,38771,16.0,17569,21202,Frank Usagi,https://img2.finalfantasyxiv.com/f/91e3f71d7b2d5c72e0ce308460a1fb7b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644615345
15,25994658,55,18,16,38735,40.0,4271,34464,Joralia Hartweald,https://img2.finalfantasyxiv.com/f/2d6a9c840263cf63acf06f6c39267561_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645126631
16,10898588,55,18,17,35092,15.0,18763,16329,Ninika Nika,https://img2.finalfantasyxiv.com/f/f6e6ff6f096ee46622226ae0823f7e5c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645114891
17,33523541,55,18,18,32052,27.0,7421,24631,Iyvy Ivy,https://img2.finalfantasyxiv.com/f/bb68174268a2df085ef60988ee762246_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644610030
18,11732842,55,18,19,31862,17.0,16306,15556,Kemeko Arakawa,https://img2.finalfantasyxiv.com/f/412d4edc0c444c2cbde2cc822a6abb94_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645004769
19,29385677,55,18,20,30684,9.0,30684,0,Glint Jr,https://img2.finalfantasyxiv.com/f/38e8d420eccd07dad9b1c794cf547072_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645174356
20,24957462,55,18,21,30238,61.0,741,29497,Syl Erenkyl,https://img2.finalfantasyxiv.com/f/dfec677bea3566cda669d09309b7b03c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644787342
21,488226,55,18,22,29274,31.0,5566,23708,Sim Icewalker,https://img2.finalfantasyxiv.com/f/ddbbc6c5a3999b888894d48da19bfa11_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645094265
22,10219065,55,18,23,27273,11.0,24255,3018,Aurora Vi,https://img2.finalfantasyxiv.com/f/f1915946436524edc498cd9aeb939c9b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645058354
23,12633676,55,18,24,26556,,0,26556,Jay Ruckus,https://img2.finalfantasyxiv.com/f/cb2a83f86779cf10b2cafef7f6c18a23_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645160103
24,17357467,55,18,25,26089,18.0,15114,10975,Una Nbolo,https://img2.finalfantasyxiv.com/f/b77bc939eb92703860c992fe106b9d69_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644780797
25,23355745,55,18,26,25175,68.0,157,25018,Zeke Asakura,https://img2.finalfantasyxiv.com/f/c8b2c18d03522bb5570dee744ca76945_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645173880
26,30477234,55,18,27,22387,,0,22387,Ursielle Mestonnaux,https://img2.finalfantasyxiv.com/f/f94edf74a1b5e134fadfe96c8778f14d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644986626
27,32150920,55,18,28,21808,23.0,11002,10806,Xiconha Sutrana,https://img2.finalfantasyxiv.com/f/d0ce4b4c7a2ed9e3a47d872a52741b64_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644658485
28,33577945,55,18,29,21297,13.0,21297,0,Lalamami Tomoe,https://img2.finalfantasyxiv.com/f/969fd5859f9cfec70c3a5629f0f0411e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644602626
29,9641716,55,18,30,20158,21.0,11168,8990,Mori Allisti,https://img2.finalfantasyxiv.com/f/dc212ec29f117170ed9500c0f99006aa_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644813261
30,30241133,55,18,31,20110,49.0,3108,17002,Kosuke Kazuya,https://img2.finalfantasyxiv.com/f/074c481f247fd6f61f06968ab5bea0e7_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645146461
31,19529721,55,18,32,18894,47.0,3328,15566,X'lota Qi,https://img2.finalfantasyxiv.com/f/5f45f5b41f78522c6cd084f7c7af34fc_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645037201
32,19432230,55,18,33,18635,37.0,4641,13994,Cyrex Laq'ren,https://img2.finalfantasyxiv.com/f/a55b04139adfc03446c1f0c6114fe1e5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644861810
33,27834401,55,18,34,17552,24.0,8562,8990,Dan Xenoaxe,https://img2.finalfantasyxiv.com/f/00df6d54118b8a6410b9fcd47e252382_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645183147
34,30215818,55,18,35,17243,,0,17243,Vexaere Rania,https://img2.finalfantasyxiv.com/f/6daac1f525d91127fb96ac68d410da16_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645186459
35,10592877,55,18,36,17143,20.0,12663,4480,Syvin Dethly,https://img2.finalfantasyxiv.com/f/6c0f17a21905f5d463c1b7ac575a2062_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645139803
36,21852780,55,18,37,15916,56.0,1262,14654,Citri Nightbloom,https://img2.finalfantasyxiv.com/f/b6f1657702b29baf00fb20b5e8372ebb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645128916
37,15650727,55,18,38,15571,,0,15571,Thunder Score,https://img2.finalfantasyxiv.com/f/fe06b334fb472e606c7e6b9615347030_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644603160
38,3138260,55,18,39,14977,,0,14977,Katarh Mest,https://img2.finalfantasyxiv.com/f/c171ad32d7ec3dcfc6036bb394b9c910_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645159586
39,13642347,55,18,40,13733,72.0,57,13676,Beren Ra,https://img2.finalfantasyxiv.com/f/bfe76be9712719fa9fbe53f7456ea432_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645107044
40,10482510,55,18,41,11540,,0,11540,Arciela Wolfe,https://img2.finalfantasyxiv.com/f/1e394765100b526b19f60f0565afc429_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645138911
41,12414861,55,18,42,11072,22.0,11072,0,Abaacat Kami,https://img2.finalfantasyxiv.com/f/b72ed871462664a969bfef14c9092f46_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644601851
42,19978725,55,18,43,10902,29.0,6985,3917,Erin Beary,https://img2.finalfantasyxiv.com/f/6686b2ce2f35e74f74fa39aca2513da7_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645088945
43,10847180,55,18,44,10457,32.0,5338,5119,Ignis Scientia-,https://img2.finalfantasyxiv.com/f/5664cdeb4d61c61e5350bc2c4d337426_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645185162
44,10358156,55,18,45,9776,,0,9776,Legend Dualblade,https://img2.finalfantasyxiv.com/f/0ab30961ba7ecdcc36aae005b18e211b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645060836
45,10996579,55,18,46,9674,,0,9674,Minna Wilcke,https://img2.finalfantasyxiv.com/f/3503f0257972c82b285280326ced62b3_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645062306
46,16268022,55,18,47,9611,,0,9611,Kye Kaito,https://img2.finalfantasyxiv.com/f/f3ad2ea0056b6878048c6e14f7b9fda9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645169538
47,17713403,55,18,48,9551,,0,9551,Meat Popsicle,https://img2.finalfantasyxiv.com/f/06839430e043c40c9427c4845f5e9e92_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645197663
48,5479934,55,18,49,9399,48.0,3187,6212,Grey Samadhi,https://img2.finalfantasyxiv.com/f/f00252b555c8b824d676ce3bc222b203_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645098499
49,8034695,55,18,50,9211,,0,9211,Lizhe Chocolatine,https://img2.finalfantasyxiv.com/f/c9266b122e5bf14780dc5685adcc0944_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645148004
50,26226408,55,18,51,8597,,0,8597,Dracnor Lhea,https://img2.finalfantasyxiv.com/f/4fac29c2e14333c0dca7fec566914c61_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645111308
51,3082161,55,18,52,7890,51.0,2829,5061,Minerva Iris,https://img2.finalfantasyxiv.com/f/0f5c89b0f9de465d1309c1dd45a5f0e6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644970089
52,9816951,55,18,53,7849,36.0,5080,2769,Felps Ferresi,https://img2.finalfantasyxiv.com/f/3ede22b57790fcf81b5de72db8f803e3_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645009478
53,21244692,55,18,54,7679,25.0,7679,0,Wyn Yuzuriha,https://img2.finalfantasyxiv.com/f/ddffe69f2c9153f8df97c78d9252aa98_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645132538
54,4799559,55,18,55,7486,26.0,7486,0,Leon Squalls,https://img2.finalfantasyxiv.com/f/d49847425e42a7bd50850d03fec2262d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645031423
55,9816952,55,18,56,7431,44.0,3632,3799,Lucc Ferresi,https://img2.finalfantasyxiv.com/f/5377a541dd5baf21222a7b4017c82160_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644976981
56,19393902,55,18,57,7259,,0,7259,Eddie Bear,https://img2.finalfantasyxiv.com/f/2e543d86616c079258d9f733e069bfe9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644638719
57,18492445,55,18,58,7066,28.0,7066,0,Jacuzzi Nunh,https://img2.finalfantasyxiv.com/f/9d598d9cb35d8397d064f7dae0e22626_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645108553
58,22103043,55,18,59,6779,,0,6779,Katsumasa Daito,https://img2.finalfantasyxiv.com/f/9389fc18cb9be99ee68183152a332e27_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644604531
59,19221259,55,18,60,6434,,0,6434,Tatiana Gex,https://img2.finalfantasyxiv.com/f/b7a936e952fe82ad41cef1cbbbc8cf7c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644684854
60,24445549,55,18,61,6221,,0,6221,Hippolyta Amame,https://img2.finalfantasyxiv.com/f/dec4edd3aa14d6ded2d8c6628bc46007_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645126853
61,16765728,55,18,62,6191,30.0,6191,0,Vathie Althos,https://img2.finalfantasyxiv.com/f/5e065eac2a01208d0a0a6f6fcdaedd96_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645042586
62,13321118,55,18,63,6173,52.0,2686,3487,Overture Epiphany,https://img2.finalfantasyxiv.com/f/d3ace1d60ad39f3e39ab591496465f0f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644978274
63,3770723,55,18,64,5939,,0,5939,Gretchen Nitsah,https://img2.finalfantasyxiv.com/f/1b5e4fdd6132f0bd5c96df000cc6a260_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645099677
64,2171368,55,18,65,5806,57.0,1237,4569,Winfield Kobayashi,https://img2.finalfantasyxiv.com/f/d55ca0664ed465f11827ef812ad309f9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645023725
65,10045700,55,18,66,5316,33.0,5316,0,Toyaa Atoxya,https://img2.finalfantasyxiv.com/f/4f603d624b4d30d4cb3d8a1fed923eaa_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645028194
66,24270781,55,18,67,5254,34.0,5254,0,Twyla Tarragon,https://img2.finalfantasyxiv.com/f/62728f45389e7b511ecda7e5cebb4f31_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644911580
67,15434913,55,18,68,5144,35.0,5144,0,Nyror Aedrin,https://img2.finalfantasyxiv.com/f/88ede921e47fac06fd15189d1d6ad08d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645058633
68,14590617,55,18,69,4332,38.0,4332,0,Naldoran Fizzlekins,https://img2.finalfantasyxiv.com/f/04918fe494547325d1acdb5f2fd25f78_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645154377
69,8303831,55,18,70,4308,39.0,4308,0,Lena Belmont,https://img2.finalfantasyxiv.com/f/932b8c5a12506ea91fbb31d108a00fcb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645098651
70,15740458,55,18,71,4276,41.0,4176,100,Evelyn Von-everec,https://img2.finalfantasyxiv.com/f/48d91bcabb3400069fd6915a6b37f911_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645146031
71,16711960,55,18,72,4100,42.0,4100,0,Teras Theos,https://img2.finalfantasyxiv.com/f/e35166fe1f1e1142fd501c848f786857_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644776666
72,28353610,55,18,73,4072,,0,4072,Penghis Khan,https://img2.finalfantasyxiv.com/f/7be04b58dfaa5a6b2d664dee70d4a381_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644887853
73,7131504,55,18,74,3904,50.0,2974,930,Alli Melody,https://img2.finalfantasyxiv.com/f/ae32c376142b254c1064d8e2479ff816_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645191845
74,15146177,55,18,75,3901,43.0,3901,0,Vatt'ghern Deithwen,https://img2.finalfantasyxiv.com/f/7173efae58bc7c20d0fbc0e1692b6c15_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645129393
75,30099375,55,18,76,3623,54.0,2178,1445,Sadie Sugarslash,https://img2.finalfantasyxiv.com/f/1fe3155b62c40b48339d269f3088b951_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644610138
76,24386653,55,18,77,3539,45.0,3539,0,Pekena Mlu,https://img2.finalfantasyxiv.com/f/5c30c0aacdeb8d20f426b2091a663d6c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645090867
77,10591172,55,18,78,3278,,0,3278,Char Dessertwitch,https://img2.finalfantasyxiv.com/f/1a5221873d6e9537c5cbd697d1c1d885_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645123068
78,13895471,55,18,79,3257,53.0,2179,1078,Isobel Se'to,https://img2.finalfantasyxiv.com/f/8e17689da48ee11cdc07976a23ec2e52_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645055102
79,21853757,55,18,80,2652,64.0,302,2350,Laex Myx,https://img2.finalfantasyxiv.com/f/f88cf34e8e32d17a8bdac8785475edb6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644992833
80,27920382,55,18,81,2323,,0,2323,Daggon Lightheart,https://img2.finalfantasyxiv.com/f/2545b55f1f9fdaf7ce28be2826bd9991_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644620885
81,24130701,55,18,82,2211,,0,2211,Emi Rumi,https://img2.finalfantasyxiv.com/f/07b3fe29db6b06052564d6abe81536ef_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644782531
82,32580969,55,18,83,2010,,0,2010,Reno Roda,https://img2.finalfantasyxiv.com/f/811141296867c151a76fa5e5ec6aa350_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645175738
83,31617505,55,18,84,1972,55.0,1972,0,Blue-eyes Whitedragon,https://img2.finalfantasyxiv.com/f/6f75ffc4ec8d9382a6e32d7691eed79e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644840993
84,24575862,55,18,85,1847,,0,1847,Oshkar Sokolov,https://img2.finalfantasyxiv.com/f/4cf1fb8272515b3beffc94446aa4d190_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644849050
85,31814571,55,18,86,1406,62.0,411,995,Shang Wu,https://img2.finalfantasyxiv.com/f/3e5b55747c825a1a9bb5bcb83d00be66_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644640510
86,8571954,55,18,87,1232,58.0,1232,0,Rayne Industries,https://img2.finalfantasyxiv.com/f/f5e289cdc761cbd18cd99849a778adee_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645157423
87,14894521,55,18,88,1151,,0,1151,Sorcha Griannon,https://img2.finalfantasyxiv.com/f/409f177ea57f0293934d34ea76feaa67_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645053668
88,7989672,55,18,89,996,59.0,996,0,Ryeenae Idyllran,https://img2.finalfantasyxiv.com/f/8a9e8c6cea33c741aa42504590301118_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645080279
89,29319838,55,18,90,840,60.0,840,0,Envy Marble,https://img2.finalfantasyxiv.com/f/f58e3cd0474790c907b729805708e2b8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644816953
90,2398350,55,18,91,446,,0,446,Segador Rania,https://img2.finalfantasyxiv.com/f/2c54b4bd25a0f926d93bb3ebd61b5fd8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644861898
91,11608247,55,18,92,407,63.0,407,0,Melly El,https://img2.finalfantasyxiv.com/f/e6866a666a3f8c80bdc450b085485f65_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645110981
92,24289214,55,18,93,373,,0,373,Fayt Riley,https://img2.finalfantasyxiv.com/f/bfa0afdb7bb61f32c15624f6ee54a034_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645055041
93,24301681,55,18,94,305,,0,305,Aura-bella Fiora,https://img2.finalfantasyxiv.com/f/dd171a216b65c1a45d819b99141a404e_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645067316
94,12603529,55,18,95,283,65.0,283,0,Akaski Serin,https://img2.finalfantasyxiv.com/f/991423921b5ce0849ceaf4ef93e91c0c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645126346
95,9673521,55,18,96,281,66.0,281,0,Robin Upriser,https://img2.finalfantasyxiv.com/f/d9ce1e8cf798f721e867820fd903e584_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645070346
96,23909453,55,18,97,264,,0,264,Jim Smith,https://img2.finalfantasyxiv.com/f/7c1e12e18f180333bfff2ad26edfc718_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645195068
97,3719078,55,18,98,253,,0,253,Illsaide Dirhage,https://img2.finalfantasyxiv.com/f/244e2b3c695cffdaec2a8418a2675fce_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645011538
98,29780726,55,18,99,207,67.0,207,0,Aether Directive,https://img2.finalfantasyxiv.com/f/2b4b4fb851902ef647723235307d793d_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1617598881
