,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15694957,46,8,1,232071,3.0,157165,74906,H'korolon Raha,https://img2.finalfantasyxiv.com/f/f4891a9448fb96bdd6d3aaa6197b44e2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645174833
1,3925170,46,8,2,217204,2.0,159186,58018,Sun Silent,https://img2.finalfantasyxiv.com/f/819380d36411691c3ff8c7194bd90433_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645143468
2,6788057,46,8,3,191669,1.0,180222,11447,Fiz Hain,https://img2.finalfantasyxiv.com/f/279ac864b8ceddb64475bad7870da95f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644882534
3,22956963,46,8,4,137936,4.0,98154,39782,Kai Star,https://img2.finalfantasyxiv.com/f/aeb6095b66125653cf32a0f586ab32aa_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645098726
4,20866060,46,8,5,74790,5.0,46606,28184,Leon Ripa,https://img2.finalfantasyxiv.com/f/ad06fe961c41c5f36a4cf130744e21e9_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645092783
5,28780165,46,8,6,64329,8.0,20832,43497,Missuru Mizno,https://img2.finalfantasyxiv.com/f/1bd5ce4fa89ec166def41312befac33f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644834032
6,3228362,46,8,7,62074,7.0,29020,33054,Ishidora Dora,https://img2.finalfantasyxiv.com/f/5f8c92279e7a96e6ed6190f561ca97b8_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645159257
7,30039883,46,8,8,43346,11.0,13359,29987,Vives Peak,https://img2.finalfantasyxiv.com/f/698f23278db916c704e9b83d295806be_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644811634
8,2474169,46,8,9,41106,19.0,8937,32169,Yura Angel,https://img2.finalfantasyxiv.com/f/9cf3f20ff48ad8b06ddf27e312e3785b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645013222
9,33325604,46,8,10,35595,6.0,32595,3000,Akane Yagami,https://img2.finalfantasyxiv.com/f/879d7cf41ff4dcb0674176aa5b8e27ea_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1615538493
10,30320498,46,8,11,29005,14.0,11671,17334,Takashima Zakuro,https://img2.finalfantasyxiv.com/f/9c92d9e486d93f1920d8929ce68ac4b2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644936133
11,21722674,46,8,12,24850,13.0,12565,12285,Milkey Moa,https://img2.finalfantasyxiv.com/f/240debb26021361bce42ccba0ceea137_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644858102
12,27995243,46,8,13,21592,12.0,12646,8946,Noa Kuon,https://img2.finalfantasyxiv.com/f/1d480eb61f6fa2178f985d9251b1e892_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645072875
13,14278167,46,8,14,19800,10.0,14340,5460,Salt Biscuits,https://img2.finalfantasyxiv.com/f/99ef4ef7f6fc839939d73272f4b4b96a_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645148160
14,25918840,46,8,15,18646,9.0,17176,1470,Cafecaffe Latte,https://img2.finalfantasyxiv.com/f/fb8de848efa08713adb4c47afa84db61_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645055792
15,22484282,46,8,16,18089,15.0,11078,7011,Ricca Sene,https://img2.finalfantasyxiv.com/f/3c5394e20820b0a7652f6adc4596eb63_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645099761
16,30285244,46,8,17,14821,18.0,9351,5470,Rogel Vinoble,https://img2.finalfantasyxiv.com/f/d09c82b0f61b42153fcceeb1f77fdb20_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644958817
17,2306438,46,8,18,14190,17.0,9510,4680,Riru Riru,https://img2.finalfantasyxiv.com/f/74517c41f38c96773555477bbdff7cbe_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645159699
18,30299799,46,8,19,14004,26.0,5370,8634,A'byss Tia,https://img2.finalfantasyxiv.com/f/01f5f68b6f86e7bfe51e8e0edfd3bc58_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645075956
19,4515489,46,8,20,13908,22.0,7063,6845,Chresta Wurttemberg,https://img2.finalfantasyxiv.com/f/975d05f433546f1e74242eee5ce43767_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645195636
20,24046622,46,8,21,12629,24.0,6179,6450,Shigure Regen,https://img2.finalfantasyxiv.com/f/3e1d9b2a5870dae20371f5820786afe9_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645063673
21,8794893,46,8,22,10882,16.0,10882,0,Yuuna Alkane,https://img2.finalfantasyxiv.com/f/bce0762e8b58bed044df2548dca95411_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645012599
22,10085311,46,8,23,10749,21.0,7749,3000,Tiger Jet,https://img2.finalfantasyxiv.com/f/361de0952252cfbbca110f2a4aa1df76_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645161898
23,8856276,46,8,24,10731,20.0,8852,1879,Zono Emerald,https://img2.finalfantasyxiv.com/f/c289a066bfe49c0f20c058af566ee22b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644973627
24,25435889,46,8,25,10203,39.0,3938,6265,Tamago Sandwich,https://img2.finalfantasyxiv.com/f/8aadf7c008e60ea84071e8c858f2493d_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644791890
25,3611411,46,8,26,9587,29.0,5147,4440,Bibi Momo,https://img2.finalfantasyxiv.com/f/ab83fedde2f57fd0cfc4c82fb61ef230_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645140108
26,19490397,46,8,27,8502,36.0,4315,4187,Nicol Olivier,https://img2.finalfantasyxiv.com/f/39d5035b9dab5b5d35f5ac0019ba857f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644956424
27,31303943,46,8,28,8226,30.0,4946,3280,Nhito'ra Ariyon,https://img2.finalfantasyxiv.com/f/60b3f97ddd2bddd279170b2aec37d2b2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645042833
28,28258130,46,8,29,7420,34.0,4421,2999,Meru Sia,https://img2.finalfantasyxiv.com/f/25b11de5554fb71b78e0fca865242a6b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644825370
29,3268588,46,8,30,7200,41.0,3750,3450,Le End,https://img2.finalfantasyxiv.com/f/5858114321f85b7ebea6a3ddfc7da6fa_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645058303
30,20471528,46,8,31,6751,76.0,1777,4974,Fel Meer,https://img2.finalfantasyxiv.com/f/7c42013cddba668f4188c9673fdb1d2b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645148202
31,18443611,46,8,32,6331,27.0,5211,1120,Savarin Orange,https://img2.finalfantasyxiv.com/f/33809dd642c35e2a1fa040d5e07fa98f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644883176
32,17422838,46,8,33,6274,23.0,6274,0,W'louph Tia,https://img2.finalfantasyxiv.com/f/dc70452a9ede2ab7843da60696c4d796_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644973890
33,2321033,46,8,34,6180,45.0,3390,2790,Cafe Fe,https://img2.finalfantasyxiv.com/f/81945377cb0cffc86e79377a51eb2cd0_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644981032
34,21097170,46,8,35,6104,32.0,4784,1320,Wasabi Tyazuke,https://img2.finalfantasyxiv.com/f/2e68b71307d4e3fa1f6c6266ee5360cd_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644797352
35,2931469,46,8,36,6028,65.0,2130,3898,F'uu Asche,https://img2.finalfantasyxiv.com/f/65c77015b7dd4543dd4b7744d90bb9d8_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645164332
36,21792190,46,8,37,5843,,0,5843,Sela Falon,https://img2.finalfantasyxiv.com/f/d10172c95f4a4f2d912e61ab5add17f7_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645179267
37,30769415,46,8,38,5790,28.0,5190,600,Cinis Nyame,https://img2.finalfantasyxiv.com/f/696273aa7064edfabf48c6380ff92816_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645094231
38,2683747,46,8,39,5618,44.0,3426,2192,Kina Konako,https://img2.finalfantasyxiv.com/f/a51827b86330db0181bc9c0fa29c3999_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645174191
39,6369929,46,8,40,5604,38.0,3990,1614,Oryo Uri,https://img2.finalfantasyxiv.com/f/84619fca967bc074603745c80b626cb2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645161083
