,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24400643,95,12,1,186718,1.0,120294,66424,Laure Hwaryun,https://img2.finalfantasyxiv.com/f/6b18db6f162d7af3754f63a3d7e67d78_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644897424
1,18492377,95,12,2,131114,2.0,89621,41493,Allera Maori,https://img2.finalfantasyxiv.com/f/dce7319175ca4d86984b53873984f145_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645014971
2,3651986,95,12,3,95342,3.0,84437,10905,Happy Panda,https://img2.finalfantasyxiv.com/f/1cffb373c04b204838fd2d98d0581f13_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645155118
3,477012,95,12,4,91709,6.0,42164,49545,Metra Truzi,https://img2.finalfantasyxiv.com/f/dd32ac4c83bd9b00510916fe4cd0c660_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645150521
4,1563171,95,12,5,89702,4.0,64985,24717,Oro Oro,https://img2.finalfantasyxiv.com/f/f547f36eeaf7442f2262b7c2cc46bb06_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645151070
5,25060276,95,12,6,61818,5.0,42708,19110,Len'a Vi,https://img2.finalfantasyxiv.com/f/24ecdf9e41ffb4de412e286f11783fef_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645198887
6,952034,95,12,7,60021,7.0,41775,18246,Nakira Ogde'rel,https://img2.finalfantasyxiv.com/f/7cc9cc6edc08ec723e62fbab3584a5d6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645068242
7,29638172,95,12,8,46625,10.0,9451,37174,Volch Hanayome,https://img2.finalfantasyxiv.com/f/de6a430aa0bdce0eb0b2622e547c294c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644899648
8,30954076,95,12,9,22265,8.0,11045,11220,Yjrn Mistwander,https://img2.finalfantasyxiv.com/f/a92c587a36a891012b8d68afe8fbacbd_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644919588
9,29982063,95,12,10,21168,12.0,6826,14342,Zero Ullr,https://img2.finalfantasyxiv.com/f/756db7524bf8a10e2db590bc0c2187c4_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644902340
10,16290200,95,12,11,20201,29.0,2360,17841,Tzila Mithrandir,https://img2.finalfantasyxiv.com/f/3d57f4b8370f6945df657cfad5f544bb_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645033501
11,5793282,95,12,12,18693,9.0,9754,8939,Lambent Panpan,https://img2.finalfantasyxiv.com/f/37107b8206d9a2515aeee1b8894022ac_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645029157
12,15593597,95,12,13,12954,16.0,5109,7845,Umbra Sharume,https://img2.finalfantasyxiv.com/f/7569a46af98f315a375c2142d1ae5aa7_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645181867
13,15385643,95,12,14,10950,11.0,7830,3120,Nymerian Sand,https://img2.finalfantasyxiv.com/f/db9433b797bcfc9759a98cc963b1b814_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644991845
14,2817192,95,12,15,10447,21.0,4493,5954,Holland Gallifrey,https://img2.finalfantasyxiv.com/f/7bf4fe51ff50421a49794ef1120db1e1_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645118898
15,18260363,95,12,16,8667,14.0,6028,2639,Roseline Aurora,https://img2.finalfantasyxiv.com/f/a1119362733cd10e9cce99d7ba12ebd9_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645123411
16,23842005,95,12,17,7036,28.0,2489,4547,Phoenix Moon,https://img2.finalfantasyxiv.com/f/2385728e89db337de65ffe149f7837cf_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645084911
17,19199056,95,12,18,6480,13.0,6480,0,Quahlity Azzurance,https://img2.finalfantasyxiv.com/f/fc916c53b41c2b420f6c02887c70345f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644801874
18,24829007,95,12,19,6463,18.0,4723,1740,Faelyn Amaius,https://img2.finalfantasyxiv.com/f/b28c986bbe9cd56bc8b2c39487c0510a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645014915
19,27222068,95,12,20,6330,24.0,3120,3210,Evieloo Sunbeam,https://img2.finalfantasyxiv.com/f/9276b6b75c84ca2fc69acf7d5cbedfb0_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645064705
20,14537916,95,12,21,5666,15.0,5666,0,Mika Yuki,https://img2.finalfantasyxiv.com/f/1c532fc583b94b15cdc8d33c98989370_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644961300
21,1024035,95,12,22,5310,25.0,3079,2231,Docta Doc,https://img2.finalfantasyxiv.com/f/87091f030301fa9501fbf8a62e6a1c30_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645132153
22,18326175,95,12,23,5220,17.0,4980,240,Gobbet Keenmind,https://img2.finalfantasyxiv.com/f/3fcddec4f2fa28592b07b93ea76fd43d_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645057928
23,1325785,95,12,24,4826,38.0,1588,3238,Chrystiana Miakoda,https://img2.finalfantasyxiv.com/f/e73a28fc1d11df919a5fd46418b4442a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644985036
24,11360336,95,12,25,4704,19.0,4704,0,Riku Morningstar,https://img2.finalfantasyxiv.com/f/7df8f2df979bcdfe2ad9c1d769d2ca45_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645164201
25,324286,95,12,26,4554,20.0,4554,0,Elweia Odhran,https://img2.finalfantasyxiv.com/f/cb6658ff417e4eaa731c2a955f8cd6a9_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645082715
26,23293493,95,12,27,4516,23.0,3379,1137,Jynx Wryneck,https://img2.finalfantasyxiv.com/f/8eed99a763e184222566e65d98aaa072_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645109547
27,26902316,95,12,28,4263,51.0,1107,3156,Gotthaz Vodtze,https://img2.finalfantasyxiv.com/f/2a2f9fb1f1f7ce16693b9dbe218cb9da_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645121306
28,2785663,95,12,29,3881,43.0,1490,2391,Spoony Bards,https://img2.finalfantasyxiv.com/f/f541eff450413e505a5f77782a36386b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645033007
29,15914811,95,12,30,3800,41.0,1530,2270,J'ayce Mihos,https://img2.finalfantasyxiv.com/f/12fe93db84f8c91108adf7e943cc9b56_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644989489
30,990697,95,12,31,3733,30.0,2215,1518,Taeli Aeithsura,https://img2.finalfantasyxiv.com/f/5086affd8cc6de8269aa921e4e3e7138_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645096033
31,20765441,95,12,32,3624,22.0,3624,0,Blake Faye,https://img2.finalfantasyxiv.com/f/69cc09e2fd97c198797eeaf0b7ea6b11_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644819548
32,22441996,95,12,33,3394,26.0,2799,595,Mecland Danse,https://img2.finalfantasyxiv.com/f/bc1deac63addc1d1b8c8398a29eaed70_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644823128
33,9262153,95,12,34,3239,68.0,569,2670,Blumenkranz Lanze,https://img2.finalfantasyxiv.com/f/239ff438877caedceb709633d74bb190_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645183292
34,10856142,95,12,35,3024,35.0,1736,1288,Kahimey Megnark,https://img2.finalfantasyxiv.com/f/c6bb192854e640e263c9c30eab55f5db_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645176249
35,30200439,95,12,36,2798,27.0,2798,0,Walt Chimney,https://img2.finalfantasyxiv.com/f/f4d4a8cd18b0f0195b3982f1e068ca42_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644639712
36,13573780,95,12,37,2760,32.0,1800,960,Skylar Chan,https://img2.finalfantasyxiv.com/f/8277a94b862e0e1de53b3de2df089df4_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645178522
37,30353343,95,12,38,2678,44.0,1448,1230,Shuyin Zanarkand,https://img2.finalfantasyxiv.com/f/0a670ca8cd1c9c9405be564bc4741d7f_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645138273
38,1302581,95,12,39,2550,46.0,1350,1200,Misa Refaeli,https://img2.finalfantasyxiv.com/f/e194a190f14c8968f1024ad35bfbcb08_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645096492
39,21970618,95,12,40,2204,59.0,810,1394,Oob Bunyon,https://img2.finalfantasyxiv.com/f/db222b049b44095e852575982185d143_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645157943
40,26631779,95,12,41,2160,31.0,2160,0,Ava Satori,https://img2.finalfantasyxiv.com/f/89dfa72ac6e8732246510137f5029b84_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644682433
41,25628477,95,12,42,2146,39.0,1551,595,Nu Toran,https://img2.finalfantasyxiv.com/f/c51eb89c7fec67e404cab93d22d1a08d_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645126781
42,26059976,95,12,43,2128,63.0,648,1480,Gan Magan,https://img2.finalfantasyxiv.com/f/2bd481882a28b327b874f7b3734acff7_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645054636
43,522110,95,12,44,2070,,0,2070,Fresco Mclovin,https://img2.finalfantasyxiv.com/f/c8bfe07a5aba5c2acaf03b640b26fe8b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644871980
44,1199024,95,12,45,1950,45.0,1350,600,Keryn Trevelyan,https://img2.finalfantasyxiv.com/f/dc3e91023c1734ee5ba9a902822aecfa_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645143838
45,359992,95,12,46,1896,52.0,1092,804,Cherry Bomb,https://img2.finalfantasyxiv.com/f/7c95a83bc00c7f0cc899081563bc30b8_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644969858
46,13573747,95,12,47,1888,,0,1888,Blackforbidden Knight,https://img2.finalfantasyxiv.com/f/db53dff6a723131352f0bdc9ffb8c172_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645050624
47,17227246,95,12,48,1800,56.0,900,900,Micaiah Nightflicker,https://img2.finalfantasyxiv.com/f/3a3908d106c15d1da73edfd38c0669a1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645111219
48,24946779,95,12,49,1798,33.0,1798,0,Nare Twintails,https://img2.finalfantasyxiv.com/f/14a22d13a9cf1d68df06c327506432d6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644916423
49,1043304,95,12,50,1740,34.0,1740,0,Mister Dhalmel,https://img2.finalfantasyxiv.com/f/9cdc60319117c838285d50f0d3ed6ea9_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645142266
50,791410,95,12,51,1708,66.0,599,1109,Funshi Dai,https://img2.finalfantasyxiv.com/f/3fe882fa1b10f98aca2404ae04c005f2_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644785042
51,4382007,95,12,52,1699,36.0,1699,0,Sagari Galewind,https://img2.finalfantasyxiv.com/f/77e9abdece6acb012f0e96411164b518_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644987080
52,5709039,95,12,53,1606,37.0,1606,0,Brunella Wright,https://img2.finalfantasyxiv.com/f/d5d818f2cc98105b0cd578f72e0707bf_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644941842
53,9934225,95,12,54,1544,40.0,1544,0,Shadow Blackfang,https://img2.finalfantasyxiv.com/f/86a442cc1e5f3c575ad6b6ff760f8407_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645058631
54,15643690,95,12,55,1517,42.0,1517,0,J'yse Sol,https://img2.finalfantasyxiv.com/f/daa8736d815fd4c199d6883e0355d550_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644781251
55,6185541,95,12,56,1339,47.0,1339,0,Yuki Makoto,https://img2.finalfantasyxiv.com/f/09609f2ce6b15136dccb056dd62d646c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644860080
56,14767563,95,12,57,1316,48.0,1316,0,Midnight Valentine,https://img2.finalfantasyxiv.com/f/c9200ad32b8b3de1e5cf766bfd808419_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645196657
57,24493504,95,12,58,1260,,0,1260,Atrus Sythex,https://img2.finalfantasyxiv.com/f/2c06820848d62dc32d885e77f5318a9b_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644910494
58,12517652,95,12,59,1177,49.0,1177,0,Riken Himitsu,https://img2.finalfantasyxiv.com/f/d4299b5d00d61dcc570d3c13af0fcb99_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644780984
59,14194926,95,12,60,1165,50.0,1165,0,Alesha Phoenix,https://img2.finalfantasyxiv.com/f/f5bc2d14213f8def030e0475250ce4d3_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644642031
60,15080230,95,12,61,1020,62.0,660,360,Ray Rujasu,https://img2.finalfantasyxiv.com/f/d3578ed8b673f6a7fc589b2b9d21ee9f_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645101744
61,24447281,95,12,62,1000,53.0,1000,0,Ixca Kemblade,https://img2.finalfantasyxiv.com/f/2156efd001ff44372992fb4935866e40_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644806037
62,26695887,95,12,63,990,,0,990,L'eknif Micheaux,https://img2.finalfantasyxiv.com/f/552f7cb8332b50b68199a59d71247f27_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644895856
63,26463873,95,12,64,988,61.0,690,298,Rosrik Everdawn,https://img2.finalfantasyxiv.com/f/3ad71a967f7039e3687a7956dac1acef_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644808606
64,26221072,95,12,65,960,54.0,960,0,Ponente Ostro,https://img2.finalfantasyxiv.com/f/fdbd9eff0a17f6ce2f363af3bacef1a1_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645168129
65,9145724,95,12,66,930,55.0,930,0,Nyx Aeterna,https://img2.finalfantasyxiv.com/f/a1a19f65dcbc7d522c3ccc29b268381a_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645149502
66,405811,95,12,67,897,57.0,897,0,Mig Tupolev,https://img2.finalfantasyxiv.com/f/1e9f4e057685ecf900420fe79cb44607_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1645081908
67,14529898,95,12,68,891,58.0,891,0,Minty Fresh,https://img2.finalfantasyxiv.com/f/5a973b850916a6aff641eb439a4c2cc6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645194482
68,4764068,95,12,69,870,70.0,420,450,Fyxation Belkalm,https://img2.finalfantasyxiv.com/f/56a3c641e34f9823f6b378c49b3c441c_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645169321
69,27668911,95,12,70,840,97.0,120,720,Riss Kneller,https://img2.finalfantasyxiv.com/f/78f607e458f12e282b7ed42d5b0c1ac8_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644952164
70,5997519,95,12,71,809,,0,809,Yoko Koeda,https://img2.finalfantasyxiv.com/f/9a156b4fa80a4a6e2067e8f17601d3f8_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644972036
71,1571490,95,12,72,780,60.0,780,0,Circan Cat,https://img2.finalfantasyxiv.com/f/6309f9820334cdda8d01b494f746cf58_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645080335
72,13768478,95,12,73,660,72.0,420,240,Mungo Fungo,https://img2.finalfantasyxiv.com/f/f1ef606be44c2c95b3818ed525d44625_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645083556
73,6521575,95,12,74,660,102.0,60,600,Vi Itessa,https://img2.finalfantasyxiv.com/f/bae8acdf9faf532159b489d2f3e6e755_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645181753
74,32874957,95,12,75,630,64.0,630,0,Rhen Verha,https://img2.finalfantasyxiv.com/f/fff79a775d0724d7b68f787223c47c6d_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644640730
75,2354505,95,12,76,600,65.0,600,0,Ailith Astin,https://img2.finalfantasyxiv.com/f/16b5b72097a7a5e93a2c5355235164e0_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645170597
76,7645697,95,12,77,570,67.0,570,0,Ku Haku,https://img2.finalfantasyxiv.com/f/629b7fa695a4421caabcaa213aa73ab3_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644897572
77,16928938,95,12,78,556,69.0,556,0,Yeren Enrus,https://img2.finalfantasyxiv.com/f/9dcef5f2753f31c16167de6059426146_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644738774
78,27905610,95,12,79,510,88.0,150,360,Maverick Ace,https://img2.finalfantasyxiv.com/f/b5c621393314433e9e5c849fbe3b9eac_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645154296
79,31570166,95,12,80,508,100.0,60,448,Kha'suki Kaikai,https://img2.finalfantasyxiv.com/f/315a816429b4f370cd41dcc38b58e570_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645040428
80,1735384,95,12,81,480,91.0,150,330,Hikiki Mori,https://img2.finalfantasyxiv.com/f/c9db329e6ac211f75152757b1a268440_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644924017
81,28240361,95,12,82,450,,0,450,Samuel Ayers,https://img2.finalfantasyxiv.com/f/e6f2d25325ed2a88f6082ca41c17f7f6_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644814899
82,17866418,95,12,83,442,,0,442,S'ithra Ohtu,https://img2.finalfantasyxiv.com/f/c7e3bd824755e2506995905fb2233f39_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645139270
83,16040743,95,12,84,420,71.0,420,0,Hypnotic Virulence,https://img2.finalfantasyxiv.com/f/13ea27571b7445915a93c540d69e61ab_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644828696
84,3836974,95,12,85,371,73.0,371,0,Ezechias Ronon,https://img2.finalfantasyxiv.com/f/4c884ca6bb3fa2f60f5fd887db41b26d_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644706276
85,29494903,95,12,86,364,,0,364,Chalupabatman No'pika,https://img2.finalfantasyxiv.com/f/5032cfd8ffe75441e2c80b0ab74993b1_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644849089
86,30882139,95,12,87,360,74.0,360,0,Cinna' Bun,https://img2.finalfantasyxiv.com/f/b840a8459be7ec1fc95cdc254e201217_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645107234
87,25581571,95,12,88,359,75.0,359,0,Eu' Phy,https://img2.finalfantasyxiv.com/f/08ae52a950764f7c1ce7658815fb2f36_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644923541
88,83004,95,12,89,330,76.0,330,0,Egeria Aaeesha,https://img2.finalfantasyxiv.com/f/e4ea4c98497e0545489b44464fe431c1_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644843183
89,25882498,95,12,90,330,77.0,330,0,Elsen Do,https://img2.finalfantasyxiv.com/f/6e2cb82c1c14c7df7da326e66e589a14_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645079706
90,10085967,95,12,91,300,,0,300,Eleanora Alexander,https://img2.finalfantasyxiv.com/f/98ea938fc952ded6e95e50b824c12ade_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645185910
91,24389234,95,12,92,300,78.0,300,0,Hana Suzuki,https://img2.finalfantasyxiv.com/f/cf07181453b443adc0f823ccb3ed96d2_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645131687
92,2808914,95,12,93,295,92.0,146,149,Lithoe Beans,https://img2.finalfantasyxiv.com/f/99d94826fb254b704e221d5b51b923f2_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644963148
93,29850352,95,12,94,289,,0,289,Asmodai Gakunin,https://img2.finalfantasyxiv.com/f/b00b1e8d18ff66400881ef445ddf93bd_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645089906
94,1527861,95,12,95,270,,0,270,Fullburner Luaith,https://img2.finalfantasyxiv.com/f/7088e8fd2856efc6c7a79dd019490194_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645044833
