,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15057662,59,8,1,143457,1.0,104094,39363,Hal'to Lhacrimah,https://img2.finalfantasyxiv.com/f/9a406a44ed5f5a375a308946b52a3910_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645048030
1,11596161,59,8,2,121122,3.0,48696,72426,Rain Bunny,https://img2.finalfantasyxiv.com/f/3270ef4f6e14bc11eab58565595a0f28_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645059991
2,19341104,59,8,3,103688,2.0,76581,27107,Amane Yuzuriha,https://img2.finalfantasyxiv.com/f/3643316497bc80a7eeaa4dcaafbc99b6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645048229
3,13798128,59,8,4,65702,9.0,20585,45117,Sun Cha,https://img2.finalfantasyxiv.com/f/75cf814331a224c7f80786ed496ae290_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645123230
4,26842768,59,8,5,49229,5.0,30997,18232,Sandra Tryst,https://img2.finalfantasyxiv.com/f/927b8eeeb779cd7bbdf3a8b3409ef15e_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645051129
5,27442025,59,8,6,39413,10.0,10662,28751,Hyacka Arden,https://img2.finalfantasyxiv.com/f/0b66431c469324fa0e48bfce478b6859_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644620007
6,28127989,59,8,7,38180,4.0,38180,0,Yuri-iolite Leclair,https://img2.finalfantasyxiv.com/f/348ddc38a99cec2eb30bf29159cb51c6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644772041
7,29766208,59,8,8,32395,11.0,9570,22825,Little Big,https://img2.finalfantasyxiv.com/f/a6790b7d5c1249fc2310ecccf1517694_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645031409
8,23231964,59,8,9,30622,8.0,21045,9577,Alice Rola,https://img2.finalfantasyxiv.com/f/bd39a7b35b2294f06c71c31bdf83cd15_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645040434
9,14649430,59,8,10,26078,6.0,22598,3480,Nathy Aries,https://img2.finalfantasyxiv.com/f/fd1d667f5005d3716b0da2c2556edc40_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645179570
10,23234573,59,8,11,22658,7.0,21320,1338,Lutti- Nikukyu,https://img2.finalfantasyxiv.com/f/8528db8f24fa03412d61bdb9780ab12d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644962100
11,25602527,59,8,12,20130,12.0,8400,11730,Bp Kaine,https://img2.finalfantasyxiv.com/f/d0884a0e368f294ee847c8339fa01ebe_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644988394
12,18545381,59,8,13,17103,,0,17103,Ringo Appletea,https://img2.finalfantasyxiv.com/f/09e496a8432175fd9be231ec3373a11b_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645038252
13,1629677,59,8,14,16992,,0,16992,Anna Fisherman,https://img2.finalfantasyxiv.com/f/2d948d76632dd06e4568f47e030254e4_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644982170
14,13892433,59,8,15,15315,15.0,7151,8164,Seven Ray,https://img2.finalfantasyxiv.com/f/ca011b0e8fa055bff34450bd087fc03a_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645140494
15,30603066,59,8,16,12785,14.0,7382,5403,Aki Sunderland,https://img2.finalfantasyxiv.com/f/960e5977ff02a92760f5ba14051ba746_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644866864
16,30298408,59,8,17,11918,59.0,2117,9801,Uru Sun,https://img2.finalfantasyxiv.com/f/61bbddd711cf254c72b4897280e8d380_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645108322
17,23703865,59,8,18,10620,19.0,6120,4500,Tugumi Tone,https://img2.finalfantasyxiv.com/f/430c11c8ad660032e090ce644302a17f_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644933759
18,19895709,59,8,19,9270,,0,9270,Ranran Lululun,https://img2.finalfantasyxiv.com/f/5746d4984ede7b27c4888eb9180ad54e_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645061189
19,2148233,59,8,20,9034,67.0,1914,7120,Naoki Depalist,https://img2.finalfantasyxiv.com/f/a77e583b19ee8453bb5d986c9e2a0aa0_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644954181
20,16221832,59,8,21,8564,17.0,6378,2186,Yurika Ts,https://img2.finalfantasyxiv.com/f/2d7161f4a2364caf039d7bcb02916e06_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645065872
21,18364980,59,8,22,7868,23.0,5645,2223,Mako Pomme,https://img2.finalfantasyxiv.com/f/2b15b2c5c1a97d45ad9e72a6835d391a_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645177129
22,29721453,59,8,23,7825,13.0,7825,0,Law Imeris,https://img2.finalfantasyxiv.com/f/6334da53b04e70335b34d6c1342731b1_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645092702
23,29557117,59,8,24,7769,27.0,4315,3454,Tete Sapo,https://img2.finalfantasyxiv.com/f/202ed01f2c5ebd556756de44aa1f624c_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645198453
24,28525877,59,8,25,7740,28.0,4230,3510,Mihai Maximoff,https://img2.finalfantasyxiv.com/f/cbccec2ddd7679543a2493e91e9eccd6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644635191
25,19583741,59,8,26,7620,24.0,5370,2250,Dominique Barriere,https://img2.finalfantasyxiv.com/f/cdc59cd34643a170a1e543dc059d8d35_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644869463
26,27631025,59,8,27,7573,20.0,6099,1474,Noaptea Culoare,https://img2.finalfantasyxiv.com/f/1d5b9a796efce011a501e6a3de0fc2a6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645081787
27,15238229,59,8,28,7514,18.0,6135,1379,Black Widow',https://img2.finalfantasyxiv.com/f/bfeef3c8f7cd1a675943bddc76aba4ba_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645137776
28,1688411,59,8,29,7199,22.0,5699,1500,O'su Tia,https://img2.finalfantasyxiv.com/f/8bfadc7b038e1c4e7b68621b792ce01d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645043231
