,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2979960,57,9,1,263321,1.0,157910,105411,Wolfred Xavier,https://img2.finalfantasyxiv.com/f/1e0a6a1d8c34d8f7bd90d22aec3ce939_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645168426
1,29802398,57,9,2,179410,3.0,96381,83029,Kawaru Verdett,https://img2.finalfantasyxiv.com/f/f3091b2836beb8ff131ed7994cb77ace_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645089316
2,31840357,57,9,3,137898,6.0,56347,81551,Albert Radiuju,https://img2.finalfantasyxiv.com/f/b4c4141cd2c87fcfe3b24149f3878adc_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645133052
3,23575478,57,9,4,131700,2.0,105634,26066,Athrun Oakes,https://img2.finalfantasyxiv.com/f/3389216fb754339c87fa57f746b6e9d8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645163309
4,28203920,57,9,5,115406,5.0,57994,57412,Healing Way,https://img2.finalfantasyxiv.com/f/d1a646f1e12c7948b1bff293c859945a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644747752
5,6586051,57,9,6,101901,7.0,56058,45843,Kjarin L'thorne,https://img2.finalfantasyxiv.com/f/da63a2882bacd92d63c8df47d62078c5_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645142150
6,30995557,57,9,7,86493,12.0,21590,64903,Indrega Lundir,https://img2.finalfantasyxiv.com/f/e33bbd521c47c93732a16f299ba6d109_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645153900
7,9463035,57,9,8,84194,8.0,40032,44162,Aeryn Wulfric,https://img2.finalfantasyxiv.com/f/5f4c165c592f138bb8f38d5bd95dfca8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645132059
8,18926500,57,9,9,78313,9.0,36478,41835,Valenne Dzemael,https://img2.finalfantasyxiv.com/f/d4ebd2071397eb48d06085a34eb78b35_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644674524
9,9287424,57,9,10,62122,4.0,62122,0,Eramia Er,https://img2.finalfantasyxiv.com/f/21c997494951f57655e7b2e3d25a7b0b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645053527
10,4999253,57,9,11,39859,13.0,19723,20136,Alkane Renatus,https://img2.finalfantasyxiv.com/f/46de5d858a6dc649fa3fcc9896b8a1b9_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644907230
11,26567340,57,9,12,36889,11.0,23128,13761,Talis Evagria,https://img2.finalfantasyxiv.com/f/9bbc672bdbd4c468bb99993187374a3d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645112087
12,25395055,57,9,13,36063,10.0,25494,10569,Tyrukon Ankalla,https://img2.finalfantasyxiv.com/f/b39a8d1267b3d26451fcf1f5e2d9a5ee_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645156974
13,21649635,57,9,14,24945,14.0,18550,6395,Sindove Iutaremura,https://img2.finalfantasyxiv.com/f/170d33e63741c7defc1a27527c660313_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644994798
14,8682500,57,9,15,16662,15.0,11045,5617,Fin Faelle,https://img2.finalfantasyxiv.com/f/d3926716e18b6aa46739d8bb57ebee1f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645113033
15,7250925,57,9,16,10440,16.0,10440,0,Kiryuin Satsuki,https://img2.finalfantasyxiv.com/f/ba64ef52323ad0c23edaa3bafc9f4e82_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644868368
16,17718800,57,9,17,9603,19.0,7203,2400,John Kaidus,https://img2.finalfantasyxiv.com/f/b536e9a0a1e0c89e9bdc5e3538c6732d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645067002
17,29379571,57,9,18,9360,21.0,6540,2820,Muji Chise,https://img2.finalfantasyxiv.com/f/f586a6ffb05bb201313ea7f9c8303fdd_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645107051
18,31268333,57,9,19,8610,34.0,2970,5640,Meis Pepega,https://img2.finalfantasyxiv.com/f/1215832a04676a4aa38c6e30f8dbc843_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645164029
19,22974782,57,9,20,8536,22.0,5692,2844,Neenah Urnmak,https://img2.finalfantasyxiv.com/f/84d2cab8ed9d25bf54166fdf2a1a0021_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644941300
20,19499727,57,9,21,8371,17.0,8371,0,Franken Frank,https://img2.finalfantasyxiv.com/f/4fe084aed327d34a42affbac7ec58ce6_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645037201
21,15099907,57,9,22,7996,20.0,7136,860,Etzel Howard,https://img2.finalfantasyxiv.com/f/e900fdbe78e67c135e262f9d8cade61a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645061988
22,13439906,57,9,23,7470,18.0,7470,0,Yuki Shizuka,https://img2.finalfantasyxiv.com/f/f0ce86d03c595251e08589923e17556f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645155029
23,12707912,57,9,24,6850,26.0,4510,2340,Valynadra Khah,https://img2.finalfantasyxiv.com/f/2a134544a8e3f617e8e5ad8c0e3c793e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645134904
24,6477492,57,9,25,6275,32.0,3280,2995,Twili Aligheiri,https://img2.finalfantasyxiv.com/f/be653b967fa2916e774b54bbdb06116d_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644965746
25,19370908,57,9,26,5943,,0,5943,Adinsx Zypher,https://img2.finalfantasyxiv.com/f/3ffcab062c38666a4f7d065baefdcf44_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645135837
26,29688068,57,9,27,5760,30.0,3870,1890,Zora Lisa,https://img2.finalfantasyxiv.com/f/c7e4e3282352263e247598bb654c8513_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644801269
27,24169291,57,9,28,5572,23.0,5572,0,Kai Hayashida,https://img2.finalfantasyxiv.com/f/e8ad33b904817ce7f3988f201f5c31a7_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645041439
28,4805869,57,9,29,5526,24.0,5526,0,Shinn Ryusei,https://img2.finalfantasyxiv.com/f/c06856e54e2aba5b7463f463b1d6d604_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645153914
29,18155283,57,9,30,4961,47.0,1301,3660,Sarthazul Dreamwalker,https://img2.finalfantasyxiv.com/f/82d0c6f868f9c6d4d75c3b49100c3ff3_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645104138
30,11848576,57,9,31,4560,35.0,2790,1770,Raymonde Hawkins,https://img2.finalfantasyxiv.com/f/ea7fa2990555800d25dddc49a1791869_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645157647
31,28870887,57,9,32,4555,36.0,2730,1825,Bjorn Asgeir,https://img2.finalfantasyxiv.com/f/7c79c7921ecc6ecc9ec19e3988b67759_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645190715
32,29466962,57,9,33,4522,25.0,4522,0,Rose Magi,https://img2.finalfantasyxiv.com/f/f516ba368af9a33a186e890d4f42f3fc_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644848332
33,28269668,57,9,34,4323,27.0,4323,0,Saika Legendheart,https://img2.finalfantasyxiv.com/f/884e0eafe14ac60dd1f04f04df625dba_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644819591
34,28659962,57,9,35,4307,28.0,4307,0,Celestial Sonata,https://img2.finalfantasyxiv.com/f/3ce6d2fb37e8cf79d66c62c4b739e06b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645033747
35,30998195,57,9,36,4199,29.0,4199,0,Astra Luxe,https://img2.finalfantasyxiv.com/f/84ab5a70415ccc9e7fc2ec7936db1df1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644973180
36,12106686,57,9,37,3772,31.0,3772,0,Shark Boi,https://img2.finalfantasyxiv.com/f/c9fc9195c015d60eafaa9041713bbf84_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644776126
37,5250014,57,9,38,3181,74.0,435,2746,Rainier L'oeil,https://img2.finalfantasyxiv.com/f/93f3aa08c255b17e8131243a3d36b153_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644991020
38,17517610,57,9,39,3039,,0,3039,Jean-elli Greystone,https://img2.finalfantasyxiv.com/f/dd8a2bb65d9428606ab54c043c1d118a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645108412
39,25417817,57,9,40,3020,33.0,3020,0,V'nhea Kaisar,https://img2.finalfantasyxiv.com/f/321d97fcc217b31b4a2677bed9db1bfb_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645110550
40,18572701,57,9,41,3000,38.0,2100,900,Baldor Regime,https://img2.finalfantasyxiv.com/f/a06ad59866d41652bebc77ddec485b24_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644994285
41,29214103,57,9,42,2700,37.0,2700,0,Sir Owl,https://img2.finalfantasyxiv.com/f/bb7c8d98e1da79266fc6544db969c7e3_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644824930
42,23190767,57,9,43,2640,,0,2640,Carth Solarius,https://img2.finalfantasyxiv.com/f/1b79f3eb3f3bf60e3f6d25b26a0e57d7_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644808283
43,18556509,57,9,44,2610,40.0,2010,600,Sharq Tideborne,https://img2.finalfantasyxiv.com/f/723e49b3c15a9b29cba1866535587e09_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644785232
44,5914878,57,9,45,2515,,0,2515,Prinny Life,https://img2.finalfantasyxiv.com/f/cb5360cfcfba432179793892013b9cb5_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645193029
45,25242557,57,9,46,2490,78.0,330,2160,Ultra Rice,https://img2.finalfantasyxiv.com/f/205032f4b186be596d78cbca2fb3b381_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645057551
46,17939212,57,9,47,2070,39.0,2070,0,Lilium Shade,https://img2.finalfantasyxiv.com/f/6f2f45d4675abb2895d12015b46b3111_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644819430
47,31274480,57,9,48,2036,55.0,1016,1020,Rosa Locke,https://img2.finalfantasyxiv.com/f/ccdf237e7e9360801f5ec4c3ee7e91c0_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645101592
48,16246003,57,9,49,1931,41.0,1931,0,Rhona Bedivere,https://img2.finalfantasyxiv.com/f/0cc5dad9d3118b9a5a68f949bb80234c_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645191845
49,31754643,57,9,50,1769,66.0,570,1199,Flora Martel,https://img2.finalfantasyxiv.com/f/0f002d1e73b152b1350439659e326b63_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644683680
50,23364139,57,9,51,1766,,0,1766,Koka Kojou,https://img2.finalfantasyxiv.com/f/0759f2a5fa0195fe265787371bf22409_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644925961
51,30262841,57,9,52,1762,50.0,1162,600,Mr Mcfeely,https://img2.finalfantasyxiv.com/f/34684813bc6c447eaa3362115cac705f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644890946
52,28815894,57,9,53,1710,42.0,1710,0,Evelyn Vileheart,https://img2.finalfantasyxiv.com/f/e550c190d23a38d97681e8ae0b00a2bf_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644913333
53,25513178,57,9,54,1680,43.0,1680,0,Miimo Momiico,https://img2.finalfantasyxiv.com/f/4bfd61d37389e7429b4ee75a626e1fde_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645080864
54,5411350,57,9,55,1500,,0,1500,Indignation Astutulus,https://img2.finalfantasyxiv.com/f/bc3cafc89f915653bcb1543bbf57c954_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645169350
