,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26048397,76,15,1,91753,3.0,46748,45005,Riley Nathan,https://img2.finalfantasyxiv.com/f/c8b95f0b75ca9420e7b1a0e217935b96_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644751006
1,17388631,76,15,2,84679,1.0,64751,19928,Xcqvin Kalfa,https://img2.finalfantasyxiv.com/f/70aa9acefe8e9f1ba309781383a79c61_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645122519
2,10198165,76,15,3,67933,2.0,52473,15460,Towa Chun,https://img2.finalfantasyxiv.com/f/3ef5753392670c7395854a36b412f77e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644999212
3,26034509,76,15,4,65034,9.0,22137,42897,Lapicia Luri,https://img2.finalfantasyxiv.com/f/44a29b8b75d1bc787bf35f0d90e4ca9e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644967093
4,3969546,76,15,5,52672,4.0,31998,20674,Falken Redswallow,https://img2.finalfantasyxiv.com/f/a5746397474622571ca19890eb795470_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645193095
5,17492497,76,15,6,50194,6.0,26549,23645,Ruby Amaryllis,https://img2.finalfantasyxiv.com/f/c34dd16db2424f8183b4f26352dce32b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644823703
6,26242901,76,15,7,41687,7.0,26483,15204,Kanikakm Gunn,https://img2.finalfantasyxiv.com/f/a4aa46a38e6479e0957d360eb4ff8e57_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645007378
7,25240680,76,15,8,35305,10.0,15682,19623,Alice Amuro,https://img2.finalfantasyxiv.com/f/4e97d4344e5274f3b2f9f32bc439fff0_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645069294
8,28628189,76,15,9,33060,8.0,24930,8130,Qp Panda,https://img2.finalfantasyxiv.com/f/30e013c040dd9f604ace5a1e2f29b0a3_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644823506
9,24216618,76,15,10,31723,5.0,29572,2151,Niino Seraeno,https://img2.finalfantasyxiv.com/f/0b549e22c5f729b1fe29b4df8ef7d194_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645052469
10,28506622,76,15,11,30469,,0,30469,Olivia Peridot,https://img2.finalfantasyxiv.com/f/ac11f7850b0fec89324016829126137b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645018181
11,1688417,76,15,12,17228,11.0,15642,1586,Love Ai,https://img2.finalfantasyxiv.com/f/972bb02505f9d6dd9a555b0227f86c80_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645142112
12,2149968,76,15,13,16770,16.0,9120,7650,Dolis Tan,https://img2.finalfantasyxiv.com/f/7d895eea0e6294de95cf1c470a33eaf1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644971651
13,24044512,76,15,14,15033,19.0,6501,8532,Chobith Cap,https://img2.finalfantasyxiv.com/f/0b056e7858909e4d66a416d7e67a915c_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644799756
14,4773829,76,15,15,14579,12.0,14579,0,Alc Fouri,https://img2.finalfantasyxiv.com/f/f36fc38ea7a6eba5259adf8b56bafa7c_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645161676
15,14708875,76,15,16,13812,27.0,4907,8905,Yuffy Rose,https://img2.finalfantasyxiv.com/f/1ff90ec95b39dae6293dca92d0f2d921_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645188302
16,2399654,76,15,17,13153,31.0,3804,9349,Mighty Strikes,https://img2.finalfantasyxiv.com/f/2e511ee350f2c98d09061d6910e10604_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644952983
17,1632256,76,15,18,12340,14.0,9346,2994,Solne Mihgo,https://img2.finalfantasyxiv.com/f/f5fb0539e71581230d2d4e44547fc459_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645081774
18,25457034,76,15,19,11964,18.0,6607,5357,Moya Vegetable,https://img2.finalfantasyxiv.com/f/08eb402ea3c4d2e7415d34985a960c9d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644974599
19,3551136,76,15,20,10493,15.0,9263,1230,C'alc Sethi,https://img2.finalfantasyxiv.com/f/041fd42deba40c6cefed82ceb4ea8720_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645192164
20,29823685,76,15,21,9600,17.0,7380,2220,Opo Techi,https://img2.finalfantasyxiv.com/f/1e62801f9af116e0b357d04e2ae5a84e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644906564
21,17276701,76,15,22,9480,13.0,9480,0,Jack Rantern,https://img2.finalfantasyxiv.com/f/63b74f370911c8bfdb80141a88828f1f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644990727
22,23228026,76,15,23,9066,,0,9066,Leble Farine,https://img2.finalfantasyxiv.com/f/8ac69b990fef594f59ae5e94dcf15479_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645058772
23,30727531,76,15,24,8590,22.0,5800,2790,Rita Elysion,https://img2.finalfantasyxiv.com/f/1e9b640c7a1acc611541979b2e5f346e_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644620891
24,1974429,76,15,25,8527,23.0,5541,2986,Hipo Diable,https://img2.finalfantasyxiv.com/f/ad9f8113ff37d7a94b4d2ce7294c1f4c_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644991478
25,25562565,76,15,26,8267,20.0,6487,1780,Haruka Yu,https://img2.finalfantasyxiv.com/f/6a0d712448bed67cdcc53e259b7952f1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645134658
26,1653079,76,15,27,7860,47.0,2310,5550,Pocca Xoxo,https://img2.finalfantasyxiv.com/f/80abcbaa15f550bc0682a99b31657c55_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644987443
27,33715380,76,15,28,7512,,0,7512,Luna Flare,https://img2.finalfantasyxiv.com/f/6ca56330cba2a805b315c762bf355fbb_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644726902
