,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4395944,77,13,1,194955,,0,194955,Mina Blair,https://img2.finalfantasyxiv.com/f/f36f48e0d22ddfe5eec8bd0674d5f872_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645122711
1,17023628,77,13,2,150316,1.0,110534,39782,Omelette Dufromage,https://img2.finalfantasyxiv.com/f/0af6a256915d0690f0e42c5dc08cce5b_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645066822
2,19414366,77,13,3,144363,3.0,72721,71642,Ivory Hare,https://img2.finalfantasyxiv.com/f/238ddf0d1d96d524e5186e6f3e3f5383_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645117415
3,23345861,77,13,4,125725,2.0,76991,48734,Ash Caba,https://img2.finalfantasyxiv.com/f/5b44a98d3222f739dd5007a49a54ac8d_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645019436
4,15965407,77,13,5,114716,6.0,33899,80817,Celica Astraea,https://img2.finalfantasyxiv.com/f/e01da80607501b8a6c0dff589aa90744_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645055285
5,18428150,77,13,6,77967,4.0,65705,12262,Haelfyr Merlsyn,https://img2.finalfantasyxiv.com/f/6b601e6d9ca6d121d699cf0c5f95c13d_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645184354
6,29473791,77,13,7,77321,5.0,36541,40780,Divine Chibi,https://img2.finalfantasyxiv.com/f/eeeecca81d60cbbe60d0e0887b570df8_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644774578
7,11433704,77,13,8,21602,28.0,3456,18146,Kita Forge,https://img2.finalfantasyxiv.com/f/da1ae261649ff3ea2c5d8a0b11d9c703_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645134516
8,22612554,77,13,9,17891,7.0,9965,7926,Wacky Lele,https://img2.finalfantasyxiv.com/f/6aaeb0151e353e4ae95f394b9191213d_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644818330
9,5276133,77,13,10,13523,,0,13523,Revolutionary Che,https://img2.finalfantasyxiv.com/f/c48cb0cd307a61b1d09f0908f6804caf_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644740941
10,2226634,77,13,11,12704,9.0,8621,4083,Bran Flakes,https://img2.finalfantasyxiv.com/f/08351de03dd1879a567913fed67314cc_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644990072
11,14074470,77,13,12,11550,8.0,9300,2250,Qheta La'fayt,https://img2.finalfantasyxiv.com/f/abda323a740231751e868ee817ca7cc5_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645165303
12,28074162,77,13,13,10950,10.0,6180,4770,Sumin Kang,https://img2.finalfantasyxiv.com/f/9b29c4b9846dee031ef92b583a121077_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645125015
13,25306379,77,13,14,9617,15.0,5317,4300,Bubbly Senpai,https://img2.finalfantasyxiv.com/f/43e9e9a0a17dcd5a594f6e10cae8d2fd_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644929745
14,3367789,77,13,15,8876,65.0,1277,7599,Trionfi Fortuna,https://img2.finalfantasyxiv.com/f/4030597b47c8aaaf60c32d9eb5a21353_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645121618
15,3078501,77,13,16,8759,32.0,2969,5790,Dumb Comfy,https://img2.finalfantasyxiv.com/f/f93a9762f9cc6d200efb66b5444cd1df_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645109369
16,24358449,77,13,17,8535,25.0,3889,4646,Romaia Thornheart,https://img2.finalfantasyxiv.com/f/6a7256715a46a4dbc6ab138a50f4f41e_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645130451
