,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18425308,30,8,1,365913,1.0,260018,105895,Rana Branford,https://img2.finalfantasyxiv.com/f/127209c90abe62771fafada78ab54ac2_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645179744
1,15108134,30,8,2,210000,2.0,125187,84813,Hiromi Cxfive,https://img2.finalfantasyxiv.com/f/40224c092a4b9877edf3400503a8db6f_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644870936
2,8001950,30,8,3,87978,3.0,44050,43928,Suzu None,https://img2.finalfantasyxiv.com/f/d6494d833c595780160576745608782a_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644954845
3,5627052,30,8,4,42460,4.0,29999,12461,Sannsenn Lemnebal,https://img2.finalfantasyxiv.com/f/4ab8932df91e59f94c593d17ab364ad6_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645175596
4,4809600,30,8,5,40584,5.0,14513,26071,Rara Chloe,https://img2.finalfantasyxiv.com/f/4dd1c5abc9d2982a385ddc472614ed3a_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645125446
5,22888412,30,8,6,24139,66.0,1437,22702,Nanao Lak,https://img2.finalfantasyxiv.com/f/eda8fea28a832d076742db9008017dd2_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645001339
6,26279764,30,8,7,20643,9.0,8659,11984,Aruru Maruru,https://img2.finalfantasyxiv.com/f/e5c9bf1fd63c240a2a5ca351afe9960b_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644872152
7,4676930,30,8,8,19098,8.0,8721,10377,Gentle Mori,https://img2.finalfantasyxiv.com/f/3300f98128146d92504030b0553ebf2e_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645095128
8,29970141,30,8,9,14619,10.0,8541,6078,Hikari Yana,https://img2.finalfantasyxiv.com/f/8b6038744334dc64c099439387913d8a_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644811405
9,23182936,30,8,10,13801,6.0,10865,2936,Luna Anima,https://img2.finalfantasyxiv.com/f/3233e149843758e25367c95b37319c6a_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644859813
