,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4849201,23,17,1,457862,1.0,327314,130548,Sung Kang,https://img2.finalfantasyxiv.com/f/7539090db36d56a4c7e2d6cde87194d7_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645115525
1,2499262,23,17,2,399009,2.0,302129,96880,Mephisto Pheles,https://img2.finalfantasyxiv.com/f/7a0099c62e35d9fcdc91c94f476ee4b0_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645063738
2,26444684,23,17,3,244005,3.0,169847,74158,Ichigo Hatsukano,https://img2.finalfantasyxiv.com/f/384c9450ec52d6c84a60c1458b1bf4a3_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644784883
3,10377420,23,17,4,238218,5.0,147688,90530,Meeko Meeeko,https://img2.finalfantasyxiv.com/f/4748da5145bbcc2868717d1755fda75d_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645038537
4,8285981,23,17,5,231821,7.0,135741,96080,A'yha Aliapoh,https://img2.finalfantasyxiv.com/f/f1ea10bdb83ca26edc1ed98563ba3eae_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645067034
5,31654498,23,17,6,193956,10.0,115071,78885,Ridaio Wilesch,https://img2.finalfantasyxiv.com/f/a771153c9ed2d2e8114888e948b6ebae_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644945784
6,28075379,23,17,7,190041,8.0,128752,61289,Yuki Magic,https://img2.finalfantasyxiv.com/f/11e23ef40873855088342974eda569c8_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645110501
7,24405845,23,17,8,183183,4.0,165971,17212,Liese Musel,https://img2.finalfantasyxiv.com/f/f73064812fba994e5c026182dfc2d473_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645107989
8,33716140,23,17,9,176919,6.0,138128,38791,Kinoko Neko,https://img2.finalfantasyxiv.com/f/8299a5f553b197677915c38b0e088023_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644633587
9,28010905,23,17,10,170590,11.0,105744,64846,Ruri Ihitomi,https://img2.finalfantasyxiv.com/f/152295b72de996e01149987e217f181d_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645092455
