,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,31021704,78,9,1,247236,1.0,152071,95165,Amber Key,https://img2.finalfantasyxiv.com/f/7d4ae0440f42bc0fbba86772188cbd76_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644693128
1,6833780,78,9,2,210150,2.0,128485,81665,Captain Clouds,https://img2.finalfantasyxiv.com/f/10558ba25c9b8f5c9529997f872d4f95_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645120834
2,3792004,78,9,3,156041,4.0,93294,62747,Demo Medar,https://img2.finalfantasyxiv.com/f/cbbdb5b8f406cc7a317713dd328b3d80_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645119118
3,18404703,78,9,4,126566,3.0,95225,31341,Taka Chan,https://img2.finalfantasyxiv.com/f/5bbde5895dbd04b31a914c88e64d0145_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645149318
4,5980777,78,9,5,95029,5.0,68646,26383,Lothair Magnus,https://img2.finalfantasyxiv.com/f/722f395671366cf054981a07cd23bc66_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645164910
5,32052495,78,9,6,94952,9.0,41435,53517,Arylie Veraxian,https://img2.finalfantasyxiv.com/f/34134fe531705e09f5ee8e0c0f8f1eb6_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645038546
6,7992470,78,9,7,78205,6.0,52670,25535,Darius Heartling,https://img2.finalfantasyxiv.com/f/9e30f7195568c08237d367a434b02044_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645042098
7,2379877,78,9,8,69755,8.0,48360,21395,Sejiri Mujiri,https://img2.finalfantasyxiv.com/f/754ad90e475aada8e35255a2ef872022_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645139541
8,27533715,78,9,9,58804,10.0,37263,21541,Briar Ash,https://img2.finalfantasyxiv.com/f/111f4c53363995758dd36bc7f52e4e0c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645185529
9,11857134,78,9,10,57851,7.0,49139,8712,Alice Cellenia,https://img2.finalfantasyxiv.com/f/3592463ecce9e06016b9824d9c8cd324_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645109161
10,16646693,78,9,11,20617,,0,20617,Helwyr Hymlwardsyn,https://img2.finalfantasyxiv.com/f/508f6e71a81949e4c3ed9d31193600ef_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645081062
11,5273719,78,9,12,17661,12.0,14952,2709,Omnitrio Esteed,https://img2.finalfantasyxiv.com/f/a48fa4342c2fd1e5e73747623691ce72_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644813522
12,2240383,78,9,13,16620,13.0,9960,6660,Aaron Walker,https://img2.finalfantasyxiv.com/f/84e25d69749f2ec54ad63598a3e417e3_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645052503
13,15082965,78,9,14,15323,11.0,15323,0,Alis Valeth,https://img2.finalfantasyxiv.com/f/b66aa0033d77faca1c4de05b21347ae0_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644948327
14,13018146,78,9,15,15299,19.0,6306,8993,Seiryu Houju,https://img2.finalfantasyxiv.com/f/3235d1160257795aa3bc934e6b0b9b80_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645163121
15,10310685,78,9,16,12860,16.0,8999,3861,Gaius Caelum,https://img2.finalfantasyxiv.com/f/514354914126d2d4414ec1982f89a8df_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645132157
16,2748433,78,9,17,12180,17.0,7620,4560,Vai Nekomata,https://img2.finalfantasyxiv.com/f/dcee7375bc34ea6869091980479fa1f7_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645103456
17,16870324,78,9,18,9436,14.0,9436,0,Skyrus Perceur,https://img2.finalfantasyxiv.com/f/bec4070a1cb9c8973f8cc60e9ff4270e_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645147209
18,2844776,78,9,19,9090,15.0,9090,0,South Star,https://img2.finalfantasyxiv.com/f/ca289e51ee8198a7f8b64df5ef0d600c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645019896
19,7293366,78,9,20,7410,31.0,2430,4980,Nex Storm,https://img2.finalfantasyxiv.com/f/2c38d3f2c2d9a812f7e9d53e0acfd85a_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645033350
20,22457328,78,9,21,6990,18.0,6990,0,Reya Brand,https://img2.finalfantasyxiv.com/f/d530a71087e885eba6f562547555b7fd_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645115860
21,1888444,78,9,22,6240,45.0,1620,4620,Usynlona Rhotmonkywyn,https://img2.finalfantasyxiv.com/f/e215e8c5b031a4bd5e52867647739689_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645140819
22,10502098,78,9,23,6180,20.0,6180,0,Chappy Masters,https://img2.finalfantasyxiv.com/f/99988f4040fd738e5bbbcd5526ee6d34_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645080655
23,2862659,78,9,24,5839,21.0,5839,0,Lux Veritatis,https://img2.finalfantasyxiv.com/f/b80568cbe7edb22042066c35efb5698e_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645107404
24,12508598,78,9,25,5230,29.0,2631,2599,Nehpets Mayhem,https://img2.finalfantasyxiv.com/f/dd73d020a01eda9cdbcfd092507d75ae_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645042872
25,8923871,78,9,26,4991,22.0,4991,0,Yoshihira Minamoto,https://img2.finalfantasyxiv.com/f/bbcd03c2511698a5ce3ee442dcc506a8_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645079713
26,28177313,78,9,27,4925,,0,4925,Luna Hena,https://img2.finalfantasyxiv.com/f/3a505a9a48bc376066ca185819601b88_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645178243
27,20465090,78,9,28,4560,23.0,4560,0,Jaded Jenova,https://img2.finalfantasyxiv.com/f/756f2ee476423ec64ca0dadf254f0d81_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645042326
28,11649615,78,9,29,4528,25.0,3658,870,Darushiro Stonebridge,https://img2.finalfantasyxiv.com/f/ed49025a46f84a1807a28c776d5604f9_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644895154
29,30651858,78,9,30,4377,,0,4377,Bossy Beast,https://img2.finalfantasyxiv.com/f/15171f5cc5e3f6e2e924fa2db55a80ad_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645169682
30,29686461,78,9,31,4293,24.0,4293,0,Suzzane Furacao,https://img2.finalfantasyxiv.com/f/8e6858e17086b1b9b26d7ed19021de3d_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645192204
31,23868785,78,9,32,4110,68.0,750,3360,Esperett Jandelaine,https://img2.finalfantasyxiv.com/f/6c5a152f994576bbc2f9f4fcc04a68a2_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644993435
