,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,28179428,45,18,1,421391,1.0,315556,105835,Axel Rose,https://img2.finalfantasyxiv.com/f/ab6dc978e46766abf11aa8c47b5a3bb9_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645148666
1,28986269,45,18,2,420243,2.0,290686,129557,Shiina Shiina,https://img2.finalfantasyxiv.com/f/c304ac0ac7ddcecdf3bc1432dc1409c9_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645074081
2,28282146,45,18,3,279874,4.0,146151,133723,Suiu Tsukikage,https://img2.finalfantasyxiv.com/f/a19001c91de7c4d240fc729ab15991e0_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645110897
3,23596266,45,18,4,231430,5.0,144386,87044,Omikuji Bobby,https://img2.finalfantasyxiv.com/f/cccc8b679f2fd8ca06a7cf107eb66a9d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644991947
4,11058736,45,18,5,214562,7.0,128379,86183,Goblin King,https://img2.finalfantasyxiv.com/f/42fecee14b129b0393df8a4ce70131c5_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645014989
5,7986446,45,18,6,199962,6.0,144107,55855,Osobaya Sun,https://img2.finalfantasyxiv.com/f/e9decfcf5181752b61009c5a7eeab3da_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645036991
6,8886067,45,18,7,172683,3.0,155287,17396,Mikkun Mikumin,https://img2.finalfantasyxiv.com/f/fb799022419c6235774ba340f8097d5e_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645087228
7,3289583,45,18,8,170024,9.0,108954,61070,Regen Trauer,https://img2.finalfantasyxiv.com/f/878429e0c6871c6505c85f0dcd24d211_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645087052
8,3545266,45,18,9,163439,23.0,41240,122199,Suzudayo Suzukaze,https://img2.finalfantasyxiv.com/f/d500314312090f98e6e4a0413cd6ac06_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644724539
9,29047959,45,18,10,156720,8.0,125001,31719,Marenaux Morgan,https://img2.finalfantasyxiv.com/f/897f691905dec24d630128185b334087_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644816087
10,28179466,45,18,11,139149,13.0,73850,65299,Hanako Sawashiro,https://img2.finalfantasyxiv.com/f/d4b79981b2f390b5811c46ae3d2c4a59_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644819539
11,31192131,45,18,12,129794,11.0,80204,49590,Shayuuu Shi-na,https://img2.finalfantasyxiv.com/f/f50dd11175b4648ddf86869cd8b5ddec_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645114439
12,32250646,45,18,13,126245,16.0,65196,61049,Goro Kayanon,https://img2.finalfantasyxiv.com/f/fbc56307644c1e712360ee9f09ab1b61_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644633864
13,3184768,45,18,14,122662,12.0,76322,46340,Alisa Zafina,https://img2.finalfantasyxiv.com/f/83c58ae2f4176c66a2241b6f8c66528f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644951341
14,2448052,45,18,15,117475,15.0,65978,51497,Karen Millen,https://img2.finalfantasyxiv.com/f/1185ec8ba1e2ff18fc3b8a374b235673_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644951323
15,7787334,45,18,16,114173,18.0,54500,59673,Harold Streiten,https://img2.finalfantasyxiv.com/f/9acc0ae5b2063727e99fc203f303109d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645159733
16,25055865,45,18,17,99526,10.0,99526,0,Michel Sentoh,https://img2.finalfantasyxiv.com/f/a57a4557afa232ba3fe9ae277042521c_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644854497
17,31540900,45,18,18,96224,14.0,71171,25053,Shiki Toshi,https://img2.finalfantasyxiv.com/f/061928b31c386fdaf950872ae83496bc_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644921209
18,3187736,45,18,19,82888,19.0,49539,33349,Macha Auditio,https://img2.finalfantasyxiv.com/f/432541d23917a5bb85fe161fca0791d9_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645068402
19,7173280,45,18,20,80903,17.0,63474,17429,Momo Yuzumo,https://img2.finalfantasyxiv.com/f/aedb78eb7916bd59ffaa3765334fe37b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644804529
20,31485401,45,18,21,77584,24.0,40900,36684,Kelna Goole,https://img2.finalfantasyxiv.com/f/f6163ee4fe569ba1781081089da5f638_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644911783
21,23276484,45,18,22,61091,36.0,30606,30485,Lune Prischer,https://img2.finalfantasyxiv.com/f/5c0800669339f3556fa4e9e2af638afc_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644855970
22,8586105,45,18,23,57871,21.0,45039,12832,Toolu Yamada,https://img2.finalfantasyxiv.com/f/4dddc77d06f7b6fea36ab213bf268b9d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645191975
23,29090729,45,18,24,52710,20.0,45875,6835,Revieil Vil-noel,https://img2.finalfantasyxiv.com/f/0369d0b6d444cac2b2e75c9c61fedd47_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645112284
24,7182847,45,18,25,50405,35.0,30619,19786,Schuber Schwarz,https://img2.finalfantasyxiv.com/f/51f2618aaccca049ea613ac07b151fa1_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645100970
25,2342567,45,18,26,49017,30.0,34362,14655,X'nhapla Xin,https://img2.finalfantasyxiv.com/f/f5efa2373d20d42f147776868bfcb900_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645024405
26,31396084,45,18,27,47263,22.0,43127,4136,T'ganache Tia,https://img2.finalfantasyxiv.com/f/cd8afcb5637554fd6af299cb7fb1083a_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645035174
27,17761683,45,18,28,46071,27.0,36961,9110,Chloe Tabby,https://img2.finalfantasyxiv.com/f/ff3e4552e89d8ecfc373e79fa11f441b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644827832
28,13018112,45,18,29,42642,46.0,21429,21213,Yuta Dragoon,https://img2.finalfantasyxiv.com/f/c4826268685045320d0eb2f09be513fe_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644974319
29,31394148,45,18,30,42462,26.0,38094,4368,Jeunnes Alpha,https://img2.finalfantasyxiv.com/f/ad7219656b370e80697e5829d5e5351c_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645068932
30,12473370,45,18,31,42351,41.0,26336,16015,Karen Kisaragi,https://img2.finalfantasyxiv.com/f/3f92208975709408e8f9e421c1d44f92_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644951984
31,2177831,45,18,32,42231,28.0,35205,7026,Savoia Grayfox,https://img2.finalfantasyxiv.com/f/3d74aa4f898b06a79f3a7dfb72bc6b35_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645022951
32,31586804,45,18,33,40545,25.0,40545,0,Shiro Yoshishi,https://img2.finalfantasyxiv.com/f/546846106ea0355dd366a997897a6345_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645107133
33,3623895,45,18,34,39736,37.0,29434,10302,Maon Mao,https://img2.finalfantasyxiv.com/f/af849063e8a36491d039340a0605f769_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645043691
34,2841906,45,18,35,37752,47.0,21137,16615,Light Source,https://img2.finalfantasyxiv.com/f/1af1a7dc2998b7266c57c5e2b3300a5f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645102646
35,9629215,45,18,36,36722,31.0,34050,2672,Professor Amiba,https://img2.finalfantasyxiv.com/f/9d755f87664eb24173c02d28a254fcd3_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645084328
36,5520451,45,18,37,35064,29.0,35064,0,Risha Bishop,https://img2.finalfantasyxiv.com/f/425ae38e769119b841541ae0f8bec245_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645031333
37,31581763,45,18,38,34615,70.0,13652,20963,Meru Koko,https://img2.finalfantasyxiv.com/f/65d6f1a6b58b9b056ef5607a2743b7fb_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644860955
38,12153082,45,18,39,33806,44.0,22699,11107,Oroi West,https://img2.finalfantasyxiv.com/f/cdde753d1b0bdc1a172988b04f7c290b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644692812
39,18993684,45,18,40,33480,32.0,33480,0,Nils Yukimi,https://img2.finalfantasyxiv.com/f/d8884fe5e355e86f4469fc9fc0bda185_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644981596
40,17279702,45,18,41,32981,33.0,32981,0,Nerune Runerune,https://img2.finalfantasyxiv.com/f/e6d676c1558f16cb87822816854f187b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644719834
41,10372186,45,18,42,32131,34.0,32131,0,Chano Maru,https://img2.finalfantasyxiv.com/f/a624954f80a3274f003cd41458dcc152_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645152454
42,1577817,45,18,43,30581,62.0,15295,15286,Valma Curtis,https://img2.finalfantasyxiv.com/f/df40c684c01b12607af708cbb82af657_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644920723
43,31395238,45,18,44,28396,38.0,28396,0,Arr Ar,https://img2.finalfantasyxiv.com/f/1f3ed816e4f72cc8bfdd51f8fba5f504_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645022430
44,16498512,45,18,45,27311,39.0,27311,0,Yui Utatane,https://img2.finalfantasyxiv.com/f/58f755cf2bd137e2363e048f0ef06c32_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644902403
45,31554735,45,18,46,27165,40.0,27165,0,Gentiana Scabra,https://img2.finalfantasyxiv.com/f/a351c743394142381765802d0960f88f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645122144
46,28943486,45,18,47,27090,,0,27090,Lapinou Coco,https://img2.finalfantasyxiv.com/f/f8c2ba9e6ba534580210b07c7115bf87_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644892400
47,2524948,45,18,48,25949,49.0,20863,5086,Crow Raven,https://img2.finalfantasyxiv.com/f/550fb65605ac5d97d95cb93ed90c97cf_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645138510
