,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29441413,62,9,1,166478,1.0,120194,46284,Velietha Riostar,https://img2.finalfantasyxiv.com/f/2439a84d8b8539bcef410694e5758d03_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644885223
1,30480524,62,9,2,108477,3.0,63631,44846,Starnja Jadesong,https://img2.finalfantasyxiv.com/f/bb402771c73a43a80cd9e411e7a6b55c_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644885296
2,30683960,62,9,3,66493,2.0,66493,0,Hxd Gtmd,https://img2.finalfantasyxiv.com/f/1a172158c1ce05fedb289a46bdcfbece_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644604326
3,22235416,62,9,4,58369,5.0,33652,24717,Harumi Sato,https://img2.finalfantasyxiv.com/f/609cb59528720ad34e36da5520287462_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645033886
4,27993229,62,9,5,45162,4.0,38114,7048,Adrien Sardet,https://img2.finalfantasyxiv.com/f/0da1eee82efbdf3e34b22bd9f22ee27f_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644955256
5,27935635,62,9,6,39006,6.0,26942,12064,Rising Voltage,https://img2.finalfantasyxiv.com/f/9d880c50002e4bf1c0e19f496800ccbe_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645158720
6,11622167,62,9,7,25418,7.0,20870,4548,Arian Frost,https://img2.finalfantasyxiv.com/f/b588871c45c02befc12fe167e5f7661a_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644796132
7,2709638,62,9,8,24316,13.0,14656,9660,Sky Arashi,https://img2.finalfantasyxiv.com/f/e75b839f1ba33a743b966af0b1ec8852_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645119856
8,12558994,62,9,9,23737,34.0,4400,19337,Stabbin Deeply,https://img2.finalfantasyxiv.com/f/0a9cd74657b9d4f5455c2e6755ab59b7_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644900261
9,2834087,62,9,10,21618,14.0,12589,9029,Extreme Leaf,https://img2.finalfantasyxiv.com/f/4256b804c0b0473b843e1f561c7d5f84_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645142152
10,28313412,62,9,11,21360,9.0,16680,4680,Vex Vex,https://img2.finalfantasyxiv.com/f/6582202a2fe4da913f0724db9575fb07_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644663524
11,3324624,62,9,12,18203,11.0,15805,2398,Annabella Sibyl,https://img2.finalfantasyxiv.com/f/c090ec727b7dec6c3eed1d813d7d4019_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645007811
12,2342384,62,9,13,17734,8.0,17734,0,Amberley Vail,https://img2.finalfantasyxiv.com/f/c4dc690cbb9921fdf7bd287b2189935c_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645063046
13,2376919,62,9,14,17465,18.0,7715,9750,Mystogan Dreyar,https://img2.finalfantasyxiv.com/f/7f8bbd446beb322b6ea70530084ffd62_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645065456
14,14560677,62,9,15,16103,10.0,16103,0,Wasting Time,https://img2.finalfantasyxiv.com/f/d2ec7a6c44d93ff69adc8ed3dddc4846_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645139684
15,31881941,62,9,16,15520,15.0,9932,5588,Aurora Valkyrie,https://img2.finalfantasyxiv.com/f/6a49c1409d0352bb249f2bb02b1f68b8_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645157389
16,24089728,62,9,17,15361,12.0,15361,0,Ryan Blade,https://img2.finalfantasyxiv.com/f/571ef9949ee2ffd6c1f11964d79f3c35_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645103027
17,24485748,62,9,18,12912,19.0,7380,5532,Nevaeh Rose,https://img2.finalfantasyxiv.com/f/3e74ff5d7789749323eb8cbc5f4459fa_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645085551
18,22831797,62,9,19,11084,23.0,6794,4290,Tiberius Starfield,https://img2.finalfantasyxiv.com/f/fd85fa70e2b3d5b14549a256cd969d7b_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644981347
19,24234070,62,9,20,10198,,0,10198,Ameria Rauveron,https://img2.finalfantasyxiv.com/f/76f44e1b23525ea5c571443a69a67539_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645076081
20,4680491,62,9,21,9600,16.0,9600,0,Hex A'te,https://img2.finalfantasyxiv.com/f/11b974f2551349ed47ac246d3235e931_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645114055
