,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25872050,58,17,1,299939,1.0,220353,79586,Cocoa Tina,https://img2.finalfantasyxiv.com/f/1c0cc3962caacd37f044aafc8fd2a26f_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645163339
1,24037551,58,17,2,246441,2.0,189111,57330,Madori Madoromi,https://img2.finalfantasyxiv.com/f/c76e6f3f92175129b7fdc743dbac435c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644906395
2,14443320,58,17,3,213627,4.0,160311,53316,Ephraim Oblivion,https://img2.finalfantasyxiv.com/f/2e3ab437ba407a45a0a0ab3ae3727830_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645092647
3,22372850,58,17,4,212467,3.0,160597,51870,Balsamina Impatiens,https://img2.finalfantasyxiv.com/f/c76e31b9d45b998111b27b45990af170_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645105589
4,3389685,58,17,5,194361,7.0,120781,73580,Nishin Molkot,https://img2.finalfantasyxiv.com/f/38a2d4c7dd57e425c19d35219f5d44a1_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644979783
5,2551315,58,17,6,189186,8.0,114514,74672,Poyo Poyo,https://img2.finalfantasyxiv.com/f/966338698383e1cddef22aceb75be1c8_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645043111
6,28585933,58,17,7,177143,5.0,141377,35766,Noe Claretie,https://img2.finalfantasyxiv.com/f/1adc95e79d274579460ee08d84b47c1d_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644644312
7,23218858,58,17,8,155901,9.0,101340,54561,Yuzuriha Hinai,https://img2.finalfantasyxiv.com/f/54348ffa3fb1d54170d0a0316a6175f1_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644816485
8,5395480,58,17,9,152917,6.0,126046,26871,Aruto Rhuwa,https://img2.finalfantasyxiv.com/f/7e438f9bea16302bacf4be95db5094b5_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645086417
9,22300758,58,17,10,138520,14.0,64210,74310,Anami Shig,https://img2.finalfantasyxiv.com/f/65a7cd14f733f48dd657390cf7941537_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644723708
10,26317884,58,17,11,116267,12.0,78303,37964,Aqu Pule,https://img2.finalfantasyxiv.com/f/c023de6e928b8d9b260bc32758b41be3_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645028983
11,2373499,58,17,12,115134,11.0,87276,27858,Bakuga Beer,https://img2.finalfantasyxiv.com/f/e519420e2deaef702a1c9b5fd2dc4f75_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645064800
12,29753848,58,17,13,102908,10.0,93418,9490,Black Emblem,https://img2.finalfantasyxiv.com/f/bbc1c7bbddb58a65ed0c29c4eaa4826f_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645198590
13,32304278,58,17,14,80597,15.0,58163,22434,Wav-w Av,https://img2.finalfantasyxiv.com/f/20c567fafd2603480263f58d0693560c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644922454
14,3542685,58,17,15,77337,13.0,70342,6995,Will Smith,https://img2.finalfantasyxiv.com/f/162dd8a0dc51d891501571b879d47e1d_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645048522
15,30726034,58,17,16,76364,20.0,50043,26321,Dahau Labradorite,https://img2.finalfantasyxiv.com/f/aa341c38934ad7b979fe55928d47b62a_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645150917
16,33359881,58,17,17,74119,19.0,51422,22697,Suitti Zihou,https://img2.finalfantasyxiv.com/f/df60d4c82489496793115b5b9f952750_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645141461
17,17170866,58,17,18,67042,23.0,47554,19488,Citron Campo,https://img2.finalfantasyxiv.com/f/108d076d4dec9059e813c53a39a6e94f_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645018995
18,31758765,58,17,19,66909,25.0,41273,25636,Yoru Nulla,https://img2.finalfantasyxiv.com/f/14df2ea9c972197f8c12f1db703f7ee9_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644776713
19,18862793,58,17,20,65956,33.0,35835,30121,Icoro Pirika,https://img2.finalfantasyxiv.com/f/4ec4352b88d4b04f38df80228adf40ee_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645151108
20,25260715,58,17,21,65532,18.0,54378,11154,Komomin Poipoi,https://img2.finalfantasyxiv.com/f/42b449f1d70c6514f77019e531d4a0de_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644772038
21,21934715,58,17,22,64444,21.0,48990,15454,Pukaa Rin,https://img2.finalfantasyxiv.com/f/f96c8652fb4739920554d4ae085e2ceb_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645098232
22,19066795,58,17,23,61446,32.0,36608,24838,Shin Tukinomori,https://img2.finalfantasyxiv.com/f/e29fc648f19108a28bf74511ff9797de_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645091075
23,24756614,58,17,24,57807,31.0,37192,20615,Spm Pachi,https://img2.finalfantasyxiv.com/f/3522192b16ecba00f65197b2771fef35_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645161209
24,32230200,58,17,25,57403,34.0,33314,24089,Potato Extreme,https://img2.finalfantasyxiv.com/f/d4ec41c8ff4095dde4c07260e50a262e_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644618208
25,22670902,58,17,26,55562,16.0,55562,0,I'ris Glanz,https://img2.finalfantasyxiv.com/f/c51d3fe212bea3aa4cf03e2533fdcc0f_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645074873
26,24321571,58,17,27,55398,17.0,55398,0,Macchi Bear,https://img2.finalfantasyxiv.com/f/2b0ecb688bebb50ee5673e30bc3e1631_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645120933
