,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25520367,36,11,1,135260,1.0,87806,47454,Tiny Takahe,https://img2.finalfantasyxiv.com/f/822bfa701fab0a1763637dc6fb7c8eb3_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644643221
1,7387411,36,11,2,49269,4.0,23528,25741,Xemura Takahashi,https://img2.finalfantasyxiv.com/f/efcb6cc650387f2a9722d3e5bfafba57_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645039851
2,24589441,36,11,3,37872,5.0,21301,16571,Feli Silverfur,https://img2.finalfantasyxiv.com/f/2e520be7904dc12e29eec3cb986989f4_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645170142
3,5772242,36,11,4,35038,6.0,21268,13770,Arune Kaeya,https://img2.finalfantasyxiv.com/f/03224e02813e5d18e4792e5f2a4ec346_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645198297
4,5994784,36,11,5,34574,2.0,30195,4379,Ahri Schattenwind,https://img2.finalfantasyxiv.com/f/2621325c7a6ed3aee1c2ee7984a14dc9_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645137539
5,14066525,36,11,6,30244,24.0,5788,24456,Kazusa Pon,https://img2.finalfantasyxiv.com/f/f594b6c98501d03305afe9d62fa1894a_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645004014
6,13730474,36,11,7,26839,3.0,24993,1846,Kymani Tharul,https://img2.finalfantasyxiv.com/f/60783de6b0dd6cc4306f20500b3bc3ae_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645081930
7,21583416,36,11,8,24965,,0,24965,Nao Kin,https://img2.finalfantasyxiv.com/f/24c37f334ff9fe628494561a8f097713_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645040108
8,28950803,36,11,9,21373,12.0,11798,9575,Yuki Littleway,https://img2.finalfantasyxiv.com/f/2bd7007be21a762d92581b0c3917842b_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645045224
9,23804401,36,11,10,19586,7.0,18686,900,Luvian Edelphil,https://img2.finalfantasyxiv.com/f/150c9fc0c0bd22e6d29d765d106d37ee_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645020995
10,23716323,36,11,11,19550,10.0,13055,6495,Riftan Azalea,https://img2.finalfantasyxiv.com/f/6b15ce769f92ad01044736efa1b27435_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645032292
11,15356277,36,11,12,17902,8.0,17902,0,Alice Teatime,https://img2.finalfantasyxiv.com/f/72f9f96422ecff9e67c3512465397676_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645011132
12,24905842,36,11,13,16802,17.0,6779,10023,Steffomatus Torus,https://img2.finalfantasyxiv.com/f/784ea4f48576613d59025bb0591b7907_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645078506
13,21234169,36,11,14,16671,9.0,16671,0,Tiny Giant,https://img2.finalfantasyxiv.com/f/8d9ebb494ac4d1f4cb1d81914f79191d_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644949406
14,24268215,36,11,15,16128,11.0,12579,3549,Kaira Dorne,https://img2.finalfantasyxiv.com/f/f738fdfea62662faecd329cf28cbc49f_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645142954
15,27331028,36,11,16,11733,25.0,5641,6092,Lina Poe,https://img2.finalfantasyxiv.com/f/5bb9d5ee8412e147b1a696f0fb09e56d_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645041198
16,29828428,36,11,17,11220,29.0,5040,6180,Vida Mist,https://img2.finalfantasyxiv.com/f/654659adbd85a604021f42357a2ee847_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644854142
17,22565727,36,11,18,10744,19.0,6632,4112,Asan Dalamiq,https://img2.finalfantasyxiv.com/f/66928b06fec0f4c1dff306cf3e362ca5_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645120204
18,3535879,36,11,19,10225,13.0,10225,0,Amae Arisugawa,https://img2.finalfantasyxiv.com/f/7721ce423a5fae2e750d8c49b597ff54_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645175479
19,33065200,36,11,20,10176,15.0,7508,2668,Lesharo Nikan,https://img2.finalfantasyxiv.com/f/01c6233e126f6f4e1f07991bebe324e0_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644642038
