,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4725012,47,11,1,646810,1.0,520774,126036,Libre Vent,https://img2.finalfantasyxiv.com/f/975c84ebfc18586334ef1f5c77136c45_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644989816
1,4192962,47,11,2,546461,2.0,254753,291708,P'esca Tore,https://img2.finalfantasyxiv.com/f/521d8685a1bf2138c04368aa8936a473_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645089336
2,28524952,47,11,3,230439,3.0,148440,81999,C'iel Freesiah,https://img2.finalfantasyxiv.com/f/df14dd9c291f4c03170e0dc5d450d1e1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645122575
3,15301435,47,11,4,194265,4.0,143033,51232,Ashe Flamm,https://img2.finalfantasyxiv.com/f/181c391e181403b403841d1366cc5316_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645108286
4,32232879,47,11,5,161855,5.0,133522,28333,Imo Imomusi,https://img2.finalfantasyxiv.com/f/5dc043f9581d2bbfb6888e5447631b58_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645114905
5,19111100,47,11,6,141959,6.0,106850,35109,Nanai Law,https://img2.finalfantasyxiv.com/f/0d5e5cb7ae65f9748a6d17ba8296a24e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645073569
6,24824143,47,11,7,132040,12.0,39471,92569,Latte Amespi,https://img2.finalfantasyxiv.com/f/a65b157328943770771a9c97934cc69b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644809203
7,31619699,47,11,8,100025,7.0,75130,24895,Claudia Beilschmidt,https://img2.finalfantasyxiv.com/f/3604e28037dab6f6375a452adf239b92_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644856820
8,19352479,47,11,9,90149,9.0,46747,43402,Shamia Lafihna,https://img2.finalfantasyxiv.com/f/d0039c35e86ce2926331c5c708ef39f6_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644717026
9,19416468,47,11,10,66406,22.0,14701,51705,Hiruki Daio,https://img2.finalfantasyxiv.com/f/07331f723433161cc10b51f9d6dc13fe_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645085399
10,4223131,47,11,11,56049,13.0,39438,16611,Jonanah Jonah,https://img2.finalfantasyxiv.com/f/cde8912682cdbf53a01747e69a83d53f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645172835
11,19354573,47,11,12,55294,8.0,51043,4251,Remi Lami,https://img2.finalfantasyxiv.com/f/12ecf80b09c828cd182fc5ba30e34568_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645118738
12,24725250,47,11,13,52895,11.0,39942,12953,Teq Ginger,https://img2.finalfantasyxiv.com/f/59d31acd03db4419d65760c7df7b2c85_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644801552
13,23291500,47,11,14,51381,10.0,40733,10648,Purie La,https://img2.finalfantasyxiv.com/f/f79e33e1718e6318182d4dc71562c4d9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644900991
14,2473769,47,11,15,46671,14.0,30704,15967,Kochi Muchi,https://img2.finalfantasyxiv.com/f/1ed88c93153cd3574c42e246e3e1930b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645032487
15,19362412,47,11,16,34344,19.0,22148,12196,Inori Tamayori,https://img2.finalfantasyxiv.com/f/61655258657241a5733878a6f72a052e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645011415
16,28894789,47,11,17,32118,20.0,22017,10101,Spina Yashcaret,https://img2.finalfantasyxiv.com/f/cafd47cf3e740aa9500ccb2bde940066_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645180911
17,30869563,47,11,18,30519,18.0,22441,8078,Nemui Meimei,https://img2.finalfantasyxiv.com/f/c2aef3b75a83fb33451c88545993ac72_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645071087
18,13853827,47,11,19,29899,,0,29899,Lilica Lica,https://img2.finalfantasyxiv.com/f/e60de83ef63416c00e77877948a346f8_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1630223882
19,18538232,47,11,20,28013,16.0,24593,3420,Lau Malaguld,https://img2.finalfantasyxiv.com/f/c8b19dc808bdcd9ecc6fb205f961f117_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644977225
20,10060913,47,11,21,27510,17.0,23460,4050,Micoto Fenice,https://img2.finalfantasyxiv.com/f/4de9afe2bc4e5a178e6e8b8d906903d7_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645059838
21,30731349,47,11,22,25103,38.0,9865,15238,Protein Kotarou,https://img2.finalfantasyxiv.com/f/e3b36a389ebee44f9724fa3e37cb638a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644909911
22,20488852,47,11,23,25018,15.0,25018,0,Thorn Yuriev,https://img2.finalfantasyxiv.com/f/775fc12802c384177429ffc8ea44efb9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645016348
23,25848719,47,11,24,22041,36.0,10480,11561,Yuragu Nenuphar,https://img2.finalfantasyxiv.com/f/5dfdf5180df5e6a26aa7f0e275c31421_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645019954
24,3239238,47,11,25,19415,21.0,15608,3807,Reah Little,https://img2.finalfantasyxiv.com/f/ba8a92becfbf51cf11588c1a3b47bc2b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645127273
25,24311473,47,11,26,17850,37.0,10140,7710,Aki Ober,https://img2.finalfantasyxiv.com/f/59e9e9098e85c38ac1e86024e892c8c0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644951359
26,15773785,47,11,27,17147,27.0,12647,4500,Nahoaya Lilym,https://img2.finalfantasyxiv.com/f/242ee9b758673bdd8ac59723e2113d14_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644976369
27,21727215,47,11,28,15350,29.0,11960,3390,Alice Mimily,https://img2.finalfantasyxiv.com/f/d1e68a10794d543ad04dc17531182a85_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644988825
28,2416993,47,11,29,15007,32.0,11131,3876,Mauh Binbotaj,https://img2.finalfantasyxiv.com/f/054757c75a86482c678872524add0f2b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645170114
29,22028883,47,11,30,14620,24.0,13330,1290,Sea Elle,https://img2.finalfantasyxiv.com/f/690aa7a6c3107797850ae221f2da974b_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645004698
30,16247706,47,11,31,14460,31.0,11430,3030,K- Ivory,https://img2.finalfantasyxiv.com/f/658603e74578d4c5db75154f322c26a2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645157223
31,20563828,47,11,32,14371,23.0,14371,0,Eorzean Hamster,https://img2.finalfantasyxiv.com/f/27a3c48633f63474cd33f6944598dd43_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644679466
32,10936824,47,11,33,12950,25.0,12950,0,Shin Arata,https://img2.finalfantasyxiv.com/f/8a58b4abeea76523441b70ad8eba223b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645119146
33,27583917,47,11,34,12748,26.0,12748,0,Qwenthur Howard,https://img2.finalfantasyxiv.com/f/10bf590c276049eb1b33ca8b2966d322_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644885489
34,7464950,47,11,35,12636,28.0,12636,0,Kakuzatou Mgmg,https://img2.finalfantasyxiv.com/f/4be445b0ce5b2863b1caec01db7087a5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645182057
35,4341395,47,11,36,11854,47.0,6327,5527,Sakura Malier,https://img2.finalfantasyxiv.com/f/5e1467f130792f9305c1a722f5ea2ded_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644980157
36,19537561,47,11,37,11815,30.0,11815,0,Ume Shu,https://img2.finalfantasyxiv.com/f/58cbab7f063d19286e80ffced03fe4c1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645090909
37,24075456,47,11,38,11604,58.0,5328,6276,Crysania Tarinius,https://img2.finalfantasyxiv.com/f/201852c4b6eb9bbe426a45bfa4778758_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645131210
38,25515591,47,11,39,10950,91.0,2400,8550,Iris Siberian,https://img2.finalfantasyxiv.com/f/1873306574b4512dceaaf7b228549675_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645041449
39,28958532,47,11,40,10854,33.0,10854,0,Yun Shifica,https://img2.finalfantasyxiv.com/f/afa8d55805311f43fae35f17427685be_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644806281
40,18156258,47,11,41,10798,34.0,10798,0,Mia Nemurime,https://img2.finalfantasyxiv.com/f/1c5bfb4377814dcec9ed4508ecbf27ae_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645069389
41,25796299,47,11,42,10688,66.0,4945,5743,Erika Bukku,https://img2.finalfantasyxiv.com/f/e3bc58b815f1da782083b911c814fb61_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645136163
42,27748037,47,11,43,10605,35.0,10605,0,Yuelia Holy,https://img2.finalfantasyxiv.com/f/bf9b145951824ed7ed99c08b411c552e_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644950157
43,17756582,47,11,44,10193,42.0,7134,3059,Smap Smaper,https://img2.finalfantasyxiv.com/f/059d63497fd4f7f2644b2eee0f9c521d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644994812
44,23951018,47,11,45,9873,45.0,6542,3331,P-man Reiyan,https://img2.finalfantasyxiv.com/f/1b173a9b1cba850608020d3b5d318c17_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644953828
45,17736264,47,11,46,8970,61.0,5220,3750,Odatti Roadknight,https://img2.finalfantasyxiv.com/f/60854fb17a2edb7bf88c2cafa068100a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645133097
46,8687372,47,11,47,8970,57.0,5400,3570,Rih Testaros,https://img2.finalfantasyxiv.com/f/e44af15cb58c5c2259082a29cd2deac0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644977225
47,23022265,47,11,48,8833,40.0,7947,886,Beru Neko,https://img2.finalfantasyxiv.com/f/1344a8c565ca05e789335cd29a6341a3_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645099983
48,28585699,47,11,49,8214,44.0,6785,1429,Kalua Swift,https://img2.finalfantasyxiv.com/f/a3e47eeeaeb37abc8171a74a33f3c1aa_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645032942
49,22247946,47,11,50,8175,39.0,8175,0,Rui Lilas,https://img2.finalfantasyxiv.com/f/1983c5b153df621f8220d140eaf362c7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645019281
50,23997296,47,11,51,7929,41.0,7134,795,Aramary Delta,https://img2.finalfantasyxiv.com/f/68df3ae548cc7d8968756ecc23954e00_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644599739
51,3235869,47,11,52,7625,64.0,5015,2610,Chagashi Nbolo,https://img2.finalfantasyxiv.com/f/2e967de40e351938636de0673e17d6d8_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644960053
52,22797028,47,11,53,7620,63.0,5080,2540,Renato Zola,https://img2.finalfantasyxiv.com/f/c349c3badd0d6f69c871b0a7c3f5f56a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644867257
53,25096942,47,11,54,7567,53.0,5637,1930,Nine Number,https://img2.finalfantasyxiv.com/f/32af23afc653c3513a0651e15f5dea40_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645124009
54,22347371,47,11,55,7337,56.0,5485,1852,Anpan Abbey,https://img2.finalfantasyxiv.com/f/35799b5bf869500e1fb0a3ff5c8895a2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645072980
55,17170251,47,11,56,7206,62.0,5130,2076,Lui Miller,https://img2.finalfantasyxiv.com/f/37eef4f709f3c41718da2ffde8dc4744_87b7d447f40b06dfc7228caf195f7dcffc0_96x96.jpg?1644777202
56,19017883,47,11,57,7129,,0,7129,Wakaba Yanagi,https://img2.finalfantasyxiv.com/f/a75e9a5e2f8014ec927c92bd199e9405_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645156868
57,26983691,47,11,58,6955,43.0,6955,0,Roin Row,https://img2.finalfantasyxiv.com/f/701e46f8e31aa0ee126c7e5e3a6d04ce_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645051437
58,32750149,47,11,59,6850,51.0,5770,1080,Nikimaru Kageyama,https://img2.finalfantasyxiv.com/f/af8fbc3a4fea58e99962f6d05711014d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644877399
59,24752000,47,11,60,6806,69.0,4496,2310,Cafeaulait Conbu,https://img2.finalfantasyxiv.com/f/fd28aaa668f7860a45f42c5a5d81cac5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645132301
60,22803176,47,11,61,6450,50.0,5940,510,Alycia Shiza,https://img2.finalfantasyxiv.com/f/f74a2a4c6a6b0034cc1c27d257a7e6e7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645177097
61,19399551,47,11,62,6390,46.0,6390,0,Mofu Mofuco,https://img2.finalfantasyxiv.com/f/91bc72b9ba8afa7d1d3f1ec3aa431b9f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645177389
62,14055653,47,11,63,6030,48.0,6030,0,Ryo San''',https://img2.finalfantasyxiv.com/f/d4418e9382b32399d749f4035feeade6_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645136364
63,2840616,47,11,64,5996,49.0,5996,0,Uncle Buster,https://img2.finalfantasyxiv.com/f/3ad2c457bb524811f4f5da2a43408745_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644996387
64,5418341,47,11,65,5983,,0,5983,Ramura Yukimidaifuku,https://img2.finalfantasyxiv.com/f/69ace7d5cabcf54089a04a3fe15c957f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644965131
65,22978338,47,11,66,5914,74.0,3964,1950,Saria Taria,https://img2.finalfantasyxiv.com/f/c9eb3d1bd9f1d37aa0c9f25b25c216a0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645070554
66,3552309,47,11,67,5910,,0,5910,Esta Fiorenza,https://img2.finalfantasyxiv.com/f/5ff3fedca6c44ffa81a4499d98deacca_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645012555
67,14511285,47,11,68,5753,73.0,4004,1749,Takkina Luchs,https://img2.finalfantasyxiv.com/f/7c0c1b4c326506ee62b683a645ef2a41_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645055870
68,25136330,47,11,69,5749,52.0,5749,0,Alessio Squalo,https://img2.finalfantasyxiv.com/f/9073dfad3cb368045482465e1433cda8_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644960504
69,25075343,47,11,70,5677,,0,5677,Makura Coro-coro,https://img2.finalfantasyxiv.com/f/d6f3921cafc3aa30826628cebe73a885_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645013655
70,3229081,47,11,71,5648,93.0,2301,3347,Kagari Wilkin,https://img2.finalfantasyxiv.com/f/024d97895dcbbaac0621ba37888773d8_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644950497
71,24332484,47,11,72,5590,54.0,5590,0,Connor Grande,https://img2.finalfantasyxiv.com/f/0119f04070918c1901ba25be1e11851f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645164358
72,12502968,47,11,73,5561,,0,5561,Luna Griffin,https://img2.finalfantasyxiv.com/f/a5c27e992701fd13d48802a095b33e4c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645005797
73,3612482,47,11,74,5490,55.0,5490,0,Noca Lyre,https://img2.finalfantasyxiv.com/f/c9dcf305103e85d189c61a50c3f8af72_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644985478
74,15296087,47,11,75,5388,67.0,4665,723,Mikha Ashmane,https://img2.finalfantasyxiv.com/f/d0f4c5ae32a61b68da2c534e50cc1ed7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644813253
75,29616547,47,11,76,5310,59.0,5310,0,Ritta Lilym,https://img2.finalfantasyxiv.com/f/a16c70f063fdd86fd2e2c1a40638d8c4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644953473
76,30598978,47,11,77,5280,60.0,5280,0,Keeskens Willem,https://img2.finalfantasyxiv.com/f/7cd7a9dcdabed58c8cade000c043edea_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644838095
77,8769671,47,11,78,4980,65.0,4980,0,Ludwig Rohe,https://img2.finalfantasyxiv.com/f/4b355e83a7694ff79c6a27704ad90be2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645185401
78,23667647,47,11,79,4770,68.0,4650,120,Bios Kianos,https://img2.finalfantasyxiv.com/f/f3c2a50c6fc797b5260180f88c81ed94_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645018741
79,2330764,47,11,80,4709,97.0,2069,2640,Aorine Nagira,https://img2.finalfantasyxiv.com/f/209c92efe3a971e10f330697b151f3dc_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645105142
80,18939298,47,11,81,4576,79.0,3364,1212,Oboro Kumuyu,https://img2.finalfantasyxiv.com/f/0f73dc7814b34be34752745a053c4f22_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644869131
81,23285623,47,11,82,4501,96.0,2082,2419,Tacopa Spun,https://img2.finalfantasyxiv.com/f/c554e15fc16b3e089e59a2195cedbc63_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645055355
82,9169506,47,11,83,4440,70.0,4440,0,Yona Craft,https://img2.finalfantasyxiv.com/f/4fbd80ff07139aa82411bc2f1ca4890d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645069795
83,28276705,47,11,84,4430,,0,4430,Green Midoli,https://img2.finalfantasyxiv.com/f/d527cdfe223c9cb6578ac64fa5f06469_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644904313
84,12258959,47,11,85,4388,92.0,2398,1990,Theo Anis,https://img2.finalfantasyxiv.com/f/5530a805a1009cf22e2fb69cb6f6499a_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645097304
85,17356555,47,11,86,4368,72.0,4068,300,Nokia Rival,https://img2.finalfantasyxiv.com/f/09d55e392e3ade6584c623c20b67864c_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644985434
86,12445210,47,11,87,4138,,0,4138,Fer Cephem,https://img2.finalfantasyxiv.com/f/599c93ee8d5fbdaf9ef88032dedcf22c_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645118921
87,23855422,47,11,88,4111,71.0,4111,0,Lysorm Ville,https://img2.finalfantasyxiv.com/f/8610ff66037f6277ce021a61081a906f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645073354
88,30221064,47,11,89,4109,83.0,3089,1020,Puu Corneo,https://img2.finalfantasyxiv.com/f/c058c3c1d3015794ecd6f5ff065f11e4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644954217
89,29104194,47,11,90,4069,99.0,1897,2172,Raxala Allium,https://img2.finalfantasyxiv.com/f/f833264c95b60a71009a8185e84d8f3c_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644863791
90,24596155,47,11,91,3927,,0,3927,Chao Knowledge,https://img2.finalfantasyxiv.com/f/ca5cef32fc7fadc5dcaf74e5c9d4a7ec_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645009748
