,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,28256051,67,14,1,303704,2.0,169258,134446,Leo Kienai,https://img2.finalfantasyxiv.com/f/19509ef368219bf71749461508a9189c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644669403
1,17732186,67,14,2,264825,1.0,196473,68352,Fran Farron,https://img2.finalfantasyxiv.com/f/738bf6a2350009d5e77c53dfb0661cda_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645187435
2,2823372,67,14,3,181160,3.0,150607,30553,Screaming Bee,https://img2.finalfantasyxiv.com/f/f9cc1609f07c513aa0c792af77435ad1_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644727089
3,2190364,67,14,4,97937,4.0,97937,0,Cliara Yanin,https://img2.finalfantasyxiv.com/f/8a21460bd7484ac77dc08e0708724b8a_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645035324
4,29520318,67,14,5,93067,5.0,93067,0,Chris CeIIenseres,https://img2.finalfantasyxiv.com/f/11daadc401c3625696d2db1a89decbfb_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644775487
5,1693153,67,14,6,82496,12.0,21139,61357,Leyla Lionshield,https://img2.finalfantasyxiv.com/f/79237682914289c1750ebd3976528d06_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645179860
6,15227679,67,14,7,76542,6.0,62804,13738,Kornex Fang,https://img2.finalfantasyxiv.com/f/47437b949aed26ecf3c3c4f1a8ec9dd3_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645168899
7,16485366,67,14,8,70464,7.0,44189,26275,Sayuri Kurogane,https://img2.finalfantasyxiv.com/f/5ff4cfb9503faf589e7f5f3ebb73ab3b_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645186071
8,4301028,67,14,9,44532,8.0,30800,13732,Vyren O'myret-moor,https://img2.finalfantasyxiv.com/f/bd8017567fbcae165484c3ac09845b05_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645099205
9,15536194,67,14,10,42851,10.0,23799,19052,Ettari Lockser,https://img2.finalfantasyxiv.com/f/3994904f628150ab2dd6eebf4322f366_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645021038
10,29971227,67,14,11,42571,9.0,26539,16032,Radulf Rushe,https://img2.finalfantasyxiv.com/f/8deb9c2c35eae935554cc79a70c152de_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645048086
11,26293678,67,14,12,38279,11.0,22220,16059,Jara Kisne,https://img2.finalfantasyxiv.com/f/b5234606d11b9000d806045a19d548a7_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645048722
12,8140068,67,14,13,28688,25.0,6184,22504,Khadis Sunflare,https://img2.finalfantasyxiv.com/f/b462abaed81afc3fe3e669bc7d94b26f_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645121706
13,7606310,67,14,14,18565,27.0,6000,12565,Ariante Shadows,https://img2.finalfantasyxiv.com/f/5d80a6efd1d28309e0f6d0fcccd153cc_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645095459
14,4375717,67,14,15,16484,13.0,13497,2987,Quinn Flynn,https://img2.finalfantasyxiv.com/f/77ad94eff2a53978e43e95076b1b1c74_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645063431
15,12997589,67,14,16,15270,21.0,8220,7050,Kanem Argentum,https://img2.finalfantasyxiv.com/f/cb3786f69ea7317fefa4d52ac0f48fdc_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645180228
16,13179070,67,14,17,12750,14.0,11220,1530,Rhea D'schain,https://img2.finalfantasyxiv.com/f/448f3bd07a6c3632834690df01b50285_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645112203
17,23111052,67,14,18,10558,15.0,10349,209,Kasumi Arashiyama,https://img2.finalfantasyxiv.com/f/974b9cf5c83337b5c70f0fbe3285b417_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645156365
18,15836712,67,14,19,10141,16.0,10141,0,Fluffy Mcsnackface,https://img2.finalfantasyxiv.com/f/b5f83c77c911fc3a714de8af408d7d9b_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645069279
19,27281675,67,14,20,9852,17.0,9852,0,Yumea Regenguss,https://img2.finalfantasyxiv.com/f/4fd022ece066462abf3038c3f355c1f3_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644845822
20,13316958,67,14,21,9851,18.0,9851,0,Moe Abysswalker,https://img2.finalfantasyxiv.com/f/79f37abbde1b8d25fb78716c689a184f_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645117423
21,2846244,67,14,22,9767,22.0,7630,2137,Alastor Blue,https://img2.finalfantasyxiv.com/f/5a44cf8b990e70df84ee9a3f6870e025_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645119546
22,8928481,67,14,23,9468,19.0,9468,0,Zyrenia Yokou,https://img2.finalfantasyxiv.com/f/c2e25c8e26ff9a6ae32eca6d7340ba9e_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644818551
23,1518291,67,14,24,9150,20.0,9150,0,Quicky Ra,https://img2.finalfantasyxiv.com/f/20bbf1da83290ec749ef9245ea42c367_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645084728
24,7750476,67,14,25,7407,38.0,4173,3234,Samuel Karfax,https://img2.finalfantasyxiv.com/f/05495a0bfdeeef3a96d2b8379f8ac3de_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645115525
25,14509323,67,14,26,7143,51.0,2544,4599,Karaya Haze,https://img2.finalfantasyxiv.com/f/294a84c420f486c0a0d7ccd8a6827486_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645033081
26,11055135,67,14,27,6990,23.0,6990,0,Xany Tweals,https://img2.finalfantasyxiv.com/f/fcb3f41494337a3e6017ed62ffce2482_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645121272
27,23076781,67,14,28,6509,28.0,5392,1117,Tantril Phyr,https://img2.finalfantasyxiv.com/f/a62867f23c8e4d84167084408ad07ee9_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645203789
28,15348429,67,14,29,6434,41.0,3884,2550,Liam Evans,https://img2.finalfantasyxiv.com/f/bb9dd5478feaeec8c60f930769065f1a_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645081150
29,18767624,67,14,30,6210,24.0,6210,0,Rin Elysium,https://img2.finalfantasyxiv.com/f/755da546272518548acf91c579e63b6d_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644625358
30,14168670,67,14,31,6180,26.0,6180,0,Xios Auroros,https://img2.finalfantasyxiv.com/f/7505a57cd04b77f7d02f5b5e1cdcb40b_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644848127
31,4095380,67,14,32,5490,39.0,4140,1350,Peppi Minzia,https://img2.finalfantasyxiv.com/f/ca46e8d69e39bdbf829d2481986e6bdc_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644991475
32,25409789,67,14,33,4946,45.0,3058,1888,Vayce Nakamura,https://img2.finalfantasyxiv.com/f/3b2f09d56e963c41a94fb9d8abcd29cb_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645036703
33,25495174,67,14,34,4890,29.0,4890,0,Alice Celticers,https://img2.finalfantasyxiv.com/f/cbde03227216b683a1f8309852dee41a_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645137762
34,16381688,67,14,35,4851,30.0,4851,0,Kaname Daiko,https://img2.finalfantasyxiv.com/f/e447ac8fe6e256ebb4b7c5ce25cfc0e7_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644902441
35,4731216,67,14,36,4764,31.0,4764,0,Koneko Ethane,https://img2.finalfantasyxiv.com/f/405d00efce59b32dde239f47acb296f4_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645133283
36,22523252,67,14,37,4560,32.0,4560,0,Nami Katakuri,https://img2.finalfantasyxiv.com/f/ec5edf317ca7b010230bd1ec73c35dd3_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644992878
37,13781135,67,14,38,4406,33.0,4406,0,Teleri Haleth,https://img2.finalfantasyxiv.com/f/d6b5d907d4608433e31ef9b6a59fe4d7_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645040104
38,2180441,67,14,39,4329,34.0,4329,0,Jon Spellcaster,https://img2.finalfantasyxiv.com/f/adc769d2c8edb96174b23e6bff786d68_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645136864
