,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4461825,30,13,1,443144,2.0,271348,171796,Emilie Mordred,https://img2.finalfantasyxiv.com/f/64396d4e67f4306220c3afc11f4b7bab_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645119709
1,7539775,30,13,2,426855,1.0,300978,125877,Vril Via,https://img2.finalfantasyxiv.com/f/35bad132df873dfcd81d18990e6a9a9e_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645092673
2,32923774,30,13,3,118467,3.0,78348,40119,Alex Hayashi,https://img2.finalfantasyxiv.com/f/1cf0b902b443b14ddca3332bba37beec_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644896980
3,21600106,30,13,4,70692,6.0,25989,44703,Pei Sly,https://img2.finalfantasyxiv.com/f/8f26c346ad8c63da498fe56bb9cd01d9_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645195239
4,5197936,30,13,5,67387,4.0,56243,11144,Koro Meme,https://img2.finalfantasyxiv.com/f/e4051089f24055cd49f09fa0f2bc9947_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645200149
5,24826065,30,13,6,64350,,0,64350,Yoshino Yorita,https://img2.finalfantasyxiv.com/f/21dffcdd95d29ea0c6d96388f4c4f28f_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644884888
6,24876279,30,13,7,42856,15.0,15474,27382,Rachel Gardner,https://img2.finalfantasyxiv.com/f/667a82a39d4087e5a17d7e5cbdcf200e_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644785697
7,4806613,30,13,8,42654,5.0,36684,5970,Iroha Suzune,https://img2.finalfantasyxiv.com/f/db42782f7930921b6ca7eadef2d50d28_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644955869
8,4714168,30,13,9,32732,7.0,24546,8186,Toki Redjade,https://img2.finalfantasyxiv.com/f/5337d02fb0caa151a6ae19d619ee4340_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645145243
9,23182944,30,13,10,29751,8.0,19282,10469,Rine Pekopeko,https://img2.finalfantasyxiv.com/f/04445cae7bc3085d393e5e38822d1b7b_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644951951
10,5316088,30,13,11,26100,23.0,10050,16050,Marie Biscuits,https://img2.finalfantasyxiv.com/f/7ffc46a4bdb72d6cd419393d4e8a1c61_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1644955347
11,21960474,30,13,12,24944,11.0,18567,6377,Kolto Kval,https://img2.finalfantasyxiv.com/f/630c355973ed7e61a6fdad2cd3a62b32_393eb74047bb90c8d80dea54218430eefc0_96x96.jpg?1645128612
