,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,7178833,40,17,1,475892,1.0,395400,80492,Indigo Von,https://img2.finalfantasyxiv.com/f/322a1cb140c5aec663aba2d1fc98fd32_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645176290
1,26651979,40,17,2,377871,3.0,309738,68133,Shizuna Misurugi,https://img2.finalfantasyxiv.com/f/c520c16ad2a443ea9e058d3288c3558d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645082327
2,21094936,40,17,3,332786,2.0,332786,0,Fish Power,https://img2.finalfantasyxiv.com/f/8570ff6af08225ed57dd7871b60df363_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644856776
3,11457297,40,17,4,326513,4.0,295683,30830,Lady Merlin,https://img2.finalfantasyxiv.com/f/5aed5b65512b44f1ba6d29705801f420_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645143336
4,334111,40,17,5,308937,5.0,233277,75660,Alienor D'aquitaine,https://img2.finalfantasyxiv.com/f/5081e47ae0c7ea6863de7f6eb7042090_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645059673
5,28206380,40,17,6,269085,6.0,225404,43681,Iris Armbrust,https://img2.finalfantasyxiv.com/f/5b6721501c8445ec0ded1caae9985c09_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644919656
6,29755630,40,17,7,249290,8.0,196842,52448,Juniper Owl,https://img2.finalfantasyxiv.com/f/07aac2756bf559693eac2bdf8a673d6a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644844958
7,5384623,40,17,8,233497,9.0,194998,38499,Alurin Everdawn,https://img2.finalfantasyxiv.com/f/4ac9be074c30dcf01f776c75375272f6_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644845337
8,2281076,40,17,9,230561,10.0,180915,49646,Mintia Starsong,https://img2.finalfantasyxiv.com/f/689f6f13310afb47af7432431befd8df_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645167905
9,29716609,40,17,10,226942,7.0,206290,20652,Aki Zooki,https://img2.finalfantasyxiv.com/f/db6df8c40c31901878f494f3379f4663_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644898971
10,12543267,40,17,11,210004,11.0,153430,56574,Caeldan Caldoren,https://img2.finalfantasyxiv.com/f/2ed6f9a28b5319c70259fdd80363e3c8_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645094761
11,17063424,40,17,12,191389,12.0,150658,40731,Wanna Oeba,https://img2.finalfantasyxiv.com/f/b1f28604b20daf1644bb112b59b277a2_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645188051
