,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3683905,60,17,1,456632,1.0,365782,90850,V'doyagha Jhamei,https://img2.finalfantasyxiv.com/f/14b500bd085df510f9b005f254d93293_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644979109
1,32839651,60,17,2,366431,2.0,286177,80254,Myua Sacred,https://img2.finalfantasyxiv.com/f/9a2f9012f825ae6c705391405b4f25e4_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644890028
2,22229178,60,17,3,320000,3.0,279278,40722,Sakura Twill,https://img2.finalfantasyxiv.com/f/38a45c3376efff33a5930d7fe304c833_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645175125
3,22412822,60,17,4,301184,4.0,250014,51170,Zazarimu Nanarimu,https://img2.finalfantasyxiv.com/f/06273e2063d5da5e4cea0b1d789d04d1_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644784474
4,5034485,60,17,5,285238,5.0,204960,80278,Karen Turnhed,https://img2.finalfantasyxiv.com/f/73e22fb289afd47f17616205c782a08e_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644864302
5,26594268,60,17,6,216644,10.0,150107,66537,An Tares,https://img2.finalfantasyxiv.com/f/5deff49f36f2236a3f76314914322ba3_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644838011
6,26715519,60,17,7,212018,6.0,170466,41552,Chitar Lipton,https://img2.finalfantasyxiv.com/f/7911bcb5dfcccc1612ceca8e474e1246_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644822452
7,27817593,60,17,8,190731,7.0,165599,25132,X'mia Tia,https://img2.finalfantasyxiv.com/f/557a1105cf60c636882e62aa8207c573_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645121547
8,4416360,60,17,9,175896,8.0,156408,19488,Ava Kreis,https://img2.finalfantasyxiv.com/f/8cea9d4ac04dc642abf0c2ced0af1d5e_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1644634444
9,31212718,60,17,10,165760,12.0,132220,33540,Kakkoii Psyduck,https://img2.finalfantasyxiv.com/f/ffa06474e573fea44004b8ef3227f0e9_ba15a18cd3a8fb567e39053022515eb6fc0_96x96.jpg?1644842605
