,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,17493444,99,12,1,245644,1.0,188541,57103,V'entos Tia,https://img2.finalfantasyxiv.com/f/82f59bda5ba71d26b4d4081a53b729b1_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645130983
1,26550797,99,12,2,200366,2.0,167058,33308,Suphelia Pendragon,https://img2.finalfantasyxiv.com/f/686030eece1141d5d6942092966dcdf0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645134141
2,32445106,99,12,3,127816,5.0,78141,49675,Giuseppina Ramenoodle,https://img2.finalfantasyxiv.com/f/2b5e8e50797af1796dc85d4188228f78_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644789374
3,24840014,99,12,4,115790,4.0,93013,22777,River Kyudo,https://img2.finalfantasyxiv.com/f/3c4c7e2b0b77a232d1ec24f734d765ac_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644960182
4,27968148,99,12,5,114567,8.0,57722,56845,Cahsi Theia,https://img2.finalfantasyxiv.com/f/5875ca1d8c4e1504d82862215b01f669_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645002031
5,6455134,99,12,6,110906,3.0,102027,8879,Jbird Noire,https://img2.finalfantasyxiv.com/f/df4b94b59da43f49a7e0419454f46bf1_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644986045
6,22319237,99,12,7,100803,6.0,77991,22812,Zan'ji Xyhs,https://img2.finalfantasyxiv.com/f/50a96e6b17059d3fe6ccca6ce2e5517b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645066394
7,9130617,99,12,8,82350,7.0,61221,21129,Minatsumi Latempete,https://img2.finalfantasyxiv.com/f/d2a99ff2443a3a41185fb6a253321b52_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644947676
8,2203046,99,12,9,76182,10.0,56430,19752,Wolfie Thundercat,https://img2.finalfantasyxiv.com/f/7877b82d2b53e11f3b7931f187be5a20_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645151256
9,12508082,99,12,10,71080,11.0,54571,16509,Bardulf Bladesworn,https://img2.finalfantasyxiv.com/f/650f47d3d44fdfa131de919868c7ce9f_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644961344
10,30147142,99,12,11,66323,12.0,49579,16744,Love Note,https://img2.finalfantasyxiv.com/f/3a0e2086f146037dd81cbf90eddd25ca_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644879269
11,16924369,99,12,12,64232,9.0,56882,7350,Maester Coltarain,https://img2.finalfantasyxiv.com/f/9c466967893208d9743a7061406b4172_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645183261
12,63126,99,12,13,54723,15.0,32721,22002,Adol Mondegreen,https://img2.finalfantasyxiv.com/f/e3b55c5b6f1a7c45e9370caa37ad5a16_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645050272
13,31997234,99,12,14,52050,76.0,1083,50967,Myin Tleif,https://img2.finalfantasyxiv.com/f/afa082a7f92539521947b43ff3f556bc_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645008162
14,33259607,99,12,15,46510,13.0,42799,3711,Nekias Krichevskoy,https://img2.finalfantasyxiv.com/f/b1ad9b21efdaf8199501272c61d8ce66_ba15a18cd3a8fb567e39053022515eb6fc0_96x96.jpg?1644903523
