,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15389972,33,8,1,188472,1.0,183313,5159,Majin Bladin,https://img2.finalfantasyxiv.com/f/315838a05b36cfbfe1cb67b7a06be454_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645106099
1,16219104,33,8,2,170162,3.0,89067,81095,Sai Erebos,https://img2.finalfantasyxiv.com/f/4118d082c264f6f51c695c27a008af01_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644847746
2,26074372,33,8,3,136932,2.0,114534,22398,Sophie Miret-njer,https://img2.finalfantasyxiv.com/f/3a5cf09fd937447a5a483853ee2dad1c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645041573
3,26906927,33,8,4,63311,5.0,47815,15496,Salika Nabradia,https://img2.finalfantasyxiv.com/f/049e447c32b49460891f194192069e82_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644811042
4,9571904,33,8,5,62541,4.0,62307,234,Haru Nami,https://img2.finalfantasyxiv.com/f/40d250d52e4b525ecbcfc83fe4254d03_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645053003
5,12564602,33,8,6,51858,6.0,45416,6442,Ahtu'ir Jhicda,https://img2.finalfantasyxiv.com/f/fd645a7f61d1ec2be5b642a09463a98b_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645081838
6,31861676,33,8,7,51743,9.0,37797,13946,Ardence Luxuria,https://img2.finalfantasyxiv.com/f/4ab9f5d249944c70ab9b1f08f7e186e2_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644733384
7,26669106,33,8,8,51266,7.0,39037,12229,Amelia Seilune,https://img2.finalfantasyxiv.com/f/54f5af61744ffaacc7587e78e4855f44_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645040703
8,29954925,33,8,9,50019,8.0,38229,11790,Kishibe Rohan,https://img2.finalfantasyxiv.com/f/f7ccfbfef35f418420c4be6f31fa528d_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645179088
9,28215908,33,8,10,41338,11.0,28252,13086,Ryu Noctis,https://img2.finalfantasyxiv.com/f/303b7a13475ad62baed731f04fa51eab_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645166352
10,21823387,33,8,11,32593,36.0,7019,25574,Lami Khatayin,https://img2.finalfantasyxiv.com/f/62aa6e59942879fad6bb7d89a4fd939c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645161712
11,27954505,33,8,12,32313,10.0,32313,0,Agumin Sirana,https://img2.finalfantasyxiv.com/f/9d064db7637c2142963dc2882c99c3ea_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645118489
12,28401967,33,8,13,30425,12.0,27677,2748,Nikki Salvatore,https://img2.finalfantasyxiv.com/f/a1cf7a3020a81c1a9443fdce665af630_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644985015
13,19155900,33,8,14,28939,13.0,27357,1582,Genma Shiranui,https://img2.finalfantasyxiv.com/f/12ddec6b46174224a3e86a83832e823c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644947898
14,28461830,33,8,15,22493,15.0,14909,7584,Midnight Storm,https://img2.finalfantasyxiv.com/f/6809eca2041652692447b4ba8d9a1ca4_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644970838
15,26071438,33,8,16,19785,,0,19785,Billmo Khadgar,https://img2.finalfantasyxiv.com/f/e833940a5c5a0885d33c43557d6c4697_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645185187
16,31854862,33,8,17,19667,14.0,19667,0,Levirose Palemoon,https://img2.finalfantasyxiv.com/f/34b7d6ae481a125a40d998b6c3e41240_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645001423
17,26269117,33,8,18,16387,19.0,11718,4669,Mythical Cat,https://img2.finalfantasyxiv.com/f/dbef84e9224636b1a281636be2272c8c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645044897
18,14103437,33,8,19,15243,16.0,14073,1170,Valedys Chryseis,https://img2.finalfantasyxiv.com/f/5c3bbaf54e71614028a42f164e868f49_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645032084
19,26740966,33,8,20,13508,34.0,7142,6366,Magnus Dreyar,https://img2.finalfantasyxiv.com/f/9e6efd2b5103e107f52ca5b5e1f18f35_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645087057
20,31750852,33,8,21,13500,17.0,13500,0,Justyn Ren,https://img2.finalfantasyxiv.com/f/f9b09da68acd6afd698bc7d300f18e77_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644851654
21,3354467,33,8,22,12494,80.0,2310,10184,Kuroka Toujou,https://img2.finalfantasyxiv.com/f/1bbe3a30bad96df33c8e8daa16fa4a54_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644711362
22,26067849,33,8,23,12190,18.0,12190,0,Haru Shiozumi,https://img2.finalfantasyxiv.com/f/09d78bd0823813f0cf418fa780e6d3e6_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645130752
23,30558475,33,8,24,11486,20.0,9526,1960,Solohunter Dk,https://img2.finalfantasyxiv.com/f/2e42308183f2d5a34965647fa537f831_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645156037
24,29865743,33,8,25,11024,21.0,9224,1800,Neele Maame,https://img2.finalfantasyxiv.com/f/1c8d6c048f008e0d15e398640d69e434_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645156510
25,28749271,33,8,26,10269,23.0,9070,1199,N'enaya Rhel,https://img2.finalfantasyxiv.com/f/1a49f0ec331d5d7b46b0c02c669ae0ff_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645007714
26,27831473,33,8,27,9472,30.0,7531,1941,Shion Tomoe,https://img2.finalfantasyxiv.com/f/c5ff1de7d1f89831067d3432de636263_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644804841
27,26426454,33,8,28,9185,22.0,9185,0,Hikari Mitsuki,https://img2.finalfantasyxiv.com/f/184867c456bec4e8f792071bfe42e06b_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645110946
28,31447022,33,8,29,8971,24.0,8971,0,Celekh Tahm,https://img2.finalfantasyxiv.com/f/c163e2439a2091da0dbded2bbce1326f_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645093923
29,9818555,33,8,30,8615,25.0,8615,0,X'aru Noxium,https://img2.finalfantasyxiv.com/f/5d2558f4af541be369307533c831b561_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644923200
30,31526063,33,8,31,8131,26.0,8131,0,Walder Phasmosis,https://img2.finalfantasyxiv.com/f/13a9dcb9dd0e7a1500067e5e1ec639f4_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644915657
31,6868917,33,8,32,8100,27.0,8100,0,Gladium Lacus,https://img2.finalfantasyxiv.com/f/88f0180724b4516e31ca88f64786f5ff_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644982146
32,26448561,33,8,33,7826,28.0,7826,0,Lux Takahashi,https://img2.finalfantasyxiv.com/f/a9ded259b12a885d246dbe75df1d085e_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1616215058
33,25127607,33,8,34,7800,32.0,7290,510,Taihou Tsukiko,https://img2.finalfantasyxiv.com/f/d471abc3058520f37bfdaa9ab44948ed_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644952151
34,9090848,33,8,35,7773,88.0,2133,5640,Navu'a Naorij,https://img2.finalfantasyxiv.com/f/6b87c527bc1cf295f2d0669aa6c1231a_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644825366
35,24773022,33,8,36,7645,42.0,5916,1729,Vydra Nefari,https://img2.finalfantasyxiv.com/f/14f38e662146e25d089daf7a4b70fe84_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645146233
36,22958150,33,8,37,7630,43.0,5621,2009,Nemelys Prodigium,https://img2.finalfantasyxiv.com/f/df94796d7580ab644bdcdeff8429cd38_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645143275
37,26195013,33,8,38,7569,29.0,7569,0,Sven Raliven,https://img2.finalfantasyxiv.com/f/8febaf00843de498c0d0a79a2f4e4252_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645034622
38,8673235,33,8,39,7451,31.0,7451,0,Hexia Leviathan,https://img2.finalfantasyxiv.com/f/ddddbb7a41657f8de40f84527589274b_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645109345
39,15533922,33,8,40,7284,33.0,7284,0,Mirai Shadders,https://img2.finalfantasyxiv.com/f/032d2a3519d0d505de92174cdd6d5506_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645164209
40,26791878,33,8,41,7110,35.0,7110,0,Juba Sa,https://img2.finalfantasyxiv.com/f/83185cecde5b182b626bf557b6dc8343_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645063951
41,26171774,33,8,42,6908,37.0,6908,0,Cornelius Cross,https://img2.finalfantasyxiv.com/f/9663b0e160ec2eb51eabd949ceb4086a_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644977944
42,17961685,33,8,43,6840,38.0,6840,0,Keiji Kitsune,https://img2.finalfantasyxiv.com/f/66e6ac04fa15393435219b61b3b494b6_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644976797
43,28323121,33,8,44,6534,50.0,4437,2097,Cait Sith,https://img2.finalfantasyxiv.com/f/0e459f5889d35d8433a3b6ad10830205_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645056554
44,11484715,33,8,45,6382,39.0,6382,0,Legy Diaz,https://img2.finalfantasyxiv.com/f/2dbe5628959ee093a8d02b0d67018ab1_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645149840
