,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23393680,77,16,1,412698,1.0,329446,83252,Silas Ironmane,https://img2.finalfantasyxiv.com/f/86fb414076aec3fecfb2dadfe50cb462_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645047837
1,20982331,77,16,2,346734,2.0,280929,65805,Magnolia Ymir,https://img2.finalfantasyxiv.com/f/52ee5d1462b6084a1b474022c10d34bb_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645124781
2,18382095,77,16,3,332759,3.0,269111,63648,Kilron Raiyu,https://img2.finalfantasyxiv.com/f/f0e6af1e47fba66ea2362c53854f9c5f_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645095949
3,29218131,77,16,4,328240,4.0,268125,60115,Alistair Liell,https://img2.finalfantasyxiv.com/f/4366ed0558be9537b9bcec76261ed441_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645199938
4,32988088,77,16,5,274875,5.0,207069,67806,Vavazu Vazu,https://img2.finalfantasyxiv.com/f/879bdb3313c2e1861a1c7c70d862ec0e_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644874321
5,24358514,77,16,6,233926,7.0,191702,42224,M'rhene Tia,https://img2.finalfantasyxiv.com/f/eabd87b316069acf524b6168f264a5d1_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645071735
6,21902698,77,16,7,232781,6.0,192710,40071,Elysia Silver,https://img2.finalfantasyxiv.com/f/2cfd21efaad20cb092a1f01bcc96c795_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644606129
7,17254258,77,16,8,230834,9.0,159457,71377,Ben Linus,https://img2.finalfantasyxiv.com/f/1d5bc33165b4dda73f7484325efdc40f_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645127882
8,31714893,77,16,9,208121,11.0,155199,52922,Marisa Lacerta,https://img2.finalfantasyxiv.com/f/7adf393f4193927bea0e692fb5a36a82_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644920864
9,25572917,77,16,10,194296,10.0,156638,37658,Azuki Ciel,https://img2.finalfantasyxiv.com/f/bdb9316bc34fcf95a9bd88a9b0f2eae3_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644786251
