,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1347894,94,11,1,500198,1.0,430370,69828,Shu Rain,https://img2.finalfantasyxiv.com/f/f001f9061d6e836e2f67fbf611e2b438_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644800819
1,30370894,94,11,2,406080,2.0,346218,59862,Bb Boch,https://img2.finalfantasyxiv.com/f/fc3519c8b2a9623576f3022ceca7a156_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644806248
2,11423396,94,11,3,347452,3.0,276842,70610,Nico Nanase,https://img2.finalfantasyxiv.com/f/9b388f5dae048af84b2b9a3a91cb611e_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644611025
3,4158096,94,11,4,331753,4.0,273699,58054,Chiyo Asakura,https://img2.finalfantasyxiv.com/f/d7465aa4cc00a05ea5a3173ea2cb2330_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645196197
4,17987798,94,11,5,280453,5.0,230109,50344,Nuxx Schnauzer,https://img2.finalfantasyxiv.com/f/9c1aeced067a26ce33cb08bc19668832_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645071964
5,727157,94,11,6,245849,6.0,218452,27397,Selenite Loden,https://img2.finalfantasyxiv.com/f/37d100d5624ef79a004c3882f6cfd05d_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645083444
6,756059,94,11,7,192513,7.0,160983,31530,Lion Blue,https://img2.finalfantasyxiv.com/f/867215dabfee0a8b6b3d5d1538f7dff4_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645066944
7,81632,94,11,8,179516,8.0,155152,24364,Mina Harker,https://img2.finalfantasyxiv.com/f/ba2b94b631dc860df88ae0864012c5eb_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645112222
8,3396871,94,11,9,143983,10.0,100594,43389,Rinary Lune,https://img2.finalfantasyxiv.com/f/da019b9ff20845c66f94e33f4797813c_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645001540
9,9730488,94,11,10,134919,9.0,134919,0,Roger Ingram,https://img2.finalfantasyxiv.com/f/81e77508b60bc5013d08a7d85e8cbdf1_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645104898
10,12133599,94,11,11,119329,11.0,78067,41262,Snow Lyehga,https://img2.finalfantasyxiv.com/f/1c1f5d258a93db8e9d1595284381db06_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645164685
11,21780515,94,11,12,94126,12.0,75324,18802,Charlotte Strawberry,https://img2.finalfantasyxiv.com/f/5e8845bc210dab587d3b9eb47ea4ad31_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645148584
12,17488015,94,11,13,81636,13.0,55785,25851,Hiyoko Nabe,https://img2.finalfantasyxiv.com/f/9cdfc81ddcd2bdcb03535d839b19d9b0_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644971415
13,1168293,94,11,14,70532,16.0,30840,39692,Fiore Competizione,https://img2.finalfantasyxiv.com/f/82feeee9db592a09538427ab261e4373_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644981179
14,8908471,94,11,15,47155,15.0,34067,13088,Fran Eruyt,https://img2.finalfantasyxiv.com/f/b6a16f362761b3b31c95adf5b9ef7c54_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644844451
15,1365430,94,11,16,39701,14.0,35263,4438,Zai Zen,https://img2.finalfantasyxiv.com/f/05a04abf222cdbfbf88c460ef84d5929_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644992032
16,25940144,94,11,17,36278,22.0,21911,14367,Ichini Ono,https://img2.finalfantasyxiv.com/f/8f1712e107ad94947f5f612eec2a9888_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645072715
17,755560,94,11,18,35325,21.0,22599,12726,Kalte Sonne,https://img2.finalfantasyxiv.com/f/cb45a27a5b68f6afe1ab1a3c0f04a857_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644951103
18,19146694,94,11,19,32658,20.0,24533,8125,Stevia Fortnole,https://img2.finalfantasyxiv.com/f/081f727018d1b47b413f66909020443d_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644826482
19,19301521,94,11,20,29528,17.0,29528,0,Ru Acc,https://img2.finalfantasyxiv.com/f/2e25bdbe2caafcb384edc3563458eaea_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644900181
20,18955973,94,11,21,29236,27.0,16045,13191,Eresh Baskerville,https://img2.finalfantasyxiv.com/f/6d4df548c99eb95ecac7793433a98798_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644831276
21,22393254,94,11,22,28486,18.0,28486,0,Theo Shire,https://img2.finalfantasyxiv.com/f/fb941e3be575085ee060759563259af4_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645116522
22,2317691,94,11,23,25815,19.0,25815,0,Iluna Fairthor,https://img2.finalfantasyxiv.com/f/222c5505b484f207bd6f1bd0712d8a25_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644813921
23,26778181,94,11,24,24819,24.0,21073,3746,Miya Ke,https://img2.finalfantasyxiv.com/f/03742060e9866d7f965b7a03b1f55115_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645065043
24,1648046,94,11,25,24408,23.0,21649,2759,Lemon Drop,https://img2.finalfantasyxiv.com/f/530421c7769029242d1d39a3e54d5143_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645122080
25,17831167,94,11,26,22891,26.0,18282,4609,Bundner Fleisch,https://img2.finalfantasyxiv.com/f/6e29df8e275536f5f6040e46d408c6e5_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644803329
26,3165760,94,11,27,19628,32.0,14563,5065,Emerio Touya,https://img2.finalfantasyxiv.com/f/90c96876efab851aa11328d9e52b9b9b_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645183061
27,3583973,94,11,28,19337,29.0,15617,3720,Masamune Dokuganryu,https://img2.finalfantasyxiv.com/f/00819d9d75ec38ccff888a0dfe3948b1_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644988741
28,19558168,94,11,29,18799,25.0,18799,0,Kishi W-squall,https://img2.finalfantasyxiv.com/f/196bbc4137b88f20966cd619fa01f679_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645033052
29,3686742,94,11,30,17085,28.0,15707,1378,Till Freedom,https://img2.finalfantasyxiv.com/f/d065fdc40326c273f232c623fa7c1f84_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1644915766
30,4864793,94,11,31,16684,30.0,15008,1676,Gekko Aqua,https://img2.finalfantasyxiv.com/f/1f3011bb42f36737c5ac0fd6d7cd3278_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645103181
31,26698073,94,11,32,15566,36.0,12567,2999,Ea Nagi,https://img2.finalfantasyxiv.com/f/319f62660dbfae45c15019f177e2549a_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645202146
32,780012,94,11,33,15157,59.0,6184,8973,Taipon Titania,https://img2.finalfantasyxiv.com/f/dd0527f6ffb35d41d18f64a01a48dc5e_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645014805
33,29174892,94,11,34,14884,33.0,13026,1858,Bighat Logan,https://img2.finalfantasyxiv.com/f/1d1430298e8ceae0dc03d6fd2dc5d0f4_8f82f937943b6baf4c565020d5eba0ccfc0_96x96.jpg?1645122143
