,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,16150772,82,16,1,479508,1.0,420445,59063,Theo Sepia,https://img2.finalfantasyxiv.com/f/7ddbecbd571add45f6d6c70911d5f2aa_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644797940
1,21427046,82,16,2,409035,2.0,346632,62403,Piero Soltera,https://img2.finalfantasyxiv.com/f/0ba76271a75835d84ad4a3583ba96b53_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645110069
2,28280679,82,16,3,398013,4.0,315281,82732,Leucocoryne Caravelle,https://img2.finalfantasyxiv.com/f/3864bccd6f3b22146d30276c3569214d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644646474
3,13741094,82,16,4,381964,5.0,311331,70633,Ignis Vanquish,https://img2.finalfantasyxiv.com/f/08932233c0f7517b1baec6d980d86aeb_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645094521
4,32632187,82,16,5,370435,7.0,298724,71711,Yuzu Hiiragi,https://img2.finalfantasyxiv.com/f/7d878b06b3170e550ce8e6df8a1f8810_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644855988
5,1601085,82,16,6,355288,3.0,327145,28143,Laq Rag,https://img2.finalfantasyxiv.com/f/ad4d4d8e5f7bef71f0c862febdf28281_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645137617
6,15833168,82,16,7,332760,6.0,302455,30305,Hajime Ninomae,https://img2.finalfantasyxiv.com/f/c3982cb3e83264fd5a51656e13e09689_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645054969
7,27323114,82,16,8,300350,9.0,241758,58592,Pipira Pira,https://img2.finalfantasyxiv.com/f/e03e7910e87cbaa86960e4901037e863_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645200622
8,29874786,82,16,9,276324,8.0,244743,31581,Roses Dream,https://img2.finalfantasyxiv.com/f/a1faeae3ef18331a33aa3182fa09946b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645131120
9,9711176,82,16,10,271933,11.0,216381,55552,Rumaro Cat,https://img2.finalfantasyxiv.com/f/26d495a90c1e9900b83a8f9520582a64_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645077356
10,2779102,82,16,11,259264,10.0,222324,36940,Ring Trapa,https://img2.finalfantasyxiv.com/f/905f077a5594d6273731346544027350_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645155691
