,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,31241866,56,11,1,702688,1.0,584624,118064,Delilah Morrow,https://img2.finalfantasyxiv.com/f/8aaaddcf4e8338920429feefb2cf64d0_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645026670
1,9873932,56,11,2,322930,2.0,303742,19188,Jeidan Mhugen,https://img2.finalfantasyxiv.com/f/efa88b6bac3672c7b2ce074ac359cdcf_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645106537
2,10001733,56,11,3,294040,3.0,246487,47553,Eren Azelas,https://img2.finalfantasyxiv.com/f/2726784eb898d7590dca2e3f33341a17_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645172666
3,27659670,56,11,4,256462,5.0,183331,73131,Ez'zi Zalkia,https://img2.finalfantasyxiv.com/f/2cac36063a4ffc0b9b2dd4b912710ecc_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645117386
4,13217759,56,11,5,219317,4.0,185432,33885,Roxas Tia,https://img2.finalfantasyxiv.com/f/795e2af9ff5050430fbfa6f6caca2863_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645129475
5,27431378,56,11,6,195218,6.0,180826,14392,Qardhia Rynellia,https://img2.finalfantasyxiv.com/f/8d83a639f9410aa6caf1a8f3d20d3000_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645139654
6,24123855,56,11,7,194821,13.0,73085,121736,Artiglio Zalkia,https://img2.finalfantasyxiv.com/f/98cbe9005f9be395f1565a9b2ef658dc_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645133428
7,24099952,56,11,8,172701,9.0,119379,53322,Freya Lionheart,https://img2.finalfantasyxiv.com/f/678bf36aaec8b1e738dc4d8f3dc4f832_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645025783
8,29081916,56,11,9,167260,7.0,149508,17752,Swifty Jiukun,https://img2.finalfantasyxiv.com/f/e0d265f33d99c040def0ca162dec8fc1_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1644886364
9,15511589,56,11,10,141306,8.0,141306,0,Maija Nurmi,https://img2.finalfantasyxiv.com/f/329fe6d7575b84262229b546e7b00e29_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645066959
10,9444148,56,11,11,110358,11.0,86767,23591,Lhianna Alkarien,https://img2.finalfantasyxiv.com/f/1406283208bd6b9e28baa560e3d472bd_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645071876
11,30227801,56,11,12,106824,10.0,106824,0,Lucina Zero,https://img2.finalfantasyxiv.com/f/015b56bd3b9d4398c05f2ac698507a0e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645197465
12,23623446,56,11,13,95928,12.0,83571,12357,Kuon Thunder,https://img2.finalfantasyxiv.com/f/27dd466f954480513f972feb1ff3e037_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645165733
