,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30469149,77,15,1,241315,1.0,217850,23465,V'ivi Valentine,https://img2.finalfantasyxiv.com/f/8472194854c1d89380678b353e33e95d_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645065383
1,25892993,77,15,2,144877,2.0,110893,33984,Sigurd Lionheart,https://img2.finalfantasyxiv.com/f/e379b45affe9305de76eaf9d1a2f1ee6_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644939448
2,20624777,77,15,3,136871,3.0,100688,36183,Rem Kiya,https://img2.finalfantasyxiv.com/f/e0e4e54d484960ab1e7909010256bc44_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645117037
3,15486701,77,15,4,116153,4.0,91188,24965,Cestina Bijoux,https://img2.finalfantasyxiv.com/f/d2a6b4accaa39d9403e7de1c509ce1a8_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645202020
4,29548501,77,15,5,99898,5.0,78298,21600,Shivvix Kagero,https://img2.finalfantasyxiv.com/f/3b9407cdf8586dcd120e27f9d0e081a7_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644948360
5,30686862,77,15,6,77134,6.0,71119,6015,Hot Chip,https://img2.finalfantasyxiv.com/f/3e35236f744230f734b8b27f9d743aed_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644936399
6,24369422,77,15,7,61903,7.0,47479,14424,Mango Juice,https://img2.finalfantasyxiv.com/f/8abefcb2dd61b7d4223c7e166493e976_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645126663
7,11279931,77,15,8,53539,9.0,40149,13390,Trixielle Merveilleux,https://img2.finalfantasyxiv.com/f/57d97cb710390b5fccb0d8b5a9a45a7d_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645162788
8,3570396,77,15,9,49894,8.0,43583,6311,Tura'un Himaa,https://img2.finalfantasyxiv.com/f/d311a6aaa727e7bb58580f3bb33bbfe7_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645142390
9,3319506,77,15,10,47123,10.0,34326,12797,Oren Galbadain,https://img2.finalfantasyxiv.com/f/d827bee66da911c00fb8ab134ac34719_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644922021
10,18231330,77,15,11,41111,14.0,29877,11234,Shishina Shina,https://img2.finalfantasyxiv.com/f/4c8546302cd95ff93acbdeaf2886495c_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645045139
11,24230428,77,15,12,40748,13.0,30174,10574,Lavanya Makara,https://img2.finalfantasyxiv.com/f/8b79db3868aafac45e210a71c515e01f_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645144936
12,15965407,77,15,13,35245,,0,35245,Celica Astraea,https://img2.finalfantasyxiv.com/f/e01da80607501b8a6c0dff589aa90744_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645055285
13,19414366,77,15,14,34047,11.0,34047,0,Ivory Hare,https://img2.finalfantasyxiv.com/f/238ddf0d1d96d524e5186e6f3e3f5383_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645117415
14,22562501,77,15,15,33161,12.0,33161,0,S'loria T'mrel,https://img2.finalfantasyxiv.com/f/b916e2d12a4dfa6cd86b9d51342ab040_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644962277
15,13063479,77,15,16,32952,16.0,19530,13422,Kaori Rokuyari,https://img2.finalfantasyxiv.com/f/04b80516aba82072ea89c61dc22ea3d2_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645110768
16,29187714,77,15,17,32141,19.0,14845,17296,Lemon Sorbet,https://img2.finalfantasyxiv.com/f/5fdda5419a9b36805196c297b6be1d5e_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645149551
17,26406685,77,15,18,22421,17.0,16821,5600,Maverick Wolf,https://img2.finalfantasyxiv.com/f/47a9156de6a9b25d4ee25d6c5ca08175_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644964875
18,26684924,77,15,19,20790,15.0,20790,0,Cirina Valeris,https://img2.finalfantasyxiv.com/f/cedea2ebecc6a6a037a7c150a1d0959e_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644873003
19,29516488,77,15,20,16816,22.0,11855,4961,Zero Escape,https://img2.finalfantasyxiv.com/f/67a3b6585878e79b6e8e40cf73e6ed57_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645090316
20,29281895,77,15,21,16399,18.0,16399,0,Bork Ravenpaw,https://img2.finalfantasyxiv.com/f/bda0aa971838b2b03292a4adf4b1dcc0_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644889229
21,13231992,77,15,22,13003,21.0,12493,510,Zan T',https://img2.finalfantasyxiv.com/f/4d6131fafbf6fcc2ce1d56f96e654e78_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645196043
22,25745984,77,15,23,12777,20.0,12777,0,Foxgirl Gundam-pilot,https://img2.finalfantasyxiv.com/f/747b71355a2a8d808d9d6d0e2ce3d15f_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645168247
23,9949989,77,15,24,12300,24.0,10380,1920,Tahla Amariyo,https://img2.finalfantasyxiv.com/f/741cd37619081b6a742dd0b29ee06385_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645182433
24,21482450,77,15,25,12179,33.0,5068,7111,Jairee Frog,https://img2.finalfantasyxiv.com/f/c877b43d5860f5b14e33a58e628dd5ae_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644640216
25,4003701,77,15,26,11066,29.0,7624,3442,Twenty Goodmen,https://img2.finalfantasyxiv.com/f/117280d2c41e0d4d8c647177c6bd233b_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645072241
26,14052975,77,15,27,10450,23.0,10450,0,Qestra Obelitz,https://img2.finalfantasyxiv.com/f/a21c464e0233531a23640ebfeffc6ef4_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1645049187
