,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27857598,41,8,1,258070,1.0,205567,52503,R'hel Tayuun,https://img2.finalfantasyxiv.com/f/31586e53d36aba2a19f8551812ed8b71_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644720349
1,30612884,41,8,2,201842,3.0,146552,55290,Smol Popoto,https://img2.finalfantasyxiv.com/f/19c3328894ded4c481d26a546e423a21_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644643800
2,7941291,41,8,3,191257,8.0,96525,94732,Mana Zolwe,https://img2.finalfantasyxiv.com/f/26f9b5e375c40ce6b066510522f03801_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645065370
3,30258419,41,8,4,188265,2.0,155823,32442,Izumi Satou,https://img2.finalfantasyxiv.com/f/91eb25e2244328fc969ac6820460d5fe_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644791270
4,12404631,41,8,5,184734,5.0,117321,67413,Wren Amarth,https://img2.finalfantasyxiv.com/f/cf0c5ca871dd1c8fc954043751c7666b_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644801983
5,23140789,41,8,6,151850,7.0,113692,38158,Selique Vellatora,https://img2.finalfantasyxiv.com/f/d693dd9507a35726adad3241745508a9_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645127658
6,33183521,41,8,7,146646,4.0,121157,25489,Lach Krimax,https://img2.finalfantasyxiv.com/f/a5c41063f9193ce7c7515709ad5eeb47_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644767621
7,24237741,41,8,8,125888,11.0,60656,65232,Kiali Asa,https://img2.finalfantasyxiv.com/f/466c44c4e43514dbef09434535d55952_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644994452
8,14174054,41,8,9,118862,12.0,60449,58413,Millhi Biscotti,https://img2.finalfantasyxiv.com/f/baf852ba85df9e607be0e9f84e1c805f_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645120623
9,29755961,41,8,10,115993,6.0,115993,0,Girlboss Gaslighter,https://img2.finalfantasyxiv.com/f/c6d04904384a74410ae73183f0ae9c87_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645027857
10,30846795,41,8,11,109574,9.0,88041,21533,Scaly Buttmuscle,https://img2.finalfantasyxiv.com/f/11fa9e83ef265cbe699174d1cc9b7b53_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645105087
11,18167020,41,8,12,98966,10.0,64518,34448,Ryoma Hoshi,https://img2.finalfantasyxiv.com/f/e98beb93b154247b8884947fbef220fb_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645067131
12,28321091,41,8,13,86919,16.0,32525,54394,Pine Apple,https://img2.finalfantasyxiv.com/f/9b70d713ddf1f9ea0c7c0d4948022950_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645161072
13,23447145,41,8,14,82619,13.0,59695,22924,Aldyn Raywood,https://img2.finalfantasyxiv.com/f/ea8e7b57e0a48a0ecf8961709a77ad3e_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644870288
14,12253413,41,8,15,62663,14.0,47120,15543,Kestlona Waebnstyrwyn,https://img2.finalfantasyxiv.com/f/5493476425bee4cf1a185384b66e518e_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644982495
