,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21120231,90,11,1,703644,1.0,703644,0,Alto Rial,https://img2.finalfantasyxiv.com/f/1fdb99af7829ad871c213f5ef6906668_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644911341
1,23136526,90,11,2,492192,2.0,460242,31950,Sere Spica,https://img2.finalfantasyxiv.com/f/bab970f80539037a48f9dd73689d167a_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644959584
2,498445,90,11,3,412740,3.0,361110,51630,Uchi Inai,https://img2.finalfantasyxiv.com/f/9d32a8aea5c45f64360a90bbb18d97b0_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645000528
3,19924564,90,11,4,350412,4.0,324139,26273,Yobaba Yoba,https://img2.finalfantasyxiv.com/f/0aaf395d19c23c0ec9e15922a477aace_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645171962
4,23696046,90,11,5,291907,5.0,247124,44783,Baileys Milk,https://img2.finalfantasyxiv.com/f/589cf76c417a9733ab8dcdd73a28c221_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644604124
5,25206224,90,11,6,252950,6.0,222143,30807,Re-rin Fulin,https://img2.finalfantasyxiv.com/f/8b21d2d600d5f551254ae270e847031e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645119521
6,14129861,90,11,7,165582,8.0,146470,19112,Yoru Stark,https://img2.finalfantasyxiv.com/f/4f864f91ace577765fd8e25e2e580f4c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645003826
7,570160,90,11,8,161891,7.0,161891,0,Blue Falcon,https://img2.finalfantasyxiv.com/f/b14e60204a420396475e4d2187f236a3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645199982
8,21160524,90,11,9,152814,9.0,120187,32627,Yaka Yumemi,https://img2.finalfantasyxiv.com/f/19340a98078a59c06def9984898c1b15_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644799177
9,23383313,90,11,10,145348,10.0,112929,32419,Ninne Goudernoux,https://img2.finalfantasyxiv.com/f/a3b959faf95a456386e0c3dd13357984_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645175824
10,3749,90,11,11,138836,12.0,99173,39663,Fon Kahiros,https://img2.finalfantasyxiv.com/f/6afd8e2f9a7f5ad6486f7ca6e7065e02_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644977373
11,546795,90,11,12,124156,13.0,74824,49332,Ryo Scarlet,https://img2.finalfantasyxiv.com/f/4663279e6eeef4110db20961891acc93_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645155731
12,15088083,90,11,13,123530,11.0,106754,16776,Kero Besu,https://img2.finalfantasyxiv.com/f/b55fee91e13084351909ff5211dcf012_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644836939
13,23341770,90,11,14,92419,14.0,67520,24899,Noah Kisaragi,https://img2.finalfantasyxiv.com/f/afabdc8bf34b507c8aef3734d90f6bd2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645015966
14,25021976,90,11,15,74727,15.0,56283,18444,Miyabi Akira,https://img2.finalfantasyxiv.com/f/4b2400b085f5315d711dd920a460e2a2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645172167
15,2574131,90,11,16,68993,,0,68993,Siman Beta,https://img2.finalfantasyxiv.com/f/55cc94d2d5c13280a705906abeb147aa_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645185494
16,703759,90,11,17,54248,18.0,43226,11022,Kowloon Xu,https://img2.finalfantasyxiv.com/f/e8eb81c9f00baef1c03bd3566a5b6982_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645146755
17,32747560,90,11,18,51341,16.0,47499,3842,Suzu Kaze,https://img2.finalfantasyxiv.com/f/e19b1e8eaf80ab1e49e661732ad91bcf_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644670513
18,28836498,90,11,19,47817,17.0,43320,4497,Vinde Miatrix,https://img2.finalfantasyxiv.com/f/316cca191c176a7415c30c69b09fbda8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644896793
19,19605200,90,11,20,34634,22.0,22282,12352,Vincenz Gleissner,https://img2.finalfantasyxiv.com/f/8b999322eefce8cbf312cd58ac83047c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644869151
20,7683788,90,11,21,30330,19.0,27330,3000,Felty Elicshell,https://img2.finalfantasyxiv.com/f/4caa7c21ecc33cbb2c12d56077c1eb3e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644998601
21,25156071,90,11,22,26004,20.0,26004,0,Cherry Ink,https://img2.finalfantasyxiv.com/f/d6343075a59c5ca28b212ab72a125928_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645141236
22,25280263,90,11,23,25290,25.0,18379,6911,Kevin Levski,https://img2.finalfantasyxiv.com/f/984bc07800d6d95675289c5219bd671c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644847539
23,4818611,90,11,24,22698,23.0,21198,1500,Final Granz,https://img2.finalfantasyxiv.com/f/63e4b21508fc8f4e53d07bf9e8ea93c4_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645042915
24,28333232,90,11,25,22393,24.0,20984,1409,Lulu Wei,https://img2.finalfantasyxiv.com/f/2d0551518b38823565eb934e2b5955ce_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645116093
25,557096,90,11,26,22380,21.0,22380,0,Mimi Kazeno,https://img2.finalfantasyxiv.com/f/15e41482ff7e9ed791e270cf23431d81_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645061313
26,23852989,90,11,27,18688,39.0,9240,9448,Hykka Ich,https://img2.finalfantasyxiv.com/f/c8e3e4bae154972aa150bea393fbd5e7_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644851496
27,30436381,90,11,28,18242,66.0,4827,13415,Koma Eiki,https://img2.finalfantasyxiv.com/f/a0d0d969efacdba49c148a099da1d436_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644904789
28,26205127,90,11,29,17400,26.0,17400,0,Mugua Aduulafu,https://img2.finalfantasyxiv.com/f/cf0edeae581619c2df9045f3d3733395_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645087920
29,29429222,90,11,30,15767,35.0,10372,5395,Tuki Euclase,https://img2.finalfantasyxiv.com/f/ed215410a7ee11fcea5c49829a6cd5d7_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644800923
30,19879191,90,11,31,15281,27.0,15281,0,Tempt Toy,https://img2.finalfantasyxiv.com/f/8084a09abfb3c274252c6b098258db16_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645019884
31,19830944,90,11,32,14611,36.0,10280,4331,Shun Nai,https://img2.finalfantasyxiv.com/f/36497361d01749d78c9d39d2191d1d80_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645005329
32,29789991,90,11,33,13947,28.0,13947,0,Miilk Shake,https://img2.finalfantasyxiv.com/f/d7d02e9bbee4dcd7231927398fcd4ac4_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645167134
33,29772393,90,11,34,13306,29.0,13306,0,Coriander Lion,https://img2.finalfantasyxiv.com/f/74e43acb57edf2810b16c4ed8b6b41fb_32d8c9c7cd5f62d62da2d31b6750a680fc0_96x96.jpg?1645200754
34,22373769,90,11,35,13209,30.0,13209,0,Yuuri Yutopia,https://img2.finalfantasyxiv.com/f/798157ee53625ce5d88c6faa3737e42d_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645005000
35,13811665,90,11,36,13177,31.0,13177,0,Free Elin,https://img2.finalfantasyxiv.com/f/493662d4889c9dfa55b84c5a146dcba3_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645184378
36,4221996,90,11,37,12147,32.0,12147,0,Lauren Una,https://img2.finalfantasyxiv.com/f/cee23a13838cd4f60e000c265f1994b4_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645108140
37,23250844,90,11,38,11400,33.0,11400,0,Moru Tina,https://img2.finalfantasyxiv.com/f/ebdeb351221a4546cf774ee289b9aed8_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644962658
38,31694781,90,11,39,10897,34.0,10897,0,Belu Ga,https://img2.finalfantasyxiv.com/f/9744f72e4cd5c42e599330cac0abb829_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644624884
