,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23945395,23,12,1,666809,2.0,523599,143210,Chikage Vileblood,https://img2.finalfantasyxiv.com/f/7fa9b330b8a78259bc6ff539c559b819_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645127933
1,12891750,23,12,2,645934,1.0,549928,96006,Bianka Ariina,https://img2.finalfantasyxiv.com/f/3e80ce5f91918b52002129cf0906302e_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645085344
2,8435620,23,12,3,399999,7.0,200000,199999,Warabin Asura,https://img2.finalfantasyxiv.com/f/85bd8cea2ce5b67bc78129a890315a94_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644952922
3,14814380,23,12,4,326456,3.0,276917,49539,Yuuki Hoshino,https://img2.finalfantasyxiv.com/f/2e9bfec6c72e94685b9cb8d9473f3708_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645108456
4,18927019,23,12,5,301559,9.0,176442,125117,Theo Hartwig,https://img2.finalfantasyxiv.com/f/2f2ce5fac57c38215d30c022d43abea8_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645100969
5,23034258,23,12,6,270174,12.0,125321,144853,Sayo Kujo,https://img2.finalfantasyxiv.com/f/071f78e3ac1700bbd20829f76113d892_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645042390
6,24222575,23,12,7,267209,4.0,226607,40602,Nemophila Hare,https://img2.finalfantasyxiv.com/f/afb7434bfc3ddeddd32b1a210a6737d8_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644959273
7,7771910,23,12,8,243816,6.0,204040,39776,Kesera Auldnoir,https://img2.finalfantasyxiv.com/f/1391239ddd8dd3714779d7032735e3e5_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644953143
8,9558129,23,12,9,240199,5.0,212612,27587,Yudetamago Han'juku,https://img2.finalfantasyxiv.com/f/fa283bad571edf42ca3e352e7c9a6975_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645194385
9,11621239,23,12,10,192537,14.0,115942,76595,Lina Sylphy,https://img2.finalfantasyxiv.com/f/302fd28944730bb618529cfeec945929_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644995871
10,29735517,23,12,11,190077,8.0,178054,12023,Szzsq Nirvana,https://img2.finalfantasyxiv.com/f/5772713a940d9038a6b47350becff0fd_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645023565
11,4502345,23,12,12,169271,11.0,126129,43142,Kouro Gin,https://img2.finalfantasyxiv.com/f/45d4fd36ab03dfb66747213050515596_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644774840
12,30498003,23,12,13,161753,13.0,117313,44440,Chivikame Mint,https://img2.finalfantasyxiv.com/f/099ce86f33598a1ee40ebd44e6e0a3b7_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644729142
13,28073793,23,12,14,137107,10.0,137107,0,Umi Sakana,https://img2.finalfantasyxiv.com/f/74ad5876390191e7ee91e8b112b673f7_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645198788
14,20170382,23,12,15,123378,15.0,113445,9933,Purune Pia,https://img2.finalfantasyxiv.com/f/4902018e242a46456abf715747741047_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645095662
15,26933497,23,12,16,112346,16.0,101009,11337,Platus Laguna,https://img2.finalfantasyxiv.com/f/95db9dcc446075435ede1438b1675e86_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645030891
16,12173590,23,12,17,87326,18.0,70370,16956,Bardock Toshin,https://img2.finalfantasyxiv.com/f/720719732251fdefbd3ccbb96ae25a07_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644951746
17,28620725,23,12,18,75981,17.0,73326,2655,Rie Malu,https://img2.finalfantasyxiv.com/f/1206a56f76ca9ffba74469202ef2a008_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644780671
18,28351829,23,12,19,60335,19.0,53398,6937,Raraa Evans,https://img2.finalfantasyxiv.com/f/13902be3666bde9bcbbb1b7dc7d2cd24_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645118706
19,17880487,23,12,20,51685,20.0,47736,3949,Seyon Mille,https://img2.finalfantasyxiv.com/f/971196083f9ecda5948b790de1804f4b_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645146571
20,4088527,23,12,21,41473,28.0,22838,18635,Spaco Reno,https://img2.finalfantasyxiv.com/f/20c0e8773c97a458501ea7118abd60d0_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645031754
21,29101992,23,12,22,34795,25.0,26665,8130,Kinako Botti,https://img2.finalfantasyxiv.com/f/a1507d6cb144613014594354242e52ea_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1645086487
