,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30735784,55,8,1,500206,2.0,313010,187196,Nel Tu,https://img2.finalfantasyxiv.com/f/302d1701c3540994fac64dae2fb8e53f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644911947
1,29493386,55,8,2,405242,1.0,349005,56237,Rothogar Highwind,https://img2.finalfantasyxiv.com/f/f3b891d2d3297fceecad8858540d4051_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645127100
2,1581803,55,8,3,264748,3.0,245945,18803,Zefitt Cloudmoon,https://img2.finalfantasyxiv.com/f/c45e3a36b3917844b44cc6908deca41d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644975969
3,28489971,55,8,4,234596,4.0,207405,27191,Norimu Gamirimu,https://img2.finalfantasyxiv.com/f/4ad8c13bc39c6efb549f099143dec142_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645179156
4,25768921,55,8,5,187468,5.0,157004,30464,Balthier Caelum,https://img2.finalfantasyxiv.com/f/e706307680bff2de360e3a726af8cde0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644869200
5,3034545,55,8,6,176373,7.0,117922,58451,Jade Arrow,https://img2.finalfantasyxiv.com/f/98fe284defb08e89cf660ceb9e413ec2_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644888933
6,14098675,55,8,7,173945,9.0,96436,77509,Loyan Lightdew,https://img2.finalfantasyxiv.com/f/a3114f5c3eeebf99f97483b10976f9e5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645205580
7,30076696,55,8,8,173690,6.0,141061,32629,Crunchy Cookie,https://img2.finalfantasyxiv.com/f/367e7ac9053e8ab37e100dd1c852577e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644759502
8,3045648,55,8,9,128585,,0,128585,King Kaiser,https://img2.finalfantasyxiv.com/f/24cf1489e7b59a50e9de367faeb6f656_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645134022
9,15434913,55,8,10,114337,8.0,114337,0,Nyror Aedrin,https://img2.finalfantasyxiv.com/f/88ede921e47fac06fd15189d1d6ad08d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645058633
10,16716298,55,8,11,100103,11.0,80078,20025,Toto Shortcake,https://img2.finalfantasyxiv.com/f/ee5c4d31bf3fa25e65a0a85dafc57884_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645114231
11,21223905,55,8,12,96357,10.0,85596,10761,Yunia Ziegler,https://img2.finalfantasyxiv.com/f/1abdd876902f5f4d5a39c435febfb3cc_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645139818
12,16501895,55,8,13,79517,12.0,55327,24190,Shadow Erebus,https://img2.finalfantasyxiv.com/f/965aa48fcbca10331ba14415a90f4b2a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645164809
13,2622173,55,8,14,39473,13.0,39473,0,Silora Mizzrym,https://img2.finalfantasyxiv.com/f/085f2c850bc46ed0913c6e98fbf564b3_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645132468
14,12484061,55,8,15,39056,14.0,28405,10651,Akira Thronin,https://img2.finalfantasyxiv.com/f/dfec0a3c1c1f22eecea608f818abd5a8_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645116897
15,28675966,55,8,16,29283,19.0,14820,14463,Lyxanna Dyvahur,https://img2.finalfantasyxiv.com/f/0fec902b5ea5bd1d0932b70e05ece060_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1644833904
16,5530193,55,8,17,23638,16.0,20002,3636,Danica Aranea,https://img2.finalfantasyxiv.com/f/8692e7f4b9c1348f6dca25cd26dc6704_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645022082
17,32354162,55,8,18,20011,15.0,20011,0,Harry Doyle,https://img2.finalfantasyxiv.com/f/978d5c76c8d74cbbba191524e3862c93_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645018128
18,16484287,55,8,19,17149,17.0,17149,0,Aeryn Hericium,https://img2.finalfantasyxiv.com/f/4c9232c3de34486d6179578ae24732ea_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645048056
19,2683966,55,8,20,17038,21.0,10948,6090,Kawaii Neko,https://img2.finalfantasyxiv.com/f/d5f1045c14e41095c68357dc2f8bb19a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644994199
20,26995085,55,8,21,16865,18.0,16445,420,Alice Latte,https://img2.finalfantasyxiv.com/f/f21a8451d1c4d17646c33b236d43f73c_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644861884
21,27655068,55,8,22,12961,26.0,9475,3486,Aurali Xstorm,https://img2.finalfantasyxiv.com/f/81b0aad40ba36db58500f68231ba0f6b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644813394
22,20149240,55,8,23,12311,20.0,12311,0,Kipppo Gatsyb,https://img2.finalfantasyxiv.com/f/834d4417d9784f2be1d811023be8c2b4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645139444
23,20343133,55,8,24,11085,30.0,7897,3188,Curly Fry,https://img2.finalfantasyxiv.com/f/3655a931410d0575bfe6d7c6753da9a9_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644719428
24,13059507,55,8,25,10669,22.0,10669,0,Kyeo Liu,https://img2.finalfantasyxiv.com/f/d5be0734ea4cd8dfe59c027e2c943788_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644810594
25,28947002,55,8,26,10020,23.0,10020,0,Erina Tojo,https://img2.finalfantasyxiv.com/f/5151ad931a18b8148f17031eb000ee87_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644796269
26,644909,55,8,27,9927,28.0,8615,1312,Maddox Tyrannus,https://img2.finalfantasyxiv.com/f/658ad1a6f2c717c09df97308f2441c05_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644949727
27,29237063,55,8,28,9911,24.0,9911,0,Mikasa Charles,https://img2.finalfantasyxiv.com/f/2e30a3355c8602cf8121fd056c41c4ae_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645036431
28,3242315,55,8,29,9853,25.0,9853,0,Vivi Waltz,https://img2.finalfantasyxiv.com/f/539d0744baef39508cec8b56a79dfc64_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645165869
29,26418039,55,8,30,9488,41.0,5568,3920,Gwenolie Apfel,https://img2.finalfantasyxiv.com/f/9fd60220f903c4cd731965e46bb531b0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644904200
30,27336745,55,8,31,9420,27.0,8670,750,Jarothgar Jovasch,https://img2.finalfantasyxiv.com/f/83e39478ad017090d072de3190384392_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645199405
31,12384118,55,8,32,9210,38.0,6210,3000,Kara Izanami,https://img2.finalfantasyxiv.com/f/8051118b0dc2b2e18b629541256c705e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645104437
32,25671289,55,8,33,9134,37.0,6810,2324,Delila Mewrilah,https://img2.finalfantasyxiv.com/f/19fa2a41f64762f7c2231b15f967dac1_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645159015
33,17622382,55,8,34,8526,29.0,8436,90,Chai Tali,https://img2.finalfantasyxiv.com/f/280381b6a59a665b8e87cfeb2149441f_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644979457
34,30742769,55,8,35,8194,63.0,3768,4426,Ju'ur Garromite,https://img2.finalfantasyxiv.com/f/df56398fb794378d82b258fd2b4d7f51_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645107672
35,4001637,55,8,36,7876,31.0,7876,0,Morvelaira Camgini,https://img2.finalfantasyxiv.com/f/27215288a1d20932f11e3d5f323dd3a5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645136554
36,25822341,55,8,37,7410,32.0,7410,0,Novoire Hresvelg,https://img2.finalfantasyxiv.com/f/084da79362298749384f165722835fa2_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645145967
37,20305136,55,8,38,7380,33.0,7380,0,Darkest Demise,https://img2.finalfantasyxiv.com/f/893ad08a89d0879c8ce441e14c128d2e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644816780
38,23957081,55,8,39,7280,34.0,7280,0,Addy Feralas,https://img2.finalfantasyxiv.com/f/c6fcf18413c9f764d8f63c1f321001a0_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645124316
39,17311696,55,8,40,7258,35.0,7258,0,Kitty Noir,https://img2.finalfantasyxiv.com/f/c814bc59fac05fbc780d11f8ccfd9318_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644845679
40,25243287,55,8,41,7060,36.0,7060,0,Tiger Vermillion,https://img2.finalfantasyxiv.com/f/4379616449ad755a1b70c1ebfbcd51ed_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645027507
41,29836385,55,8,42,6690,,0,6690,Mako Fei,https://img2.finalfantasyxiv.com/f/bb5437217531f80c8671920acd24abea_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644958179
42,12157925,55,8,43,5850,39.0,5850,0,Miu Mew,https://img2.finalfantasyxiv.com/f/3211898a52f38521bb317f3da788c615_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645151572
43,14189620,55,8,44,5826,,0,5826,Miss Derpina,https://img2.finalfantasyxiv.com/f/187aad97837c8b347017e437f7379e50_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645113360
44,2821500,55,8,45,5825,40.0,5825,0,Illyasviel Einzbern',https://img2.finalfantasyxiv.com/f/f67a6d97136cde00b7514a65ceaaa148_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645077309
45,4759622,55,8,46,5700,52.0,4710,990,Kiva Baez,https://img2.finalfantasyxiv.com/f/fa9481bedd4cc13a94e880cc1d0931ee_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644946418
46,16609756,55,8,47,5598,62.0,3768,1830,Charasin Rillemont,https://img2.finalfantasyxiv.com/f/1870cf6d839ce4fff8803bfb89771284_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645177052
47,29667696,55,8,48,5413,88.0,2676,2737,Sir Noir,https://img2.finalfantasyxiv.com/f/6404b9259ae6e1ac49c217fa9016f9b5_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645141006
48,17505729,55,8,49,5362,42.0,5362,0,Axle Baenre,https://img2.finalfantasyxiv.com/f/07fad37df2da929a0f863f2efd1b8028_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645156020
49,26325353,55,8,50,5333,43.0,5333,0,Jack Kenpachi,https://img2.finalfantasyxiv.com/f/4fb85acc2830dd12c0ab4dd7bd398abd_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644962600
50,9112734,55,8,51,5284,44.0,5284,0,Yumi Hikaru,https://img2.finalfantasyxiv.com/f/b5d6b098c479d080d3a2f9a8215281eb_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644780284
51,23601254,55,8,52,5194,45.0,5194,0,Rose Zocutt,https://img2.finalfantasyxiv.com/f/aac8e6251fc884d8aa7fb3f09b0ea353_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644791435
52,23939002,55,8,53,5123,46.0,5123,0,Pitaya Undatus,https://img2.finalfantasyxiv.com/f/cee6f914b018b40a071243fcf3cc56cc_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645206077
53,7923590,55,8,54,5040,47.0,5040,0,Keiko Bakeneko,https://img2.finalfantasyxiv.com/f/471b0d8fc1287aa87849a6b9d4d38060_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645052114
54,20878198,55,8,55,5005,48.0,5005,0,Mino Yunie,https://img2.finalfantasyxiv.com/f/ff6d16efb79b3d595463fb44cc66dc60_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644951627
55,25554288,55,8,56,4858,49.0,4858,0,Lomae Nowan,https://img2.finalfantasyxiv.com/f/cd97bf89784bf4161768401701d54ca1_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645025328
56,21853757,55,8,57,4800,50.0,4800,0,Laex Myx,https://img2.finalfantasyxiv.com/f/f88cf34e8e32d17a8bdac8785475edb6_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644992833
57,520745,55,8,58,4770,51.0,4770,0,Lorinthian Wyndsong,https://img2.finalfantasyxiv.com/f/de350262b4161e7783f4d8de724e7f54_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645048924
58,6893197,55,8,59,4710,61.0,3810,900,Lord Vicky,https://img2.finalfantasyxiv.com/f/fb8830acfecc0180be070cb9452b628d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645043279
59,12041238,55,8,60,4500,53.0,4500,0,Chris Bes,https://img2.finalfantasyxiv.com/f/c0f5af85999df3e10cb055c8803d02de_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644972115
60,23855036,55,8,61,4385,54.0,4385,0,Leonis Dahlia,https://img2.finalfantasyxiv.com/f/59b7a8650ed2ac67c076a9d998bc51d4_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644640007
61,13169220,55,8,62,4379,55.0,4379,0,Katze Kyofu,https://img2.finalfantasyxiv.com/f/82aba744764b73b4ef365a0cc73cac2e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645030922
62,17629030,55,8,63,4320,56.0,4320,0,Rozen Rot,https://img2.finalfantasyxiv.com/f/b13c5e83feb2fc0ba5e77b42579ffe58_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645032203
63,28871940,55,8,64,4255,57.0,4255,0,Bau'lt Aseir,https://img2.finalfantasyxiv.com/f/28c0ca5911850eee952dee833760698d_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645032611
64,24370642,55,8,65,4198,58.0,4198,0,Alaine Soon,https://img2.finalfantasyxiv.com/f/1c1d513c3cc9ce587c18a3247b1a3e6b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645109899
65,15434976,55,8,66,4066,71.0,3468,598,Lyra Nyx,https://img2.finalfantasyxiv.com/f/1b2c989451b274d56c6d3bf0e6e29e51_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644875462
66,3473511,55,8,67,3930,59.0,3930,0,Pie May,https://img2.finalfantasyxiv.com/f/b78cf79aabdcf1c6c7b64839a0304f6e_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645103210
67,16181413,55,8,68,3839,60.0,3839,0,Dody Reefer,https://img2.finalfantasyxiv.com/f/c1f4a242ec6a6142bc919cc1eca5454a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645146657
68,28718604,55,8,69,3810,73.0,3246,564,Zarkaa Zafyra,https://img2.finalfantasyxiv.com/f/09e56e00c8882f8adba53311e958a73b_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645035221
69,12134091,55,8,70,3659,64.0,3659,0,Crystal Starlight,https://img2.finalfantasyxiv.com/f/baf3cbc77fd7981b44710f1c88883e72_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1645049423
