,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4907433,45,17,1,816983,1.0,661929,155054,Kaxah Vancle,https://img2.finalfantasyxiv.com/f/208970b07f1a89ba67bed5ba5c683d86_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644928816
1,6335150,45,17,2,625130,2.0,544017,81113,Reny Ririn,https://img2.finalfantasyxiv.com/f/7a421983edd450bca51a3247dae533c4_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645159928
2,29853087,45,17,3,581988,3.0,496435,85553,Reiji Frosty,https://img2.finalfantasyxiv.com/f/d76f1d51271f69e0e5d04ad3acd412e7_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645170100
3,2452682,45,17,4,475420,4.0,429091,46329,Jack Lucci,https://img2.finalfantasyxiv.com/f/ec63bf696287632bee9cd8d49227e5e4_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645050938
4,16743339,45,17,5,452746,5.0,397141,55605,Shizune Moon,https://img2.finalfantasyxiv.com/f/484eb04e0ae3626276f72d8fef657484_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645157048
5,30638661,45,17,6,396560,6.0,343694,52866,Napori Shimotuki,https://img2.finalfantasyxiv.com/f/9c823bd76b9769b8b68d91073f23214d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644779686
6,29616489,45,17,7,396280,8.0,329188,67092,Leith Preston,https://img2.finalfantasyxiv.com/f/541f4a5aaf375f33085cdf1e8301e804_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644807705
7,2429070,45,17,8,390062,7.0,339583,50479,Rio Tirol,https://img2.finalfantasyxiv.com/f/4cab2ccf67f3005e990013a3f40c124d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645044088
8,16967594,45,17,9,343962,10.0,294748,49214,Aki Shinonome,https://img2.finalfantasyxiv.com/f/edef19acbbdb9928aaeba7275f3f783c_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644861310
9,29706229,45,17,10,335027,9.0,312329,22698,Sin Sakaki,https://img2.finalfantasyxiv.com/f/677207c17cc8349dca34bbff70b6e49b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644630591
10,24742039,45,17,11,304632,12.0,255404,49228,Naru Besch,https://img2.finalfantasyxiv.com/f/0f2425e7dab9db9db965975e2f2ff5e6_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644917457
11,20658882,45,17,12,299223,11.0,258299,40924,Juli Nasir,https://img2.finalfantasyxiv.com/f/e6bb53f23bfc5f8cf4b6485b7465efec_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645075766
12,25425312,45,17,13,285299,15.0,214496,70803,Hannah Magnus,https://img2.finalfantasyxiv.com/f/9d9ceacec4420f5add063706cb1a2889_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645186563
13,2356029,45,17,14,268337,14.0,237085,31252,Broken Oak,https://img2.finalfantasyxiv.com/f/d64056b396d1bfcdd4ad18e87666a3bb_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645008559
14,13300185,45,17,15,260288,13.0,246912,13376,Ranmaru Gtk,https://img2.finalfantasyxiv.com/f/9ba6a229091426153089ad53cd9b0056_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644808583
15,2819725,45,17,16,256483,17.0,201857,54626,Mythic Apricot,https://img2.finalfantasyxiv.com/f/9434ce03ce3cb262ae143ae2e8c9c8f9_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645122850
16,17672586,45,17,17,243445,16.0,203524,39921,Great Forest,https://img2.finalfantasyxiv.com/f/7fd39ebeee95bb721fd0976bee45b54b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644948876
17,32144990,45,17,18,236379,18.0,185705,50674,Nate Zucker,https://img2.finalfantasyxiv.com/f/8298c4288b5ae24770f6ba65ba367931_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644777970
