,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30026502,70,9,1,909002,1.0,885218,23784,Moco Leininger,https://img2.finalfantasyxiv.com/f/70de6a4a9c027a5cc04986384e6df380_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1624116493
1,4830140,70,9,2,767656,4.0,681217,86439,Ticho Ciccio,https://img2.finalfantasyxiv.com/f/6e5d6ef83133c2a4ce4b8ace65b110b4_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645047883
2,1544868,70,9,3,701496,2.0,701496,0,Anima Nirvana,https://img2.finalfantasyxiv.com/f/d7be5f5bf02b5936ec90d1b40055cf12_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645123289
3,3151571,70,9,4,700102,3.0,700102,0,Vice Hazard,https://img2.finalfantasyxiv.com/f/3ef76a763480c251a8782096154c5d4f_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645029685
4,3215858,70,9,5,500000,5.0,500000,0,Shin Nigo,https://img2.finalfantasyxiv.com/f/b089ee1f8938ef5e17d78f98a1cfbb1e_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645053786
5,9278482,70,9,6,486532,6.0,454291,32241,Rosalind Clifford,https://img2.finalfantasyxiv.com/f/a0471821088f1aa0236ce7449caf20e8_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645102271
6,17479990,70,9,7,453034,7.0,402009,51025,Rolca Al,https://img2.finalfantasyxiv.com/f/56a445f10a2d451eb8c324eb8aec30ed_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645091806
7,25631925,70,9,8,438941,8.0,401779,37162,Himi Filiru,https://img2.finalfantasyxiv.com/f/d1e55bdab9a2b9b16be88524b64a9271_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645195105
8,12223529,70,9,9,432676,9.0,371372,61304,Morizo Sloth,https://img2.finalfantasyxiv.com/f/d267422f8ea31c6716f2441730f5f901_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645035359
9,32189368,70,9,10,347971,12.0,276436,71535,Mashiro Chlord,https://img2.finalfantasyxiv.com/f/38d051bc637348bcb509479341f8f8df_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645092753
