,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30315393,40,11,1,380862,2.0,311342,69520,Kari Carrin,https://img2.finalfantasyxiv.com/f/577c95385c31d4fb9206ee08202fd243_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645176076
1,29341025,40,11,2,376644,1.0,331416,45228,Alistair Zamoksva,https://img2.finalfantasyxiv.com/f/92e1cb8998621d1b4ad74c140d42b5ff_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644793959
2,16096896,40,11,3,343374,3.0,250076,93298,Star Aquamarine,https://img2.finalfantasyxiv.com/f/2c6c70a0692a4d840f4ed96a2216e8c9_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645185451
3,30496843,40,11,4,327518,4.0,249881,77637,Asterius Seheult,https://img2.finalfantasyxiv.com/f/0bb8702d3458a69f85086832e2af04ef_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645044933
4,7915,40,11,5,279680,6.0,201201,78479,Rancer Omancer,https://img2.finalfantasyxiv.com/f/8a6074dd9489f118867c374d1bc1b472_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645174457
5,28371248,40,11,6,271175,5.0,234377,36798,Y'ae Miko,https://img2.finalfantasyxiv.com/f/d042b446e265878b4d470009f6ca17b2_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645065029
6,10974665,40,11,7,224705,10.0,139053,85652,Miriandra Sunsinger,https://img2.finalfantasyxiv.com/f/e8430f00a7ebae87382e5e1c46276551_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645112569
7,8217359,40,11,8,223146,8.0,168544,54602,Akiko Viridian,https://img2.finalfantasyxiv.com/f/57b4364eca9d7a7feb127ead49463e29_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645178442
8,25414560,40,11,9,211468,9.0,164502,46966,Megumi Shiraki,https://img2.finalfantasyxiv.com/f/53d8b1b70aed35329d0cf314cfb23d20_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644924996
9,7162543,40,11,10,199092,12.0,127425,71667,Du'sada Novaknight,https://img2.finalfantasyxiv.com/f/c42f1771521f9281d7fa43cb3313f256_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645147216
10,11259019,40,11,11,182220,14.0,121100,61120,Sleepy Sushi,https://img2.finalfantasyxiv.com/f/e4f8a0b335a65f8f5c88efa767d5504c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645158895
11,4799579,40,11,12,168841,7.0,168841,0,Yun Kai,https://img2.finalfantasyxiv.com/f/a44a796c973bab341f9a99b382c76626_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645187423
12,15367669,40,11,13,166110,13.0,124841,41269,Lala Beachbunny,https://img2.finalfantasyxiv.com/f/501dbdd97d01ce76449d8d83475c8489_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645102739
13,12103292,40,11,14,157224,11.0,128222,29002,Mia Hunter,https://img2.finalfantasyxiv.com/f/4fbf6a9ef3dc76f94638d9a80900b30b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645066572
14,31669052,40,11,15,154548,15.0,87919,66629,Light Rampant,https://img2.finalfantasyxiv.com/f/626e9c564dca43d1bc214d96d81b7c60_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645202441
15,16178299,40,11,16,97325,16.0,71473,25852,Anastasia Sensei,https://img2.finalfantasyxiv.com/f/33160af32d3860467e0169d0576b5455_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644996363
16,7914181,40,11,17,67148,17.0,65651,1497,Iria Denma,https://img2.finalfantasyxiv.com/f/486d5d0432799c14fa06e70267c74d53_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644992504
17,27296009,40,11,18,55508,18.0,51018,4490,Iyari Furea,https://img2.finalfantasyxiv.com/f/7a9990b369e91472e0cf518549baf1ad_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645153141
18,9186683,40,11,19,47681,20.0,35759,11922,Ludovraint Matigniant,https://img2.finalfantasyxiv.com/f/adc02218d6bebf24d2764c2704753b60_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645126664
19,29067653,40,11,20,44566,19.0,37051,7515,Jojojojojo Jojojojojo,https://img2.finalfantasyxiv.com/f/7e6574f7829a2a943a2fcbcccf92a1a6_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645061885
20,30612032,40,11,21,40499,21.0,33500,6999,Hyun Jhi,https://img2.finalfantasyxiv.com/f/0d5a0e80db8fdc0aed665b225a9572cb_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644782653
21,26200218,40,11,22,22596,26.0,16097,6499,Iryna Elys,https://img2.finalfantasyxiv.com/f/b24774d1b184f02e4e057b51fbc683fa_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644852473
22,18686475,40,11,23,20184,23.0,18693,1491,Sodina Shell,https://img2.finalfantasyxiv.com/f/e67b6e8b006879e3a56523004c26cc46_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644984873
23,24249248,40,11,24,18707,22.0,18707,0,Azuriel Vallen,https://img2.finalfantasyxiv.com/f/7af9d8b12d2e033194a59e675ebb3ea9_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645130025
24,26257717,40,11,25,18352,24.0,18352,0,Arz Ljanta,https://img2.finalfantasyxiv.com/f/e9e3178ae7ae826c5c6ab3746bd484d3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644704162
25,30839535,40,11,26,17990,25.0,17990,0,Yara Yaeger,https://img2.finalfantasyxiv.com/f/bb734b3a350148373395e6d1f8e8508c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645170606
26,31644504,40,11,27,16181,32.0,11112,5069,Ujiari Avagnar,https://img2.finalfantasyxiv.com/f/6d4bddf1694da0cc566e305825b4d698_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644651771
27,15196750,40,11,28,15330,27.0,15330,0,Fey Thestrial,https://img2.finalfantasyxiv.com/f/beb980774cf461b21db2568f30ffa5fc_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644962335
28,33168551,40,11,29,14327,31.0,11784,2543,Ash'phen Desangue,https://img2.finalfantasyxiv.com/f/1ba1be90e4567b07d324b2d30319ac12_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645104239
29,20293285,40,11,30,13605,28.0,12733,872,Dead Poet,https://img2.finalfantasyxiv.com/f/d66590b8d2cd2d05a6c21012b609f0a6_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645067327
30,1555864,40,11,31,13272,30.0,11813,1459,Amoena Lily,https://img2.finalfantasyxiv.com/f/386f15da509c72fdc23e3f89e6dafff1_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645074517
31,14282437,40,11,32,13221,29.0,12261,960,Amaris Altalune,https://img2.finalfantasyxiv.com/f/17183c02b78442ad21402ec5d42a834e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644890337
32,8217445,40,11,33,13137,44.0,7746,5391,Diarmuid Duibhne,https://img2.finalfantasyxiv.com/f/bfe2bd208be85983532591f2e5a88501_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645139497
33,28241929,40,11,34,12711,36.0,9419,3292,Esca Ered,https://img2.finalfantasyxiv.com/f/3a99ff7307bf21a5faebaa63d4f1898c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644985451
34,12367588,40,11,35,10434,41.0,8540,1894,Laydiboots Ncats,https://img2.finalfantasyxiv.com/f/2b67953118ba9a4308e06622b96b4da0_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644870541
35,19250936,40,11,36,10413,33.0,10263,150,Feyore Drachenfaust,https://img2.finalfantasyxiv.com/f/58c0b05a356aff52dfea604795c31e68_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645188415
36,22850832,40,11,37,10258,34.0,10258,0,Sumirea Vorasi,https://img2.finalfantasyxiv.com/f/e71015b71b36314ad81f5b77d6149cc6_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644833818
37,30979824,40,11,38,9838,35.0,9838,0,Aether Mirage,https://img2.finalfantasyxiv.com/f/b1906494a2a52886a150ff986b93232d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644606591
38,18209383,40,11,39,9603,45.0,7430,2173,Naomi Brightstone,https://img2.finalfantasyxiv.com/f/e624955e00ca1b76e8abffa5514cb2db_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645022133
