,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,14072777,82,8,1,1189913,1.0,1065637,124276,Hiro Lin,https://img2.finalfantasyxiv.com/f/50b91abc81bdce088aabd95be306e8b7_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644604307
1,16708506,82,8,2,566743,3.0,488308,78435,Gino Ashby,https://img2.finalfantasyxiv.com/f/6bcb9066a2f6ac6d8abfd683b88844fb_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645172696
2,4990314,82,8,3,523874,4.0,487523,36351,Mizuna Sasakawa,https://img2.finalfantasyxiv.com/f/4b6a507c4ea2743a3ab28df2f7495db1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645114939
3,1627580,82,8,4,503900,2.0,503900,0,Keimgeim Keltnaglwyn,https://img2.finalfantasyxiv.com/f/2a7540cfe836ae1ca7d25bd4e5e86290_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645181905
4,6998043,82,8,5,431249,5.0,377809,53440,Dinoxs Seven,https://img2.finalfantasyxiv.com/f/e3aa58033481416818af5a888cb99cc6_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645199924
5,15637697,82,8,6,393160,6.0,310920,82240,Railai Honas-fontana,https://img2.finalfantasyxiv.com/f/1cfaec447a194717a50e0c39d725c23d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645025007
6,15006042,82,8,7,302753,7.0,252661,50092,Meque Meque,https://img2.finalfantasyxiv.com/f/0b0b287470eb2249a65106ffffd77fbd_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644812467
7,2574283,82,8,8,264252,8.0,213936,50316,Beri Cotty,https://img2.finalfantasyxiv.com/f/4f483a150be64afe3ff446215ef2d5fe_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645179098
8,28836604,82,8,9,195356,9.0,181500,13856,Gigi Garcia,https://img2.finalfantasyxiv.com/f/6628143b9f51e22691d94bdb00f04744_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644852157
9,6903658,82,8,10,178357,15.0,57071,121286,Aisu Diamond,https://img2.finalfantasyxiv.com/f/b2989e8a828b00c639a6e81df05cafdf_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645123403
10,4050178,82,8,11,170900,10.0,143367,27533,Khloe Hawking,https://img2.finalfantasyxiv.com/f/d935d60625fcf989404509331f1ef29d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645184552
11,4114127,82,8,12,139342,11.0,137500,1842,Kiki Corico,https://img2.finalfantasyxiv.com/f/903e3cbd09abf088d5d6489e46529d06_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645153257
12,30714564,82,8,13,127714,12.0,94597,33117,Rack Atorok,https://img2.finalfantasyxiv.com/f/6044d30873d29e640eedb91bb1c8e3ca_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644639654
13,24209273,82,8,14,115665,13.0,88408,27257,Aoyagi Land,https://img2.finalfantasyxiv.com/f/772cd175cc77776cd8b5d451228c4281_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644931628
14,30279244,82,8,15,62248,16.0,51583,10665,Smirnoff Icemw,https://img2.finalfantasyxiv.com/f/6167575502bc31f5a096229f9b2ac380_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644839330
15,2172549,82,8,16,60749,14.0,60749,0,Koharu Kun,https://img2.finalfantasyxiv.com/f/3df5db6e260482613f2024d4a3b89fd6_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645025664
16,15849211,82,8,17,54118,18.0,50764,3354,Garm Wolfgang,https://img2.finalfantasyxiv.com/f/bdfc1302388a6d5eebdde9e7d17ea31c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645158105
17,26140305,82,8,18,52463,17.0,51413,1050,Nieco Amane,https://img2.finalfantasyxiv.com/f/570a57838d044207f836a8f246383795_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645109019
18,29687360,82,8,19,40253,19.0,40253,0,Hugo Katzedux,https://img2.finalfantasyxiv.com/f/a6e269cb3d022ec6d57d8b74cb6e9c1f_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644858605
19,28810721,82,8,20,35145,20.0,35145,0,Stella Min,https://img2.finalfantasyxiv.com/f/e6ada4e4d240a4bf14df83175e651862_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644887035
20,17750021,82,8,21,33208,21.0,30219,2989,Callum Zallum,https://img2.finalfantasyxiv.com/f/13ebcb74339fea7d8315ea58fe2a561a_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644956160
21,29062235,82,8,22,31175,24.0,25235,5940,Choro Maru,https://img2.finalfantasyxiv.com/f/96b942b59bc0f3600d0918dc18970033_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645204927
22,8313791,82,8,23,27975,23.0,27105,870,Konathu Suhzu,https://img2.finalfantasyxiv.com/f/96ce5a84260102f22d7bcd4a60ae7bf1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645174734
23,16223076,82,8,24,27852,22.0,27852,0,Noa Ark,https://img2.finalfantasyxiv.com/f/57909444694f2b3f452e99822f750009_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644798893
24,5428192,82,8,25,25925,28.0,21152,4773,Masa Strings,https://img2.finalfantasyxiv.com/f/f315caa38cf1684cdab68acf0046cbdd_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645156434
25,17553015,82,8,26,24800,25.0,24800,0,Mia Screw,https://img2.finalfantasyxiv.com/f/c8bf6973e84b774fe34ec95dbbe9b72b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645067593
26,2172780,82,8,27,23446,26.0,23446,0,Dina Ubyltuwyn,https://img2.finalfantasyxiv.com/f/0854585c8d4a54431813c4cc8b5c0344_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645118490
27,14256467,82,8,28,21727,27.0,21727,0,Lon Chos,https://img2.finalfantasyxiv.com/f/20bc900056a7eaeff7475e2fb15ca6c0_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644864821
28,1611179,82,8,29,21597,30.0,19797,1800,Jinny Bridget,https://img2.finalfantasyxiv.com/f/9636119daf91f4b7f23372e838e0848c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645002802
29,6537433,82,8,30,21117,29.0,21117,0,Seiya Oujou,https://img2.finalfantasyxiv.com/f/99d8fa97b5829dc2ccddccd9dc72d85b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645131111
30,1833900,82,8,31,21026,31.0,18776,2250,Chie Panir,https://img2.finalfantasyxiv.com/f/bae3b725f3179603eb624947d89cd4f1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645165722
31,11714806,82,8,32,19588,32.0,17368,2220,Nina Yotsuba,https://img2.finalfantasyxiv.com/f/b23b39d5684a2eb51676dfa31faa804c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645083573
32,4805489,82,8,33,18293,33.0,15033,3260,J' Legumbre,https://img2.finalfantasyxiv.com/f/69209a14d7574b6a311b59255fb77e12_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645006404
33,24795179,82,8,34,16153,38.0,13935,2218,Kamishiro Tia,https://img2.finalfantasyxiv.com/f/ef6ea3909b4d9705fac6d4a02d7bcc8e_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645028488
34,13716954,82,8,35,16013,41.0,13311,2702,Yul Garcia,https://img2.finalfantasyxiv.com/f/faf1c4c8b0cea51967edab5b2a66e412_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644993374
35,28233149,82,8,36,15650,35.0,14259,1391,Nanatsuba Yotsuba,https://img2.finalfantasyxiv.com/f/1df4aef9e325bd160dd6e59cd5c94d27_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645086226
36,2216836,82,8,37,15630,36.0,14190,1440,Sumail Cats,https://img2.finalfantasyxiv.com/f/39686114cca92a9e897fa29979d4cdf0_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644786501
37,24118773,82,8,38,15017,34.0,15017,0,Adelaide Ill,https://img2.finalfantasyxiv.com/f/af9e5c7e861020e8ee538219090e2873_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645189722
38,1857076,82,8,39,14684,37.0,14084,600,Haz Haz,https://img2.finalfantasyxiv.com/f/adedfefd5bf9275f75032b09469292a1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644964273
39,5368853,82,8,40,14069,43.0,12599,1470,Faith Miroha,https://img2.finalfantasyxiv.com/f/906ccb46b5c6a9b0185f1d9431ce6ee1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644950895
