,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2478026,76,13,1,1001462,1.0,919516,81946,Resonance Helix,https://img2.finalfantasyxiv.com/f/c2054f64c2698f74b7e7b51603a3bf3f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645197760
1,26756018,76,13,2,783797,2.0,634743,149054,Milleo Biscuit,https://img2.finalfantasyxiv.com/f/1873382cd9cfda0637aee12ab61b6848_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645049577
2,17543190,76,13,3,312542,3.0,247300,65242,Mass Nove,https://img2.finalfantasyxiv.com/f/0fb69c9744c0bfb6a54813258c5343f1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645118887
3,5219841,76,13,4,209540,,0,209540,Smoooch Xizeta,https://img2.finalfantasyxiv.com/f/574a1eda6a946a8100ddbae9105b0b35_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644953575
4,10791974,76,13,5,178951,4.0,159125,19826,Tetra Pod,https://img2.finalfantasyxiv.com/f/a09351511d02491ec1a5e33493ccbe4f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644811129
5,22862449,76,13,6,170153,5.0,155397,14756,Kano Karasuma,https://img2.finalfantasyxiv.com/f/566608b6cf7ee52bcfac52966029e07a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645066858
6,17814597,76,13,7,167463,7.0,137191,30272,Tonau Yonomori,https://img2.finalfantasyxiv.com/f/68d7d223799f755af8e13f14247f8bd4_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645038869
7,2308408,76,13,8,154432,6.0,149121,5311,Ryo Zehn,https://img2.finalfantasyxiv.com/f/19e9f59604656b8fe22a1baf92fa740f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645184596
8,7009138,76,13,9,143565,8.0,131012,12553,Micaelis Zaala,https://img2.finalfantasyxiv.com/f/a117a8db36aa98cb94e5fd1f390d5304_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645171806
9,16176591,76,13,10,134484,,0,134484,Ray Vajra,https://img2.finalfantasyxiv.com/f/5e0681c303a1218868caf46690ea3e33_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645117196
10,33610719,76,13,11,117080,10.0,70267,46813,Nana Aprile,https://img2.finalfantasyxiv.com/f/7f1abee6d501abfbe4930e1817dd4663_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644637129
11,2779716,76,13,12,109712,12.0,54550,55162,Oshin Mura,https://img2.finalfantasyxiv.com/f/c370837f3c8a75b03304ecd590b357d6_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645057959
12,4523481,76,13,13,99298,11.0,61724,37574,Bal Lingrand,https://img2.finalfantasyxiv.com/f/f78f62feeb4dd955d13b431299d24eba_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645014296
13,32366783,76,13,14,95114,9.0,83043,12071,Picot Blanche,https://img2.finalfantasyxiv.com/f/2c3adbcba5f8e0b56e61e5c82e6dc6e1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644939960
14,17479177,76,13,15,70027,15.0,44830,25197,Walt Crammer,https://img2.finalfantasyxiv.com/f/83df85be373b3b8c5e9bf4bb88adee2c_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645205946
15,29523680,76,13,16,60621,13.0,49621,11000,Rhela Scarlett,https://img2.finalfantasyxiv.com/f/c5759dd38f45975a8573acee4ef51656_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644928108
16,28712391,76,13,17,55221,14.0,45365,9856,Alfons Aeclair,https://img2.finalfantasyxiv.com/f/3556a34d8ba93dc08b29e51c1e663d6b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645113502
17,22934483,76,13,18,43225,18.0,33537,9688,Lucifel Mucha,https://img2.finalfantasyxiv.com/f/c9f47dbfb115d4a0b01cafc673601aeb_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645003613
18,32444383,76,13,19,42120,16.0,40620,1500,Anko Poko,https://img2.finalfantasyxiv.com/f/a6c00b7a0ae8879a2d233580e0a4f987_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644634729
19,3477196,76,13,20,38756,17.0,38756,0,Izumo Ritter,https://img2.finalfantasyxiv.com/f/d9aad288b78d3bdfb6603a6739a172e2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645151201
20,20149381,76,13,21,31245,21.0,28282,2963,Cherry Peach,https://img2.finalfantasyxiv.com/f/3e62f57bb664e1fa10cb4b903bbc931b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645103123
21,7155108,76,13,22,31160,19.0,31160,0,Mococo Moco,https://img2.finalfantasyxiv.com/f/5bfd050354c3c4c4759a652ebb706e72_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645074345
22,18417391,76,13,23,31018,20.0,29428,1590,Noir Barnes,https://img2.finalfantasyxiv.com/f/1741c95de7f10beba12780a65bc58046_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645134489
23,25332658,76,13,24,30817,26.0,19395,11422,Briede Meaux,https://img2.finalfantasyxiv.com/f/12a0fd4f50e9438111554f8b277d0a5f_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645041495
24,23240299,76,13,25,26202,25.0,19804,6398,Ryo-ko Yamanasi,https://img2.finalfantasyxiv.com/f/06ecdf7b1d8130433d099d95bedc1a6f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645095321
25,26204158,76,13,26,24947,22.0,24073,874,Etoile Stella,https://img2.finalfantasyxiv.com/f/ad659c557cd461b34581fb7ab51d8625_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645049385
26,2455529,76,13,27,23240,23.0,23240,0,Sanyu Lulutia,https://img2.finalfantasyxiv.com/f/7761f9f061fccbc54e0671687bb4718b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644961731
27,1608984,76,13,28,22324,27.0,19028,3296,Mana Chicchi,https://img2.finalfantasyxiv.com/f/a7b622b0e39d3055f378fa8cd0b089e4_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644711276
28,21447763,76,13,29,20574,24.0,20574,0,Myan Marl,https://img2.finalfantasyxiv.com/f/c9ab2c63bc22c23614132017a7ef1c9f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645159553
29,2826118,76,13,30,19320,31.0,16650,2670,Flare Ecliptic,https://img2.finalfantasyxiv.com/f/9c664c713a377a90eaa5d23553dbac98_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645007577
30,1686202,76,13,31,18900,28.0,18540,360,Leo Reena,https://img2.finalfantasyxiv.com/f/af4ce01e4cf0e93dfe1148334cfddd74_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645079037
31,29586514,76,13,32,18020,46.0,10107,7913,Murasaki Tsuki,https://img2.finalfantasyxiv.com/f/17034c06c1c95ecc816c4ee6f249e3a6_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645002877
32,10595590,76,13,33,17267,33.0,15767,1500,Didiruda Seseruda,https://img2.finalfantasyxiv.com/f/c756533d0b311214ab99b6579642719b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644817744
33,25751522,76,13,34,17246,29.0,17246,0,Palm Dor,https://img2.finalfantasyxiv.com/f/a9155259fcb8cc5dad40219dd0f50ceb_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645117815
34,29973837,76,13,35,17050,30.0,17050,0,Izumo Shinonome,https://img2.finalfantasyxiv.com/f/d07feee9b327b86b6b078a5b3053f131_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644831375
35,14238483,76,13,36,16359,32.0,16359,0,Fenri Sulfr,https://img2.finalfantasyxiv.com/f/5c73ee372f9a533908e652f35a90e0f4_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645000536
36,15214046,76,13,37,15471,37.0,11753,3718,Chamy Shimiditet,https://img2.finalfantasyxiv.com/f/14677a0d91e731a79ee2cd1c5543a746_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644973851
37,11614378,76,13,38,14796,36.0,11936,2860,Yui Rin,https://img2.finalfantasyxiv.com/f/d7a1b8ca3ffa30eabfc1eba0ac140706_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644784709
38,3780864,76,13,39,13982,34.0,13982,0,Acid Breath,https://img2.finalfantasyxiv.com/f/f8913b456bb7b062d8b16dda7818e6b1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645190350
39,22925816,76,13,40,13858,50.0,9358,4500,Siz Forestfield,https://img2.finalfantasyxiv.com/f/d3fd29577aa4a7622530e9cb58a15c77_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644985513
40,21512899,76,13,41,13470,35.0,12120,1350,Mukumuku Pie,https://img2.finalfantasyxiv.com/f/efea21695c8e0a4d63b651c93e8e8b46_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645150032
41,27883753,76,13,42,13161,38.0,11361,1800,Misago Leonessa,https://img2.finalfantasyxiv.com/f/cabe1eff6faedd060fec80819d60d342_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645147466
42,23085463,76,13,43,12685,43.0,10289,2396,Marl Marshall,https://img2.finalfantasyxiv.com/f/8bf22c92416163fd9c85181e9f886ed2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645050225
43,1624611,76,13,44,12567,40.0,10917,1650,Iory Hikyaam,https://img2.finalfantasyxiv.com/f/3c1525b7815dd57333cf605f3fb11c43_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645173502
