,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25050029,61,17,1,823831,1.0,739342,84489,Theat Daijin,https://img2.finalfantasyxiv.com/f/5b4d9612faee6985cb067d11a744229f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644832091
1,19742023,61,17,2,728000,2.0,637000,91000,N'ana Mihko,https://img2.finalfantasyxiv.com/f/07ef38e899d53738195d31fbceb30f95_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645121407
2,20678919,61,17,3,555555,3.0,500000,55555,Stella Ren,https://img2.finalfantasyxiv.com/f/aa53e00f0501a7d159a916c60f236e54_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644953170
3,18560119,61,17,4,475856,4.0,425399,50457,Kikuri Kluge,https://img2.finalfantasyxiv.com/f/63edc4a640ff1d381aac22be371aec6f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644867021
4,18380945,61,17,5,460110,5.0,400410,59700,Beatrice Lucid,https://img2.finalfantasyxiv.com/f/58fdc3d5c91dd4c5a769fa195bb0dfde_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644836458
5,18544896,61,17,6,418715,7.0,363082,55633,Maria Genjow,https://img2.finalfantasyxiv.com/f/6222e8fcea5a104ae6f9984ba701192c_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645044640
6,18063462,61,17,7,417797,6.0,363886,53911,Anasser Kaspola,https://img2.finalfantasyxiv.com/f/e141ee1df181418d2033799c2a571e96_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645162618
7,33157731,61,17,8,402268,8.0,325542,76726,Pumpkin Purple,https://img2.finalfantasyxiv.com/f/b71c4118850cb084f8a1082306ed748f_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644844605
8,32160657,61,17,9,385459,9.0,308932,76527,Kureha Northern,https://img2.finalfantasyxiv.com/f/2d6db495927f38b6335068d8488ab660_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645108583
9,11399652,61,17,10,373365,10.0,297012,76353,Asakim Meteoraite,https://img2.finalfantasyxiv.com/f/0d5d374bde4a648f93e58d9ee58aa0db_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644969666
