,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15461830,52,9,1,901037,1.0,820311,80726,Sheryl Jerez,https://img2.finalfantasyxiv.com/f/b7e452b2da6488ef2aa8da161dc022d7_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645191930
1,24454944,52,9,2,500602,2.0,448091,52511,Grolla Sey,https://img2.finalfantasyxiv.com/f/c1dee1189e8105e77d77fad60fc39d15_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645056799
2,28316739,52,9,3,418751,5.0,264501,154250,Lilia Wolcott,https://img2.finalfantasyxiv.com/f/789b32469ba0b0240735c424b81f4e6a_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1644994191
3,28197939,52,9,4,384228,4.0,274616,109612,Momose Mose,https://img2.finalfantasyxiv.com/f/03e7f3b52fca70f297a3f7741790e3ac_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645124292
4,17656047,52,9,5,347427,3.0,293548,53879,Marie Mry,https://img2.finalfantasyxiv.com/f/f8d3d527b6c14242e7a346c48daa6467_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645155537
5,30053204,52,9,6,201406,7.0,157022,44384,Guagua Gua,https://img2.finalfantasyxiv.com/f/f42a4bd541bd96ddf0f82a830c0ce1ea_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644986689
6,18935645,52,9,7,158437,6.0,158437,0,Animo Yuga,https://img2.finalfantasyxiv.com/f/9c0c3a4225d969da7f48879b0c449ad3_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645205474
7,26062182,52,9,8,147516,9.0,124799,22717,Willia Acre,https://img2.finalfantasyxiv.com/f/02d7a9d73cc2037d1ce58a18745d214b_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644841100
8,22736009,52,9,9,143435,8.0,131991,11444,Roma Riley,https://img2.finalfantasyxiv.com/f/6ddf3c08d0ecf70b2f69863e278a1a56_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644963755
9,22485754,52,9,10,138970,12.0,79244,59726,Shin Astrea,https://img2.finalfantasyxiv.com/f/39309cac20332d1d9bf8d82355c65437_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645092495
