,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25576893,41,14,1,919171,1.0,797916,121255,Morgan Nightingale,https://img2.finalfantasyxiv.com/f/43fcb5c6cc1bdf16dd5a5e47e1b1993c_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644903298
1,18885360,41,14,2,712822,2.0,648428,64394,Honey Mustard,https://img2.finalfantasyxiv.com/f/cd7baebcad28f36c2d08c101c6d66307_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645197103
2,31208737,41,14,3,430490,3.0,430490,0,June Claws,https://img2.finalfantasyxiv.com/f/94b0573b85e532148432dafb901c6ec3_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645111079
3,30230379,41,14,4,260903,4.0,253088,7815,Zinar Andrix,https://img2.finalfantasyxiv.com/f/bfcab1fd1d213dc7a98c292c1a158cd8_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645171118
4,3696140,41,14,5,175092,5.0,142566,32526,Smily Kweh,https://img2.finalfantasyxiv.com/f/9d0b10a30d2a61fd4b004e87d3ef3002_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645049528
5,8206345,41,14,6,129579,6.0,124402,5177,Elijah Lotus,https://img2.finalfantasyxiv.com/f/42988b6d4adb5c7c2bb355671208f026_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645050564
6,28301666,41,14,7,95619,7.0,95619,0,Hikari Yang,https://img2.finalfantasyxiv.com/f/72795d3f7f08a3d1a074756fe05dabde_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645117523
7,26555049,41,14,8,94629,9.0,85959,8670,Synthia Lafontaine,https://img2.finalfantasyxiv.com/f/f49f7eed9113f824165a3c7b255ed855_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644740858
8,23713691,41,14,9,92390,11.0,82568,9822,N'aavi Vahe,https://img2.finalfantasyxiv.com/f/d57604493a25d3a6b54f7022da639070_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645095701
9,21524231,41,14,10,87938,8.0,86198,1740,Red Turtle,https://img2.finalfantasyxiv.com/f/f005b20d2001bf5e96a5925e3eee2431_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645190676
10,7450618,41,14,11,86401,10.0,82814,3587,Kealohilani Starcloud,https://img2.finalfantasyxiv.com/f/13bf79974af0dbbe483fdb5ab41343d5_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645170294
11,28168440,41,14,12,75088,12.0,60984,14104,M'shubi Chips,https://img2.finalfantasyxiv.com/f/945f4ade13fbb046785b6843da6cf389_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644751984
12,11936003,41,14,13,49500,13.0,49500,0,Eathelyn Enavin,https://img2.finalfantasyxiv.com/f/7bd3d1f05469716b0d778602beed0023_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645010704
13,18149941,41,14,14,46394,14.0,41074,5320,Buster Primera,https://img2.finalfantasyxiv.com/f/e27b52e7caf1182255fa2b82c81ef7fe_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644996196
14,9072825,41,14,15,40410,15.0,40410,0,Quintus Tremaine,https://img2.finalfantasyxiv.com/f/b7717c28ea5021621f8471fe5442b4b5_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645001821
15,18482139,41,14,16,38018,20.0,21752,16266,Ekian Vedden,https://img2.finalfantasyxiv.com/f/184889cd37be9a4b1f1502b92589c99c_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645007966
16,7459466,41,14,17,37768,16.0,34604,3164,Ayly Kaata,https://img2.finalfantasyxiv.com/f/af1c90febc373997430cb6f27b23eea7_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645073560
17,28467972,41,14,18,30254,17.0,30254,0,Shimo Hayashi,https://img2.finalfantasyxiv.com/f/2a724dbc20d32fb82f2658194f930129_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644689003
18,18589300,41,14,19,23578,18.0,22828,750,Niboshi Sonata,https://img2.finalfantasyxiv.com/f/3beebd9c71a3c3aed45b141c2b4ef697_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645005428
19,11072615,41,14,20,22260,19.0,22260,0,Adlet Myer,https://img2.finalfantasyxiv.com/f/8b04d49dd9dbd1a2e4733ba9282abd9e_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645072425
20,24741127,41,14,21,19042,21.0,19042,0,Tseh Aliapoh,https://img2.finalfantasyxiv.com/f/cdf74c262516c6ce0840f5c0efe40dd7_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645102510
21,17965934,41,14,22,18629,22.0,17433,1196,Big Frog,https://img2.finalfantasyxiv.com/f/faa621b8c7f2eb2ed550265fce29143f_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645086246
22,26924136,41,14,23,17377,23.0,17377,0,Istanya Runtela,https://img2.finalfantasyxiv.com/f/b159602011359eb44087fb5a8bf07094_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644770148
23,28663841,41,14,24,15317,24.0,15317,0,Ulith Lovelorn,https://img2.finalfantasyxiv.com/f/a0868de548f8f1a3236be43ca0db1785_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644962039
24,11291526,41,14,25,12484,25.0,12484,0,Kistol Kalpana,https://img2.finalfantasyxiv.com/f/badacaf70005102641f320826dbbafc1_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645192533
25,21713690,41,14,26,11346,26.0,11346,0,Jonathan Clover,https://img2.finalfantasyxiv.com/f/49e37065e57b6069761eabd681f71d2d_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645114348
26,8749762,41,14,27,10758,27.0,10758,0,Nemesis Tanelorn,https://img2.finalfantasyxiv.com/f/db76295ced1bd18ff41b034a228eed85_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645085239
27,22416451,41,14,28,10650,28.0,10650,0,Felix Lystyr,https://img2.finalfantasyxiv.com/f/fac6a407655ca74c2ef0cc9ec3b4d268_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644850184
28,12253148,41,14,29,10440,29.0,9930,510,Safyra Targolas,https://img2.finalfantasyxiv.com/f/fa4803f98a91ce509f48c0c8cc3137a5_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644952617
29,13444532,41,14,30,9328,30.0,9328,0,Ako Alvein,https://img2.finalfantasyxiv.com/f/5bb1f950f3bc117c51af6fbf1bd0864e_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645056051
30,14729352,41,14,31,9300,31.0,7500,1800,Sirusi Adlibitum,https://img2.finalfantasyxiv.com/f/de250f2f72441139e3de7b0977d54cee_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1644791388
31,10422817,41,14,32,9013,40.0,5995,3018,Aggy Hildegarde,https://img2.finalfantasyxiv.com/f/89efc7fcf9abc2eac0456379f4619c26_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645056305
32,10478524,41,14,33,7630,35.0,6630,1000,Kira Valentine,https://img2.finalfantasyxiv.com/f/f61d24aee017c1f0a67ce83801bbe945_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645083627
33,23345636,41,14,34,7213,32.0,7213,0,Aeiaa Stryker,https://img2.finalfantasyxiv.com/f/60ba1af0065e3bc8f7705765484c9f25_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645057046
34,2374436,41,14,35,6963,33.0,6963,0,Kyoko Pudipudi,https://img2.finalfantasyxiv.com/f/9dc3d01576c6f63b01f52f6b57cd289a_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1644774235
