,Day_Number,World,Job,Points,Rank,Name
0,3,Adamantoise,carpenter,451171,1,Yumi Umi
1,3,Adamantoise,carpenter,103872,2,Qrow Dellos
2,3,Adamantoise,carpenter,95586,3,Steel Massimo
3,3,Adamantoise,carpenter,67525,4,Yuki Yamagami
4,3,Adamantoise,carpenter,43088,5,Tristan Academe
5,3,Adamantoise,carpenter,39483,6,Ash Blossom
6,3,Adamantoise,carpenter,25132,7,Star Eater
7,3,Adamantoise,carpenter,24957,8,Eryn Delacroix
8,3,Adamantoise,carpenter,22333,9,Emmzz Drakaina
9,3,Adamantoise,carpenter,17226,10,Momo Hime
10,3,Adamantoise,carpenter,15434,11,Raewyn Cinderfox
11,3,Adamantoise,carpenter,13499,12,Selyne Shal'vi
12,3,Adamantoise,carpenter,10814,13,Okie Doki
13,3,Adamantoise,carpenter,8995,14,Kay Kohna
14,3,Adamantoise,carpenter,8557,15,Feyd Kynes
15,3,Adamantoise,carpenter,8005,16,Gem'ovtheh Sephincees
16,3,Adamantoise,carpenter,7280,17,Airame D'gar
17,3,Adamantoise,carpenter,7164,18,Vaella Alrhine
18,3,Adamantoise,carpenter,6865,19,Xol Magdalena
19,3,Adamantoise,carpenter,6450,20,Juvia Star
20,3,Adamantoise,carpenter,6433,21,Tanzie Ysahn
21,3,Adamantoise,carpenter,6303,22,Pesky Penguin
22,3,Adamantoise,carpenter,5892,23,Merillia Melia
23,3,Adamantoise,carpenter,5821,24,Cirrus Aeltir
24,3,Adamantoise,carpenter,5482,25,Spats Leronde
25,3,Adamantoise,carpenter,4987,26,Emet Selch
26,3,Adamantoise,carpenter,4857,27,Isla Gaia
27,3,Adamantoise,carpenter,4796,28,Eva Nite
28,3,Adamantoise,carpenter,4427,29,Keki Kim
29,3,Adamantoise,carpenter,4272,30,Miich'ara Ghesnei
30,3,Adamantoise,carpenter,4231,31,Ahop Jones
31,3,Adamantoise,carpenter,4160,32,Kitai Miradell
32,3,Adamantoise,carpenter,3985,33,Vic Thorn
33,3,Adamantoise,carpenter,3693,34,Mistress Violet
34,3,Adamantoise,carpenter,3600,35,Iris Nyx
35,3,Adamantoise,carpenter,3515,36,Elora Day
36,3,Adamantoise,carpenter,3496,37,Gypsy Kissu
37,3,Adamantoise,carpenter,3412,38,V'esper Din
38,3,Adamantoise,carpenter,3300,39,Setsumi Kanzan
39,3,Adamantoise,carpenter,3274,40,Mylittle Loli
40,3,Adamantoise,carpenter,3198,41,Exio Astalos
41,3,Adamantoise,carpenter,3158,42,Alyx Vance
42,3,Adamantoise,carpenter,3094,43,Cybil Arc
43,3,Adamantoise,carpenter,3044,44,Kanade Tachibana
44,3,Adamantoise,carpenter,3038,45,Perri Starwing
45,3,Adamantoise,carpenter,3000,46,Aoki Kazushige
46,3,Adamantoise,carpenter,2996,47,Imya Jomfru
47,3,Adamantoise,carpenter,2962,48,Chairman Na-mao-zu
48,3,Adamantoise,carpenter,2914,49,Dora Weables
49,3,Adamantoise,carpenter,2850,50,Sephy Jenova
50,3,Adamantoise,carpenter,2833,51,I'm Elehex
51,3,Adamantoise,carpenter,2820,52,Antoon Khadaji
52,3,Adamantoise,carpenter,2819,53,Milk Bone
53,3,Adamantoise,carpenter,2678,54,Hikari Kawa
54,3,Adamantoise,carpenter,2657,55,Tierra Qestir
55,3,Adamantoise,carpenter,2655,56,Ilaena Lockhart
56,3,Adamantoise,carpenter,2531,57,Luna Crescent
57,3,Adamantoise,carpenter,2522,58,Emrys Penn
58,3,Adamantoise,carpenter,2515,59,Issie Verity
59,3,Adamantoise,carpenter,2508,60,Maken Bookah
60,3,Adamantoise,carpenter,2454,61,Duke Onkled
61,3,Adamantoise,carpenter,2416,62,Ludovic Aestron
62,3,Adamantoise,carpenter,2392,63,Demona Deathbane
63,3,Adamantoise,carpenter,2391,64,Death Dealer
64,3,Adamantoise,carpenter,2382,65,Trianna Sunstriker
65,3,Adamantoise,carpenter,2379,66,Est Sylphiette
66,3,Adamantoise,carpenter,2185,67,Johanna Kujo
67,3,Adamantoise,carpenter,2185,68,Mira Verescu
68,3,Adamantoise,carpenter,2160,69,Jinn Shikhye
69,3,Adamantoise,carpenter,2087,70,Junji Ito
70,3,Adamantoise,carpenter,2062,71,Temkku Teigm
71,3,Adamantoise,carpenter,2025,72,Chase Hayun
72,3,Adamantoise,carpenter,1965,73,Junsuina Renault
73,3,Adamantoise,carpenter,1908,74,Calista Sterling
74,3,Adamantoise,carpenter,1710,75,Loli-cious Dorrito
75,3,Adamantoise,carpenter,1680,76,Taliana Mewrilah
76,3,Adamantoise,carpenter,1678,77,Sable Aethera
77,3,Adamantoise,carpenter,1674,78,Denryk Hunt
78,3,Adamantoise,carpenter,1649,79,Jaques Strapp
79,3,Adamantoise,carpenter,1646,80,Irateus Te'urden
80,3,Adamantoise,carpenter,1645,81,Kotetsu Redwood
81,3,Adamantoise,carpenter,1581,82,Psyh Phyh
82,3,Adamantoise,carpenter,1469,83,Deam Nitrel
83,3,Adamantoise,carpenter,1412,84,Raz Mataz
84,3,Adamantoise,carpenter,1410,85,Earendel Silmaril
85,3,Adamantoise,carpenter,1346,86,Chariot Arcana
86,3,Adamantoise,carpenter,1345,87,S'kalkaya Phey
87,3,Adamantoise,carpenter,1311,88,Akira Sendoh
88,3,Adamantoise,carpenter,1310,89,Yoruichi Shihouin
89,3,Adamantoise,carpenter,1293,90,Chifu Lahar
90,3,Adamantoise,carpenter,1289,91,Fran Garnet
91,3,Adamantoise,carpenter,1260,92,Kamelia Worthington
92,3,Adamantoise,carpenter,1260,93,Lil Tiny
93,3,Adamantoise,carpenter,1230,94,Alagh Dotharl
94,3,Adamantoise,carpenter,1230,95,Wynter Rilliot
95,3,Adamantoise,carpenter,1229,96,Myangazuu Dazkar
96,3,Adamantoise,carpenter,1218,97,Raphtalia Solari
97,3,Adamantoise,carpenter,1200,98,Tanu Xera
98,3,Adamantoise,carpenter,1195,99,Rakishi Demavero
99,3,Adamantoise,carpenter,1140,100,Lost Rabbit
100,3,Adamantoise,blacksmith,520135,1,Meow Gotti
101,3,Adamantoise,blacksmith,260264,2,Astro Ashfell
102,3,Adamantoise,blacksmith,212877,3,Cecilia Glover
103,3,Adamantoise,blacksmith,192755,4,Cool Hotsman
104,3,Adamantoise,blacksmith,100722,5,Brazen Horn
