,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3103649,43,11,1,26219,,0,26219,Akusu Eisias,https://img2.finalfantasyxiv.com/f/e49c45b41421a31b6d2fe34c4badfd7d_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645169830
1,9622500,43,11,2,11327,,0,11327,Elina Levy,https://img2.finalfantasyxiv.com/f/183252c412c0091872774fa918e54013_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644946797
2,22206340,43,11,3,10523,,0,10523,Nekomimi Dove,https://img2.finalfantasyxiv.com/f/82eafb80856efa1a8401f37339d4ec18_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645033878
3,23962502,43,11,4,9530,,0,9530,Leo Nnn,https://img2.finalfantasyxiv.com/f/b4b558419f6d3e4ff4bdaa6797a920a9_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645007271
4,11634690,43,11,5,8921,,0,8921,Yuzuka Tsukimori,https://img2.finalfantasyxiv.com/f/9de832d79be02e7824f27610e83cf87d_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645036407
5,16946086,43,11,6,4200,,0,4200,Yomogi Moochi,https://img2.finalfantasyxiv.com/f/8aec5f7bf9ec697702422245a38ac965_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644951214
6,4413257,43,11,7,3219,,0,3219,Rico Frosty,https://img2.finalfantasyxiv.com/f/d74fadd3380a327b6827c4890099426b_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645140478
7,17824551,43,11,8,2720,,0,2720,Alma Lugria,https://img2.finalfantasyxiv.com/f/9c0b2ed587ef4e85bc20897cfd71cc74_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644873029
8,16496091,43,11,9,2567,,0,2567,Rusa Nyu,https://img2.finalfantasyxiv.com/f/3e1c25db053ac2b50ed8c0686ff96fb9_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644946267
9,11270943,43,11,10,2329,,0,2329,Fuduki Hoshiduki,https://img2.finalfantasyxiv.com/f/013fad5ad14497d037d80f707e943fb4_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645129595
10,7029494,43,11,11,2256,,0,2256,Mah Kotora,https://img2.finalfantasyxiv.com/f/825aa9cf954094d485f05204184ed30d_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645085102
11,18278856,43,11,12,2039,,0,2039,Aegis Oath,https://img2.finalfantasyxiv.com/f/1297d88a87d4cbb00767d05e288b2e37_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645108829
12,23323390,43,11,13,2010,,0,2010,Ritu Yuel,https://img2.finalfantasyxiv.com/f/381ae9249b2cd6fd9d125c09255dd256_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644958601
13,6515139,43,11,14,2009,,0,2009,Lache Fautrier,https://img2.finalfantasyxiv.com/f/a11aceb5091e1be8a2645d9f1981a1af_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645143554
14,2740814,43,11,15,1991,,0,1991,Miqo Lancer,https://img2.finalfantasyxiv.com/f/a215e1b5399ab74390f23b60c79eae7c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645040131
15,13610623,43,11,16,1980,,0,1980,Chisui Byakuya,https://img2.finalfantasyxiv.com/f/47b252b8bdba01e7c4db803a580daee5_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645027892
16,6288943,43,11,17,1966,,0,1966,Mephisto Pheles,https://img2.finalfantasyxiv.com/f/582c561f47ec5d3fe10a832cc498f2e6_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644766728
17,3892939,43,11,18,1707,,0,1707,Rilmog Sevenstars,https://img2.finalfantasyxiv.com/f/24f2c0d298fed0a8e95c700f4cd9caa2_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644764146
18,2211365,43,11,19,1650,,0,1650,Albert Einstein,https://img2.finalfantasyxiv.com/f/68962f8eaebf96d358321ae57e5b2493_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645065600
19,14175380,43,11,20,1645,,0,1645,Raiden Yatsurugi,https://img2.finalfantasyxiv.com/f/ee08397409ef96df8117cd9118bf70f5_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645138053
20,1571501,43,11,21,1590,,0,1590,Clea Wisteria,https://img2.finalfantasyxiv.com/f/567f16e9b303e0d2e6251b3f580922eb_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644988935
21,18464581,43,11,22,1408,,0,1408,Cero Sahade,https://img2.finalfantasyxiv.com/f/8e1af7e920e2cd802b19c195d47fb58e_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644941173
22,26641087,43,11,23,1317,,0,1317,Ara Wata,https://img2.finalfantasyxiv.com/f/f9c20575fd9de7be2b17c1ca3fe6035a_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644940291
23,9198453,43,11,24,1304,,0,1304,Ray Wallenstein,https://img2.finalfantasyxiv.com/f/87787a798c51cd0537418760451c61b0_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645077151
