,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,17653267,45,10,1,48928,,0,48928,Shade Dstorv,https://img2.finalfantasyxiv.com/f/e5afa318e4670301010fac513d651edd_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645063551
1,3091932,45,10,2,21645,,0,21645,Mikhail Seere,https://img2.finalfantasyxiv.com/f/45d0a415c17f7a3bf66b722664cf6251_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644972752
2,5320390,45,10,3,20521,,0,20521,Eclair Briller,https://img2.finalfantasyxiv.com/f/0609d8e7a7d59a23a55e46cffea67bc7_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644966869
3,17770151,45,10,4,5279,,0,5279,Yuki Orange,https://img2.finalfantasyxiv.com/f/761a148d9b6bbed4ea836dcdb3ac48ef_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645139055
4,21906058,45,10,5,4800,,0,4800,Felin Kelulin,https://img2.finalfantasyxiv.com/f/e4c7920a158f301f28ddd313d259902a_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645035218
5,9340138,45,10,6,3998,,0,3998,Lyydia Laturi,https://img2.finalfantasyxiv.com/f/5b8d048cd35ac07098fc01cbafaaaa01_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645102143
6,23518323,45,10,7,3958,,0,3958,Roa Gvasalia,https://img2.finalfantasyxiv.com/f/f18b0e630e2a93e284c12b24afcf4e9a_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645054440
7,2314598,45,10,8,3443,,0,3443,Frenda Urbs,https://img2.finalfantasyxiv.com/f/23e8416f802c3e1e7d16a1931e19b7f8_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645137237
8,26239737,45,10,9,3309,,0,3309,Rein Hiver,https://img2.finalfantasyxiv.com/f/e20ee3bf61f95790cacab6089eada50b_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645180254
9,13159148,45,10,10,3300,,0,3300,Chiyu Pinot,https://img2.finalfantasyxiv.com/f/22d62c3a8d358744f6f5b2e4bb1a90ac_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644963185
10,15916669,45,10,11,3240,,0,3240,Towa Yuugiri,https://img2.finalfantasyxiv.com/f/368dfb01fa68c454c79ee36f92805e7f_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645088732
11,17310339,45,10,12,3210,,0,3210,Chelsea Magnolia,https://img2.finalfantasyxiv.com/f/206a56f36bd481cbfe4b5a277e352958_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644847222
12,3948604,45,10,13,2931,,0,2931,Febreze Resesh,https://img2.finalfantasyxiv.com/f/a6ee3b6741f417f03f63a7fd4c3943b5_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644966340
13,12102770,45,10,14,2650,,0,2650,Yuhei Laboratory,https://img2.finalfantasyxiv.com/f/f5c9de0d7dea485e52ef98e7238a3e81_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644989906
14,17198986,45,10,15,2442,,0,2442,Erste Altwal,https://img2.finalfantasyxiv.com/f/8e84090f4b672e9a554372bbb2bc9e03_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644994332
15,18056088,45,10,16,2186,,0,2186,Bluemoon Mitonstar,https://img2.finalfantasyxiv.com/f/87c72b2ece824b662f06bfd0da809959_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644926409
16,13233794,45,10,17,2177,,0,2177,Luke Reynard,https://img2.finalfantasyxiv.com/f/ce716c375e5b4098c8e992bee6254407_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644805157
17,3530997,45,10,18,2108,,0,2108,Wais Albert,https://img2.finalfantasyxiv.com/f/38511244c0fc0cd17eaa276da95b6b2d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645018497
18,14722618,45,10,19,2050,,0,2050,Valkoinen Nimeni,https://img2.finalfantasyxiv.com/f/2ff0232ffd67eaf1f3ff7c7b865346e6_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644906486
19,18146081,45,10,20,1884,,0,1884,Stella Roseo,https://img2.finalfantasyxiv.com/f/abc561f3f06d7a63fac2c9632b9a3b13_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645003060
20,23550286,45,10,21,1772,,0,1772,Magenta Mi,https://img2.finalfantasyxiv.com/f/1369547b035ee9d57fb7c3bba6be986d_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1644791218
